Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.920998,[144  41] ; [16 24],[131.55555556  53.44444444] ; [28.44444444 11.55555556],1
n4,1,2e-06,22.627095,[152  34] ; [19 22],[140.11453744  45.88546256] ; [30.88546256 10.11453744],1
b1,1,0.000739,11.387442,[ 57 129] ; [24 17],[ 66.37004405 119.62995595] ; [14.62995595 26.37004405],1
v4,1,0.003126,8.732686,[180   6] ; [35  6],[176.16740088   9.83259912] ; [38.83259912  2.16740088],0
p10,1,0.003179,8.701991,[153  32] ; [24 15],[146.18303571  38.81696429] ; [30.81696429  8.18303571],0
p11,1,0.00991,6.650952,[152  34] ; [26 15],[145.85022026  40.14977974] ; [32.14977974  8.85022026],0
r4,1,0.019595,5.447638,[166  20] ; [31 10],[161.4185022  24.5814978] ; [35.5814978  5.4185022],0
d1,1,0.042755,4.105076,[118  68] ; [19 22],[112.25550661  73.74449339] ; [24.74449339 16.25550661],0
d4,1,0.045481,4.000708,[159  26] ; [30 11],[154.71238938  30.28761062] ; [34.28761062  6.71238938],0
p9,1,0.055595,3.664155,[153  31] ; [28 12],[148.67857143  35.32142857] ; [32.32142857  7.67857143],0
a8,1,0.061899,3.485754,[ 22 136] ; [ 1 35],[ 18.73195876 139.26804124] ; [ 4.26804124 31.73195876],0
v3,1,0.119482,2.424096,[95 87] ; [15 24],[90.58823529 91.41176471] ; [19.41176471 19.58823529],0
r2,1,0.120617,2.409292,[169  13] ; [35  6],[166.49327354  15.50672646] ; [37.50672646  3.49327354],0
s5,1,0.15377,2.03445,[ 51 132] ; [ 7 34],[ 47.38392857 135.61607143] ; [10.61607143 30.38392857],0
r3,1,0.160503,1.969483,[177   8] ; [37  4],[175.17699115   9.82300885] ; [38.82300885  2.17699115],0
p3,1,0.165808,1.920441,[99 87] ; [16 23],[95.06666667 90.93333333] ; [19.93333333 19.06666667],0
s6,1,0.171118,1.87312,[89 95] ; [15 26],[85.04888889 98.95111111] ; [18.95111111 22.04888889],0
s8,1,0.180727,1.791632,[ 55 129] ; [ 8 33],[ 51.52 132.48] ; [11.48 29.52],0
d3,1,0.213435,1.547976,[136  50] ; [26 15],[132.74008811  53.25991189] ; [29.25991189 11.74008811],0
a4,1,0.238234,1.391012,[91 94] ; [16 25],[87.58849558 97.41150442] ; [19.41150442 21.58849558],0
u4,1,0.238277,1.390761,[  1 185] ; [ 1 40],[  1.63876652 184.36123348] ; [ 0.36123348 40.63876652],0
u1,1,0.250586,1.320031,[ 37 149] ; [ 5 36],[ 34.41409692 151.58590308] ; [ 7.58590308 33.41409692],0
p4,1,0.257489,1.282205,[113  72] ; [20 19],[109.84375  75.15625] ; [23.15625 15.84375],0
p7,1,0.279669,1.168696,[118  66] ; [22 18],[115.  69.] ; [25. 15.],0
a3,1,0.295662,1.093658,[130  56] ; [32  9],[132.74008811  53.25991189] ; [29.25991189 11.74008811],0
b4,1,0.307185,1.042742,[107  79] ; [20 21],[104.06167401  81.93832599] ; [22.93832599 18.06167401],0
s7,1,0.324882,0.969192,[ 55 118] ; [ 9 29],[ 52.47393365 120.52606635] ; [11.52606635 26.47393365],0
v1,1,0.346029,0.887966,[122  62] ; [24 17],[119.39555556  64.60444444] ; [26.60444444 14.39555556],0
p6,1,0.347823,0.881383,[ 68 116] ; [11 27],[ 65.47747748 118.52252252] ; [13.52252252 24.47747748],0
d2,1,0.370238,0.802865,[91 94] ; [17 24],[88.40707965 96.59292035] ; [19.59292035 21.40707965],0
n1,1,0.42663,0.631979,[10 31] ; [4 7],[11.03846154 29.96153846] ; [2.96153846 8.03846154],0
