Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,83.166174,[196  47] ; [119 167],[144.69754253  98.30245747] ; [170.30245747 115.69754253],1
v1,1,5e-06,20.964103,[172  72] ; [149 143],[146.12686567  97.87313433] ; [174.87313433 117.12686567],1
s7,1,0.000501,12.112854,[146  81] ; [140 146],[126.55360624 100.44639376] ; [159.44639376 126.55360624],1
p3,1,0.001016,10.798076,[149  94] ; [139 156],[130.08178439 112.91821561] ; [157.91821561 137.08178439],0
s8,1,0.001397,10.209638,[138 103] ; [128 167],[119.60074627 121.39925373] ; [146.39925373 148.60074627],0
p12,1,0.001444,10.149322,[ 35 209] ; [ 18 276],[ 24.03717472 219.96282528] ; [ 28.96282528 265.03717472],0
p5,1,0.002675,9.01703,[ 47 197] ; [ 30 265],[ 34.85714286 209.14285714] ; [ 42.14285714 252.85714286],0
s4,1,0.003653,8.448812,[ 25 218] ; [ 56 233],[ 36.9981203 206.0018797] ; [ 44.0018797 244.9981203],0
a1,1,0.023387,5.1395,[ 18 229] ; [  9 287],[ 12.28176796 234.71823204] ; [ 14.71823204 281.28176796],0
p10,1,0.026331,4.934119,[215  27] ; [241  53],[205.88059701  36.11940299] ; [250.11940299  43.88059701],0
p4,1,0.034997,4.445303,[168  74] ; [179 116],[156.37616387  85.62383613] ; [190.62383613 104.37616387],0
n6,1,0.043339,4.082149,[232  14] ; [264  31],[225.53789279  20.46210721] ; [270.46210721  24.53789279],0
n4,1,0.044993,4.018894,[229  18] ; [259  37],[221.98158379  25.01841621] ; [266.01841621  29.98158379],0
s2,1,0.054515,3.696851,[143  98] ; [150 144],[131.98691589 109.01308411] ; [161.01308411 132.98691589],0
p7,1,0.060415,3.525959,[171  66] ; [185 102],[161.01526718  75.98473282] ; [194.98473282  92.01526718],0
v4,1,0.06488,3.408021,[242   4] ; [282  13],[238.26987061   7.73012939] ; [285.73012939   9.26987061],0
p1,1,0.085511,2.956906,[ 29 216] ; [ 22 272],[ 23.18181818 221.81818182] ; [ 27.81818182 266.18181818],0
n2,1,0.105766,2.616373,[34  5] ; [51 18],[30.69444444  8.30555556] ; [54.30555556 14.69444444],0
a5,1,0.114136,2.496,[200  46] ; [224  72],[192.44280443  53.55719557] ; [231.55719557  64.44280443],0
d1,1,0.117549,2.449683,[163  84] ; [176 120],[154.20441989  92.79558011] ; [184.79558011 111.20441989],0
