Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.822399,[85 17] ; [ 4 14],[75.65 26.35] ; [13.35  4.65],1
n4,1,0.0,25.584026,[89 14] ; [ 6 12],[80.8677686 22.1322314] ; [14.1322314  3.8677686],1
v1,1,0.00901,6.820924,[42 53] ; [14  4],[47.07964602 47.92035398] ; [8.92035398 9.07964602],0
d2,1,0.010767,6.503317,[72 31] ; [ 7 11],[67.24793388 35.75206612] ; [11.75206612  6.24793388],0
b3,1,0.022488,5.207621,[25 51] ; [7 3],[28.27906977 47.72093023] ; [3.72093023 6.27906977],0
b2,1,0.022488,5.207621,[25 51] ; [7 3],[28.27906977 47.72093023] ; [3.72093023 6.27906977],0
a2,1,0.02494,5.02807,[32 71] ; [ 1 17],[28.09090909 74.90909091] ; [ 4.90909091 13.09090909],0
u1,1,0.047333,3.933495,[28 75] ; [ 1 17],[24.68595041 78.31404959] ; [ 4.31404959 13.68595041],0
a7,1,0.052578,3.757296,[75 28] ; [9 9],[71.50413223 31.49586777] ; [12.49586777  5.50413223],0
p4,1,0.071568,3.246684,[58 45] ; [ 6 12],[54.47933884 48.52066116] ; [9.52066116 8.47933884],0
p1,1,0.08829,2.905284,[ 9 94] ; [ 4 14],[11.0661157 91.9338843] ; [ 1.9338843 16.0661157],0
a5,1,0.094485,2.796259,[77 26] ; [10  8],[74.05785124 28.94214876] ; [12.94214876  5.05785124],0
b5,1,0.097698,2.742732,[72 31] ; [9 9],[68.95041322 34.04958678] ; [12.04958678  5.95041322],0
d1,1,0.117419,2.45141,[71 32] ; [9 9],[68.09917355 34.90082645] ; [11.90082645  6.09917355],0
a3,1,0.133343,2.253148,[80 23] ; [11  7],[77.46280992 25.53719008] ; [13.53719008  4.46280992],0
s4,1,0.170067,1.882353,[15 87] ; [ 5 13],[17. 85.] ; [ 3. 15.],0
s5,1,0.193511,1.69068,[28 66] ; [7 8],[30.18348624 63.81651376] ; [ 4.81651376 10.18348624],0
s7,1,0.20174,1.629736,[71 25] ; [10  7],[68.81415929 27.18584071] ; [12.18584071  4.81415929],0
p10,1,0.225682,1.467868,[79 22] ; [11  6],[77.03389831 23.96610169] ; [12.96610169  4.03389831],0
r1,1,0.252592,1.308912,[86 17] ; [13  5],[84.27272727 18.72727273] ; [14.72727273  3.27272727],0
d3,1,0.256295,1.288658,[66 37] ; [9 9],[63.84297521 39.15702479] ; [11.15702479  6.84297521],0
b4,1,0.263662,1.249428,[60 43] ; [13  5],[62.14049587 40.85950413] ; [10.85950413  7.14049587],0
p11,1,0.265684,1.238894,[71 32] ; [10  8],[68.95041322 34.04958678] ; [12.04958678  5.95041322],0
p9,1,0.305025,1.052096,[87 14] ; [13  4],[85.59322034 15.40677966] ; [14.40677966  2.59322034],0
b1,1,0.331527,0.942924,[39 64] ; [9 9],[40.85950413 62.14049587] ; [ 7.14049587 10.85950413],0
p6,1,0.363123,0.827064,[24 79] ; [ 6 12],[25.53719008 77.46280992] ; [ 4.46280992 13.53719008],0
