Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.5e-05,17.769641,[25 68] ; [13  3],[32.42201835 60.57798165] ; [ 5.57798165 10.42201835],1
p4,1,0.000478,12.198969,[22 74] ; [11  6],[28.03539823 67.96460177] ; [ 4.96460177 12.03539823],1
p8,1,0.000764,11.326728,[19 76] ; [10  7],[24.59821429 70.40178571] ; [ 4.40178571 12.59821429],1
p3,1,0.003523,8.514828,[19 77] ; [9 8],[23.78761062 72.21238938] ; [ 4.21238938 12.78761062],0
b1,1,0.009739,6.681933,[47 50] ; [14  3],[51.90350877 45.09649123] ; [9.09649123 7.90350877],0
p2,1,0.009777,6.675012,[46 49] ; [14  3],[50.89285714 44.10714286] ; [9.10714286 7.89285714],0
a6,1,0.022119,5.236384,[45 52] ; [13  4],[49.35087719 47.64912281] ; [8.64912281 8.35087719],0
p5,1,0.036585,4.369607,[ 4 90] ; [ 3 14],[ 5.92792793 88.07207207] ; [ 1.07207207 15.92792793],0
v4,1,0.047477,3.928404,[51 42] ; [13  3],[54.60550459 38.39449541] ; [9.39449541 6.60550459],0
n2,1,0.056163,3.647215,[21 24] ; [8 2],[23.72727273 21.27272727] ; [5.27272727 4.72727273],0
s7,1,0.071677,3.2442,[16 77] ; [5 8],[18.4245283 74.5754717] ; [ 2.5754717 10.4245283],0
v2,1,0.076606,3.135484,[28 65] ; [8 7],[31. 62.] ; [ 5. 10.],0
u2,1,0.097779,2.741399,[15 26] ; [6 3],[17.22 23.78] ; [3.78 5.22],0
r3,1,0.113136,2.509854,[44 49] ; [11  5],[46.9266055 46.0733945] ; [8.0733945 7.9266055],0
s4,1,0.12531,2.349665,[15 82] ; [ 5 11],[17.16814159 79.83185841] ; [ 2.83185841 13.16814159],0
p12,1,0.162962,1.946523,[ 1 95] ; [ 1 16],[ 1.69911504 94.30088496] ; [ 0.30088496 16.69911504],0
d5,1,0.16654,1.913812,[57 40] ; [13  4],[59.56140351 37.43859649] ; [10.43859649  6.56140351],0
s2,1,0.168352,1.897557,[21 76] ; [ 6 10],[23.17699115 73.82300885] ; [ 3.82300885 12.17699115],0
p10,1,0.175003,1.839559,[42 53] ; [10  6],[44.5045045 50.4954955] ; [7.4954955 8.5045045],0
b4,1,0.177683,1.816897,[57 40] ; [ 7 10],[54.45614035 42.54385965] ; [9.54385965 7.45614035],0
p9,1,0.215887,1.531505,[45 48] ; [11  6],[47.34545455 45.65454545] ; [8.65454545 8.34545455],0
p11,1,0.235838,1.4053,[42 55] ; [10  7],[44.24561404 52.75438596] ; [7.75438596 9.24561404],0
a7,1,0.24704,1.339967,[47 48] ; [11  6],[49.19642857 45.80357143] ; [8.80357143 8.19642857],0
b5,1,0.279742,1.168344,[49 48] ; [11  6],[51.05263158 45.94736842] ; [8.94736842 8.05263158],0
a2,1,0.299678,1.075625,[ 9 88] ; [ 3 14],[10.21052632 86.78947368] ; [ 1.78947368 15.21052632],0
d4,1,0.316094,1.005038,[63 33] ; [9 8],[61.16814159 34.83185841] ; [10.83185841  6.16814159],0
n5,1,0.331718,0.94218,[53 42] ; [11  5],[54.77477477 40.22522523] ; [9.22522523 6.77477477],0
a1,1,0.383555,0.759276,[13 84] ; [ 1 16],[11.9122807 85.0877193] ; [ 2.0877193 14.9122807],0
d2,1,0.408394,0.683471,[38 57] ; [ 5 12],[36.47321429 58.52678571] ; [ 6.52678571 10.47321429],0
a3,1,0.454878,0.558468,[54 41] ; [8 9],[52.58928571 42.41071429] ; [9.41071429 7.58928571],0
n1,1,0.491612,0.472996,[13 32] ; [4 6],[13.90909091 31.09090909] ; [3.09090909 6.90909091],0
u1,1,0.521207,0.411505,[ 7 90] ; [ 2 15],[ 7.65789474 89.34210526] ; [ 1.34210526 15.65789474],0
v1,1,0.537142,0.380863,[28 66] ; [ 6 10],[29.05454545 64.94545455] ; [ 4.94545455 11.05454545],0
r2,1,0.538082,0.379105,[53 38] ; [10  5],[54.08490566 36.91509434] ; [8.91509434 6.08490566],0
p1,1,0.561026,0.337932,[10 86] ; [ 1 16],[ 9.34513274 86.65486726] ; [ 1.65486726 15.34513274],0
n3,1,0.567802,0.326374,[22 22] ; [6 4],[22.81481481 21.18518519] ; [5.18518519 4.81481481],0
s5,1,0.6562,0.198172,[15 82] ; [ 3 12],[15.58928571 81.41071429] ; [ 2.41071429 12.58928571],0
d3,1,0.727109,0.121783,[50 47] ; [9 7],[50.6460177 46.3539823] ; [8.3539823 7.6460177],0
a4,1,0.741508,0.108806,[30 66] ; [ 6 11],[30.5840708 65.4159292] ; [ 5.4159292 11.5840708],0
u3,1,0.765512,0.088953,[13 30] ; [2 6],[12.64705882 30.35294118] ; [2.35294118 5.64705882],0
a5,1,0.792604,0.069133,[49 48] ; [8 9],[48.5 48.5] ; [8.5 8.5],0
r1,1,0.797817,0.065625,[27 69] ; [ 5 11],[27.42857143 68.57142857] ; [ 4.57142857 11.42857143],0
n6,1,0.820611,0.05142,[52 41] ; [9 8],[51.57272727 41.42727273] ; [9.42727273 7.57272727],0
s1,1,0.834591,0.043605,[ 7 89] ; [ 1 16],[ 6.79646018 89.20353982] ; [ 1.20353982 15.79646018],0
n4,1,0.843552,0.038948,[54 42] ; [10  7],[54.37168142 41.62831858] ; [9.62831858 7.37168142],0
s6,1,0.912937,0.011954,[29 68] ; [ 5 11],[29.18584071 67.81415929] ; [ 4.81415929 11.18584071],0
b2,1,0.93167,0.007352,[20 37] ; [2 4],[19.9047619 37.0952381] ; [2.0952381 3.9047619],0
b3,1,0.93167,0.007352,[20 37] ; [2 4],[19.9047619 37.0952381] ; [2.0952381 3.9047619],0
d1,1,0.950182,0.003904,[35 62] ; [ 6 11],[34.88596491 62.11403509] ; [ 6.11403509 10.88596491],0
s3,1,0.974535,0.001019,[29 65] ; [ 5 11],[29.05454545 64.94545455] ; [ 4.94545455 11.05454545],0
v3,1,0.985122,0.000348,[18 77] ; [ 3 13],[17.97297297 77.02702703] ; [ 3.02702703 12.97297297],0
