Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00241,9.207516,[25  5] ; [44 41],[18. 12.] ; [51. 34.],0
s4,1,0.00891,6.840838,[ 9 22] ; [ 8 76],[ 4.5826087 26.4173913] ; [12.4173913 71.5826087],0
p10,1,0.009712,6.687063,[31  1] ; [64 20],[26.20689655  5.79310345] ; [68.79310345 15.20689655],0
p5,1,0.014495,5.976863,[ 6 26] ; [ 4 82],[ 2.71186441 29.28813559] ; [ 7.28813559 78.71186441],0
a7,1,0.016178,5.783476,[20 12] ; [70 14],[24.82758621  7.17241379] ; [65.17241379 18.82758621],0
b5,1,0.021609,5.276974,[15 17] ; [60 26],[20.33898305 11.66101695] ; [54.66101695 31.33898305],0
d4,1,0.03497,4.446634,[30  2] ; [66 20],[26.03389831  5.96610169] ; [69.96610169 16.03389831],0
a5,1,0.056411,3.639883,[26  6] ; [54 32],[21.69491525 10.30508475] ; [58.30508475 27.69491525],0
s2,1,0.068206,3.325678,[16 16] ; [27 58],[11.76068376 20.23931624] ; [31.23931624 53.76068376],0
p8,1,0.068463,3.319499,[27  5] ; [58 28],[23.05084746  8.94915254] ; [61.94915254 24.05084746],0
d5,1,0.10928,2.564603,[29  3] ; [66 19],[25.98290598  6.01709402] ; [69.01709402 15.98290598],0
u2,1,0.118513,2.436868,[3 8] ; [20 17],[5.27083333 5.72916667] ; [17.72916667 19.27083333],0
p9,1,0.123766,2.368998,[30  2] ; [71 15],[27.38983051  4.61016949] ; [73.61016949 12.38983051],0
p1,1,0.158261,1.99076,[ 6 26] ; [ 8 78],[ 3.79661017 28.20338983] ; [10.20338983 75.79661017],0
p3,1,0.160282,1.971562,[21 11] ; [44 42],[17.62711864 14.37288136] ; [47.37288136 38.62711864],0
p4,1,0.168311,1.897925,[27  5] ; [62 24],[24.13559322  7.86440678] ; [64.86440678 21.13559322],0
b4,1,0.172047,1.865013,[23  9] ; [50 36],[19.79661017 12.20338983] ; [53.20338983 32.79661017],0
s8,1,0.203764,1.615188,[12 20] ; [22 64],[ 9.22033898 22.77966102] ; [24.77966102 61.22033898],0
p7,1,0.208345,1.582888,[29  3] ; [68 16],[26.75862069  5.24137931] ; [70.24137931 13.75862069],0
v2,1,0.226849,1.460512,[14 17] ; [48 35],[16.85964912 14.14035088] ; [45.14035088 37.85964912],0
d3,1,0.229488,1.444033,[25  7] ; [56 28],[22.34482759  9.65517241] ; [58.65517241 25.34482759],0
s3,1,0.254462,1.298639,[16 16] ; [33 53],[13.28813559 18.71186441] ; [35.71186441 50.28813559],0
a6,1,0.258961,1.274301,[18 14] ; [58 28],[20.61016949 11.38983051] ; [55.38983051 30.61016949],0
n5,1,0.29492,1.097023,[26  6] ; [61 24],[23.79487179  8.20512821] ; [63.20512821 21.79487179],0
r3,1,0.294976,1.096772,[30  2] ; [84  2],[30.91525424  1.08474576] ; [83.08474576  2.91525424],0
p12,1,0.311596,1.023897,[ 4 27] ; [ 6 80],[ 2.64957265 28.35042735] ; [ 7.35042735 78.64957265],0
r2,1,0.322452,0.978974,[31  1] ; [77  7],[29.79310345  2.20689655] ; [78.20689655  5.79310345],0
v1,1,0.327347,0.959364,[20 12] ; [44 40],[17.65517241 14.34482759] ; [46.34482759 37.65517241],0
v4,1,0.335405,0.927917,[31  1] ; [79  7],[29.83050847  2.16949153] ; [80.16949153  5.83050847],0
p11,1,0.342377,0.90151,[29  3] ; [72 14],[27.38983051  4.61016949] ; [73.61016949 12.38983051],0
n3,1,0.349445,0.87547,[2 2] ; [14  5],[2.7826087 1.2173913] ; [13.2173913  5.7826087],0
d1,1,0.395211,0.72285,[21 11] ; [49 37],[18.98305085 13.01694915] ; [51.01694915 34.98305085],0
a3,1,0.395211,0.72285,[21 11] ; [49 37],[18.98305085 13.01694915] ; [51.01694915 34.98305085],0
s1,1,0.474361,0.5118,[ 1 31] ; [ 1 83],[ 0.55172414 31.44827586] ; [ 1.44827586 82.55172414],0
n6,1,0.501015,0.452786,[28  4] ; [70 15],[26.8034188  5.1965812] ; [71.1965812 13.8034188],0
a1,1,0.507924,0.438341,[ 2 30] ; [ 3 83],[ 1.3559322 30.6440678] ; [ 3.6440678 82.3559322],0
