Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,123.775177,[263  91] ; [ 4 70],[220.8364486 133.1635514] ; [46.1635514 27.8364486],1
d5,1,0.0,63.690425,[315  39] ; [37 37],[291.14018692  62.85981308] ; [60.85981308 13.14018692],1
d3,1,0.0,51.236012,[273  81] ; [26 48],[247.30373832 106.69626168] ; [51.69626168 22.30373832],1
a3,1,0.0,38.840154,[287  65] ; [35 39],[266.0657277  85.9342723] ; [55.9342723 18.0657277],1
d2,1,0.0,31.136853,[212 142] ; [18 56],[190.23364486 163.76635514] ; [39.76635514 34.23364486],1
a4,1,1e-06,24.023695,[184 170] ; [15 58],[164.97892272 189.02107728] ; [34.02107728 38.97892272],1
a5,1,4e-06,21.25644,[278  76] ; [39 35],[262.19158879  91.80841121] ; [54.80841121 19.19158879],1
a2,1,7e-06,20.29846,[109 245] ; [ 4 70],[ 93.46261682 260.53738318] ; [19.53738318 54.46261682],1
u1,1,1.8e-05,18.407578,[ 89 265] ; [ 2 72],[ 75.26635514 278.73364486] ; [15.73364486 58.26635514],1
r1,1,0.000343,12.820782,[303  51] ; [49 23],[292.50704225  61.49295775] ; [59.49295775 12.50704225],1
u2,1,0.000783,11.280544,[41 25] ; [11 28],[32.68571429 33.31428571] ; [19.31428571 19.68571429],1
b2,1,0.000882,11.060011,[ 99 124] ; [ 8 37],[ 89.03358209 133.96641791] ; [17.96641791 27.03358209],1
b3,1,0.000882,11.060011,[ 99 124] ; [ 8 37],[ 89.03358209 133.96641791] ; [17.96641791 27.03358209],1
s2,1,0.001231,10.443902,[293  61] ; [49 25],[282.86915888  71.13084112] ; [59.13084112 14.86915888],0
p9,1,0.002779,8.947053,[318  33] ; [58 16],[310.53176471  40.46823529] ; [65.46823529  8.53176471],0
p8,1,0.003416,8.571044,[203 148] ; [29 45],[191.60470588 159.39529412] ; [40.39529412 33.60470588],0
s6,1,0.004661,8.006527,[305  43] ; [53 18],[297.33651551  50.66348449] ; [60.66348449 10.33651551],0
u3,1,0.006429,7.42596,[45 21] ; [16 23],[38.34285714 27.65714286] ; [22.65714286 16.34285714],0
a6,1,0.007698,7.102308,[243 110] ; [39 35],[233.12880562 119.87119438] ; [48.87119438 25.12880562],0
p11,1,0.00908,6.806977,[295  59] ; [52 22],[287.0046729  66.9953271] ; [59.9953271 14.0046729],0
s5,1,0.012962,6.174278,[156 179] ; [22 50],[146.51105651 188.48894349] ; [31.48894349 40.51105651],0
p4,1,0.018191,5.577614,[237 116] ; [39 35],[228.16861827 124.83138173] ; [47.83138173 26.16861827],0
v2,1,0.021767,5.26428,[203 136] ; [32 39],[194.30487805 144.69512195] ; [40.69512195 30.30487805],0
r2,1,0.024972,5.025844,[343   7] ; [69  5],[340.09433962   9.90566038] ; [71.90566038  2.09433962],0
p10,1,0.027043,4.88806,[308  44] ; [55 16],[302.07092199  49.92907801] ; [60.92907801 10.07092199],0
p6,1,0.029513,4.737444,[152 198] ; [22 52],[143.63207547 206.36792453] ; [30.36792453 43.63207547],0
s8,1,0.034746,4.457599,[223 130] ; [37 37],[214.94145199 138.05854801] ; [45.05854801 28.94145199],0
p12,1,0.039743,4.228831,[ 43 309] ; [ 3 71],[ 38.00938967 313.99061033] ; [ 7.99061033 66.00938967],0
r3,1,0.040928,4.179014,[345   8] ; [69  5],[342.2529274  10.7470726] ; [71.7470726  2.2529274],0
p2,1,0.04814,3.905089,[311  42] ; [58 15],[305.76760563  47.23239437] ; [63.23239437  9.76760563],0
p3,1,0.05906,3.563573,[198 156] ; [32 41],[190.67915691 163.32084309] ; [39.32084309 33.67915691],0
v1,1,0.061064,3.508258,[198 144] ; [33 39],[190.82608696 151.17391304] ; [40.17391304 31.82608696],0
s7,1,0.067465,3.343656,[239 106] ; [40 29],[232.5 112.5] ; [46.5 22.5],0
p1,1,0.084713,2.972079,[ 30 322] ; [11 62],[ 33.95764706 318.04235294] ; [ 7.04235294 65.95764706],0
a7,1,0.090085,2.87286,[263  90] ; [48 26],[257.1030445  95.8969555] ; [53.8969555 20.1030445],0
a1,1,0.136595,2.2159,[ 19 335] ; [ 1 73],[ 16.54205607 337.45794393] ; [ 3.45794393 70.54205607],0
n3,1,0.182455,1.777515,[48 18] ; [15  2],[50.09638554 15.90361446] ; [12.90361446  4.09638554],0
b4,1,0.185016,1.756864,[216 138] ; [39 35],[210.91121495 143.08878505] ; [44.08878505 29.91121495],0
u4,1,0.204362,1.610921,[ 16 338] ; [ 1 73],[ 14.06074766 339.93925234] ; [ 2.93925234 71.06074766],0
v4,1,0.218707,1.512837,[341  13] ; [68  5],[339.07728337  14.92271663] ; [69.92271663  3.07728337],0
n2,1,0.220746,1.499516,[49 17] ; [15  2],[50.89156627 15.10843373] ; [13.10843373  3.89156627],0
n4,1,0.235807,1.405485,[301  53] ; [58 15],[297.62529274  56.37470726] ; [61.37470726 11.62529274],0
r4,1,0.264419,1.245474,[333  21] ; [67  7],[330.8411215  23.1588785] ; [69.1588785  4.8411215],0
s1,1,0.26751,1.229469,[ 14 338] ; [ 5 67],[ 15.77358491 336.22641509] ; [ 3.22641509 68.77358491],0
b5,1,0.273286,1.200178,[211 143] ; [39 35],[206.77570093 147.22429907] ; [43.22429907 30.77570093],0
v3,1,0.4287,0.626344,[148 193] ; [28 45],[144.96618357 196.03381643] ; [31.03381643 41.96618357],0
p7,1,0.616124,0.251353,[235 109] ; [47 25],[233.19230769 110.80769231] ; [48.80769231 23.19230769],0
p5,1,0.617375,0.249575,[ 51 299] ; [ 9 64],[ 49.64539007 300.35460993] ; [10.35460993 62.64539007],0
n1,1,0.669,0.182775,[31 35] ; [ 7 10],[30.21686747 35.78313253] ; [7.78313253 9.21686747],0
s4,1,0.769645,0.085755,[ 75 275] ; [17 57],[ 75.94339623 274.05660377] ; [16.05660377 57.94339623],0
b1,1,0.818884,0.052432,[139 215] ; [28 46],[138.12616822 215.87383178] ; [28.87383178 45.12616822],0
a8,1,0.839069,0.041243,[ 53 280] ; [10 57],[ 52.4475 280.5525] ; [10.5525 56.4475],0
n5,1,0.89765,0.016546,[294  60] ; [61 13],[293.62149533  60.37850467] ; [61.37850467 12.62149533],0
