Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000231,13.561398,[11 68] ; [16 19],[18.71052632 60.28947368] ; [ 8.28947368 26.71052632],1
v2,1,0.002727,8.981681,[29 53] ; [24 13],[36.5210084 45.4789916] ; [16.4789916 20.5210084],0
a4,1,0.009142,6.794953,[21 64] ; [18 19],[27.17213115 57.82786885] ; [11.82786885 25.17213115],0
s5,1,0.009999,6.635091,[ 5 77] ; [ 8 28],[ 9.03389831 72.96610169] ; [ 3.96610169 32.03389831],0
a5,1,0.014635,5.959912,[37 48] ; [25 12],[43.19672131 41.80327869] ; [18.80327869 18.19672131],0
s8,1,0.020349,5.381686,[ 6 79] ; [ 8 29],[ 9.75409836 75.24590164] ; [ 4.24590164 32.75409836],0
d3,1,0.025267,5.005516,[48 36] ; [29  8],[53.45454545 30.54545455] ; [23.54545455 13.45454545],0
s1,1,0.040573,4.193761,[ 3 82] ; [ 5 32],[ 5.57377049 79.42622951] ; [ 2.42622951 34.57377049],0
p5,1,0.045767,3.990148,[ 1 83] ; [ 3 33],[ 2.8 81.2] ; [ 1.2 34.8],0
a3,1,0.057809,3.599168,[49 36] ; [28  9],[53.64754098 31.35245902] ; [23.35245902 13.64754098],0
p2,1,0.063354,3.447332,[56 28] ; [30  6],[60.2 23.8] ; [25.8 10.2],0
s2,1,0.078643,3.092734,[10 75] ; [ 9 28],[13.23770492 71.76229508] ; [ 5.76229508 31.23770492],0
r1,1,0.08305,3.004183,[53 32] ; [29  8],[57.13114754 27.86885246] ; [24.86885246 12.13114754],0
u1,1,0.111909,2.527053,[ 3 82] ; [ 4 33],[ 4.87704918 80.12295082] ; [ 2.12295082 34.87704918],0
a1,1,0.165626,1.922092,[ 1 84] ; [ 2 35],[ 2.09016393 82.90983607] ; [ 0.90983607 36.09016393],0
s3,1,0.168767,1.893859,[17 65] ; [12 25],[19.98319328 62.01680672] ; [ 9.01680672 27.98319328],0
p11,1,0.17016,1.881535,[51 34] ; [27 10],[54.3442623 30.6557377] ; [23.6557377 13.3442623],0
a8,1,0.189159,1.724153,[ 4 77] ; [ 4 30],[ 5.63478261 75.36521739] ; [ 2.36521739 31.63478261],0
p4,1,0.204894,1.607143,[25 59] ; [15 21],[28. 56.] ; [12. 24.],0
r2,1,0.211949,1.558064,[70 14] ; [34  3],[72.19834711 11.80165289] ; [31.80165289  5.19834711],0
p3,1,0.217379,1.521587,[22 63] ; [13 22],[24.79166667 60.20833333] ; [10.20833333 24.79166667],0
p1,1,0.224325,1.476485,[ 4 79] ; [ 4 33],[ 5.53333333 77.46666667] ; [ 2.46666667 34.53333333],0
d5,1,0.265394,1.240398,[55 29] ; [28  9],[57.61983471 26.38016529] ; [25.38016529 11.61983471],0
n4,1,0.311835,1.022887,[33 52] ; [18 19],[35.53278689 49.46721311] ; [15.46721311 21.53278689],0
r4,1,0.373253,0.792807,[60 25] ; [29  8],[62.00819672 22.99180328] ; [26.99180328 10.00819672],0
b1,1,0.374568,0.788453,[34 51] ; [18 19],[36.2295082 48.7704918] ; [15.7704918 21.2295082],0
d4,1,0.40622,0.689837,[63 22] ; [30  7],[64.79508197 20.20491803] ; [28.20491803  8.79508197],0
n6,1,0.425472,0.635152,[48 37] ; [18 19],[45.98360656 39.01639344] ; [20.01639344 16.98360656],0
d1,1,0.444048,0.585801,[35 50] ; [18 19],[36.92622951 48.07377049] ; [16.07377049 20.92622951],0
