Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.9e-05,16.930063,[40 11] ; [ 7 17],[31.96 19.04] ; [15.04  8.96],1
p2,1,0.000104,15.067777,[33 18] ; [ 4 20],[25.16 25.84] ; [11.84 12.16],1
r4,1,0.001629,9.926471,[23 28] ; [ 2 22],[17. 34.] ; [ 8. 16.],0
n2,1,0.00308,8.759416,[17  5] ; [3 9],[12.94117647  9.05882353] ; [7.05882353 4.94117647],0
u2,1,0.015117,5.902778,[11 11] ; [ 1 11],[ 7.76470588 14.23529412] ; [4.23529412 7.76470588],0
n6,1,0.016758,5.721527,[35 16] ; [ 9 14],[30.32432432 20.67567568] ; [13.67567568  9.32432432],0
p1,1,0.017235,5.672269,[ 1 50] ; [ 4 20],[ 3.4 47.6] ; [ 1.6 22.4],0
r2,1,0.03076,4.666318,[36 14] ; [10 12],[31.94444444 18.05555556] ; [14.05555556  7.94444444],0
p9,1,0.034323,4.47852,[21 28] ; [ 4 19],[17.01388889 31.98611111] ; [ 7.98611111 15.01388889],0
p6,1,0.053357,3.732703,[14 34] ; [ 2 21],[10.81690141 37.18309859] ; [ 5.18309859 17.81690141],0
u3,1,0.055571,3.664855,[ 9 14] ; [ 1 11],[ 6.57142857 16.42857143] ; [3.42857143 8.57142857],0
v2,1,0.102707,2.662993,[20 30] ; [ 5 19],[16.89189189 33.10810811] ; [ 8.10810811 15.89189189],0
s6,1,0.115184,2.481618,[20 31] ; [ 5 19],[17. 34.] ; [ 8. 16.],0
s3,1,0.126672,2.332826,[20 30] ; [ 5 18],[17.12328767 32.87671233] ; [ 7.87671233 15.12328767],0
s2,1,0.149127,2.081158,[14 37] ; [ 3 21],[11.56 39.44] ; [ 5.44 18.56],0
p4,1,0.155002,2.022317,[21 29] ; [ 6 18],[18.24324324 31.75675676] ; [ 8.75675676 15.24324324],0
b4,1,0.159684,1.977214,[23 28] ; [15  9],[25.84 25.16] ; [12.16 11.84],0
p7,1,0.188936,1.725899,[23 28] ; [ 7 17],[20.4 30.6] ; [ 9.6 14.4],0
p8,1,0.213836,1.545264,[13 37] ; [ 3 20],[10.95890411 39.04109589] ; [ 5.04109589 17.95890411],0
p3,1,0.246036,1.34567,[17 33] ; [ 5 19],[14.86486486 35.13513514] ; [ 7.13513514 16.86486486],0
