Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.2e-05,16.78193,[45 14] ; [ 9 20],[36.20454545 22.79545455] ; [17.79545455 11.20454545],1
n6,1,0.003027,8.791259,[49  9] ; [16 13],[43.33333333 14.66666667] ; [21.66666667  7.33333333],0
n3,1,0.003693,8.429071,[12  2] ; [4 9],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
p7,1,0.032886,4.551715,[29 27] ; [ 8 21],[24.37647059 31.62352941] ; [12.62352941 16.37647059],0
p11,1,0.038512,4.282268,[40 19] ; [13 16],[35.53409091 23.46590909] ; [17.46590909 11.53409091],0
p9,1,0.04099,4.176437,[42 16] ; [14 14],[37.76744186 20.23255814] ; [18.23255814  9.76744186],0
n2,1,0.043047,4.093567,[12  2] ; [7 7],[9.5 4.5] ; [9.5 4.5],0
s8,1,0.043403,4.079634,[27 31] ; [ 7 22],[22.66666667 35.33333333] ; [11.33333333 17.66666667],0
a2,1,0.105113,2.626205,[12 47] ; [ 2 27],[ 9.38636364 49.61363636] ; [ 4.61363636 24.38636364],0
a8,1,0.110727,2.54381,[ 8 44] ; [ 1 27],[ 5.85 46.15] ; [ 3.15 24.85],0
d1,1,0.11137,2.534673,[37 22] ; [13 16],[33.52272727 25.47727273] ; [16.47727273 12.52272727],0
r4,1,0.131172,2.278579,[49 10] ; [20  9],[46.26136364 12.73863636] ; [22.73863636  6.26136364],0
s7,1,0.137803,2.202326,[28 29] ; [ 9 19],[24.81176471 32.18823529] ; [12.18823529 15.81176471],0
p10,1,0.142107,2.154993,[43 16] ; [16 12],[40.01149425 18.98850575] ; [18.98850575  9.01149425],0
r1,1,0.149787,2.07442,[47 12] ; [19 10],[44.25 14.75] ; [21.75  7.25],0
s2,1,0.15032,2.068998,[32 27] ; [11 18],[28.82954545 30.17045455] ; [14.17045455 14.82954545],0
a7,1,0.176998,1.822649,[43 16] ; [17 12],[40.22727273 18.77272727] ; [19.77272727  9.22727273],0
b1,1,0.192866,1.695584,[29 30] ; [10 19],[26.14772727 32.85227273] ; [12.85227273 16.14772727],0
a1,1,0.196742,1.666394,[ 7 52] ; [ 1 28],[ 5.36363636 53.63636364] ; [ 2.63636364 26.36363636],0
