Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.776482,[35 16] ; [16 53],[21.675 29.325] ; [29.325 39.675],1
v3,1,1.6e-05,18.635039,[29 22] ; [13 56],[17.85 33.15] ; [24.15 44.85],1
s6,1,0.000363,12.715053,[38 10] ; [33 38],[28.63865546 19.36134454] ; [42.36134454 28.63865546],1
p10,1,0.000437,12.367471,[50  3] ; [48 22],[42.22764228 10.77235772] ; [55.77235772 14.22764228],1
p3,1,0.000806,11.226587,[34 19] ; [24 47],[24.79032258 28.20967742] ; [33.20967742 37.79032258],1
n5,1,0.001666,9.885886,[44  9] ; [40 31],[35.90322581 17.09677419] ; [48.09677419 22.90322581],0
n4,1,0.003692,8.429247,[43 10] ; [40 31],[35.47580645 17.52419355] ; [47.52419355 23.47580645],0
s2,1,0.006191,7.493887,[31 22] ; [24 47],[23.50806452 29.49193548] ; [31.49193548 39.50806452],0
s3,1,0.014461,5.980944,[33 20] ; [28 42],[26.28455285 26.71544715] ; [34.71544715 35.28455285],0
p4,1,0.019239,5.479657,[34 19] ; [30 40],[27.57723577 25.42276423] ; [36.42276423 33.57723577],0
p5,1,0.045742,3.991074,[10 43] ; [ 5 66],[ 6.41129032 46.58870968] ; [ 8.58870968 62.41129032],0
d5,1,0.046878,3.949757,[44  9] ; [47 23],[39.21138211 13.78861789] ; [51.78861789 18.21138211],0
d4,1,0.065147,3.401251,[43 10] ; [47 24],[38.46774194 14.53225806] ; [51.53225806 19.46774194],0
n2,1,0.068585,3.316576,[7 4] ; [24  3],[8.97368421 2.02631579] ; [22.02631579  4.97368421],0
p9,1,0.074188,3.187842,[49  4] ; [56 13],[45.6147541  7.3852459] ; [59.3852459  9.6147541],0
a6,1,0.079038,3.084573,[26 27] ; [46 25],[30.77419355 22.22580645] ; [41.22580645 29.77419355],0
p2,1,0.084954,2.967484,[45  8] ; [51 20],[41.03225806 11.96774194] ; [54.96774194 16.03225806],0
n3,1,0.087245,2.924483,[6 5] ; [22  5],[8.10526316 2.89473684] ; [19.89473684  7.10526316],0
s7,1,0.097099,2.752561,[23 26] ; [22 47],[18.68644068 30.31355932] ; [26.31355932 42.68644068],0
d1,1,0.110708,2.54408,[27 26] ; [26 45],[22.65322581 30.34677419] ; [30.34677419 40.65322581],0
s8,1,0.111605,2.531346,[23 30] ; [21 50],[18.80645161 34.19354839] ; [25.19354839 45.80645161],0
p8,1,0.129083,2.303497,[28 24] ; [28 42],[23.86885246 28.13114754] ; [32.13114754 37.86885246],0
a7,1,0.132575,2.262087,[38 15] ; [41 29],[34.04065041 18.95934959] ; [44.95934959 25.04065041],0
s5,1,0.135596,2.227238,[19 29] ; [18 50],[15.31034483 32.68965517] ; [21.68965517 46.31034483],0
b4,1,0.168866,1.892983,[37 16] ; [41 30],[33.33870968 19.66129032] ; [44.66129032 26.33870968],0
n6,1,0.179492,1.801823,[49  4] ; [60 11],[46.58870968  6.41129032] ; [62.41129032  8.58870968],0
v4,1,0.185664,1.751692,[52  1] ; [66  5],[50.43548387  2.56451613] ; [67.56451613  3.43548387],0
u1,1,0.224611,1.474668,[ 4 49] ; [ 2 69],[ 2.56451613 50.43548387] ; [ 3.43548387 67.56451613],0
p11,1,0.231529,1.431444,[43 10] ; [51 20],[40.17741935 12.82258065] ; [53.82258065 17.17741935],0
a5,1,0.284272,1.146551,[32 21] ; [36 35],[29.06451613 23.93548387] ; [38.93548387 32.06451613],0
a1,1,0.294282,1.099929,[ 2 51] ; [ 6 65],[ 3.41935484 49.58064516] ; [ 4.58064516 66.41935484],0
r3,1,0.396455,0.719053,[51  2] ; [70  1],[51.71774194  1.28225806] ; [69.28225806  1.71774194],0
p6,1,0.398584,0.712593,[22 30] ; [24 45],[19.76859504 32.23140496] ; [26.23140496 42.76859504],0
a8,1,0.42521,0.63587,[ 4 44] ; [ 9 60],[ 5.33333333 42.66666667] ; [ 7.66666667 61.33333333],0
s1,1,0.457623,0.551702,[ 1 52] ; [ 3 67],[ 1.72357724 51.27642276] ; [ 2.27642276 67.72357724],0
