Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,46.150807,[317  76] ; [52 56],[289.45508982 103.54491018] ; [79.54491018 28.45508982],1
d2,1,0.0,44.596796,[242 150] ; [28 81],[211.25748503 180.74251497] ; [58.74251497 50.25748503],1
a4,1,0.0,42.19459,[220 171] ; [23 86],[190.026 200.974] ; [52.974 56.026],1
d1,1,0.0,41.95608,[286 107] ; [43 66],[257.56374502 135.43625498] ; [71.43625498 37.56374502],1
u1,1,0.0,28.604522,[104 289] ; [  3 106],[ 83.76693227 309.23306773] ; [23.23306773 85.76693227],1
d4,1,0.0001,15.144345,[344  48] ; [79 30],[330.97005988  61.02994012] ; [92.02994012 16.97005988],1
r1,1,0.000203,13.806613,[351  40] ; [83 26],[339.388  51.612] ; [94.612 14.388],1
r2,1,0.000448,12.31925,[385   5] ; [101   8],[379.83967936  10.16032064] ; [106.16032064   2.83967936],1
a6,1,0.00063,11.684751,[287 106] ; [61 48],[272.43824701 120.56175299] ; [75.56175299 33.43824701],1
d5,1,0.001186,10.512028,[344  48] ; [82 27],[333.31736527  58.68263473] ; [92.68263473 16.31736527],0
p10,1,0.002456,9.172721,[348  43] ; [84 24],[338.501002  52.498998] ; [93.498998 14.501002],0
v2,1,0.003547,8.502348,[239 141] ; [50 56],[225.96707819 154.03292181] ; [63.03292181 42.96707819],0
p9,1,0.005417,7.734798,[354  38] ; [87 21],[345.744  46.256] ; [95.256 12.744],0
b2,1,0.007529,7.142298,[110 148] ; [15 47],[100.78125 157.21875] ; [24.21875 37.78125],0
b3,1,0.007529,7.142298,[110 148] ; [15 47],[100.78125 157.21875] ; [24.21875 37.78125],0
d3,1,0.013326,6.125309,[302  91] ; [71 38],[292.00996016 100.99003984] ; [80.99003984 28.00996016],0
a7,1,0.014346,5.995052,[310  83] ; [73 35],[300.43712575  92.56287425] ; [82.56287425 25.43712575],0
s5,1,0.018065,5.589801,[159 220] ; [30 73],[148.6120332 230.3879668] ; [40.3879668 62.6120332],0
s8,1,0.023092,5.161537,[209 181] ; [45 64],[198.51703407 191.48296593] ; [55.48296593 53.51703407],0
s7,1,0.027184,4.879062,[220 154] ; [47 54],[210.22736842 163.77263158] ; [56.77263158 44.22736842],0
p11,1,0.03531,4.430132,[330  63] ; [82 27],[322.54183267  70.45816733] ; [89.45816733 19.54183267],0
n4,1,0.060483,3.524099,[332  60] ; [84 25],[325.49301397  66.50698603] ; [90.50698603 18.49301397],0
v1,1,0.062308,3.474871,[240 142] ; [56 50],[231.70491803 150.29508197] ; [64.29508197 41.70491803],0
a1,1,0.063811,3.435444,[ 25 368] ; [  2 107],[ 21.1374502 371.8625498] ; [  5.8625498 103.1374502],0
p5,1,0.130393,2.287822,[ 60 331] ; [23 84],[ 65.16666667 325.83333333] ; [17.83333333 89.16666667],0
s2,1,0.133323,2.253377,[226 163] ; [54 54],[219.15492958 169.84507042] ; [60.84507042 47.15492958],0
u4,1,0.151277,2.059322,[ 14 379] ; [  1 108],[ 11.74302789 381.25697211] ; [  3.25697211 105.74302789],0
p7,1,0.188842,1.726626,[294  97] ; [73 33],[288.72635815 102.27364185] ; [78.27364185 27.72635815],0
p3,1,0.189934,1.71813,[274 118] ; [69 40],[268.3752495 123.6247505] ; [74.6247505 34.3752495],0
p8,1,0.202145,1.626811,[257 133] ; [64 44],[251.38554217 138.61445783] ; [69.61445783 38.38554217],0
b1,1,0.254689,1.297401,[157 236] ; [37 72],[151.87649402 241.12350598] ; [42.12350598 66.87649402],0
p2,1,0.263037,1.252702,[355  36] ; [95 14],[351.9  39.1] ; [98.1 10.9],0
p12,1,0.298428,1.081208,[ 42 350] ; [  8 101],[ 39.12175649 352.87824351] ; [10.87824351 98.12175649],0
s3,1,0.415371,0.663376,[236 152] ; [61 47],[232.33064516 155.66935484] ; [64.66935484 43.33064516],0
b5,1,0.457866,0.551105,[226 167] ; [67 42],[229.38047809 163.61952191] ; [63.61952191 45.38047809],0
