Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.634833,[ 6 27] ; [25  9],[15.26865672 17.73134328] ; [15.73134328 18.26865672],1
s6,1,0.000123,14.739938,[15 19] ; [33  5],[22.66666667 11.33333333] ; [25.33333333 12.66666667],1
s3,1,0.000183,13.996862,[ 7 26] ; [26 14],[14.91780822 18.08219178] ; [18.08219178 21.91780822],1
s8,1,0.001268,10.387865,[ 7 27] ; [23 17],[13.78378378 20.21621622] ; [16.21621622 23.78378378],0
s5,1,0.002033,9.519534,[ 6 28] ; [20 18],[12.27777778 21.72222222] ; [13.72222222 24.27777778],0
r4,1,0.003037,8.784826,[22 12] ; [37  3],[27.10810811  6.89189189] ; [31.89189189  8.10810811],0
u1,1,0.004533,8.056876,[ 2 32] ; [13 27],[ 6.89189189 27.10810811] ; [ 8.10810811 31.89189189],0
p10,1,0.012184,6.283898,[15 18] ; [29 10],[20.16666667 12.83333333] ; [23.83333333 15.16666667],0
r3,1,0.01357,6.093294,[24 10] ; [37  3],[28.02702703  5.97297297] ; [32.97297297  7.02702703],0
p4,1,0.017327,5.662947,[11 20] ; [25 14],[15.94285714 15.05714286] ; [20.05714286 18.94285714],0
a4,1,0.044841,4.024593,[10 24] ; [21 19],[14.24324324 19.75675676] ; [16.75675676 23.24324324],0
d3,1,0.045325,4.00652,[21 13] ; [33  7],[24.81081081  9.18918919] ; [29.18918919 10.81081081],0
a2,1,0.046417,3.966383,[ 5 29] ; [14 26],[ 8.72972973 25.27027027] ; [10.27027027 29.72972973],0
v1,1,0.067107,3.352402,[14 20] ; [25 15],[17.91891892 16.08108108] ; [21.08108108 18.91891892],0
p2,1,0.076553,3.136597,[17 16] ; [28 11],[20.625 12.375] ; [24.375 14.625],0
r1,1,0.076983,3.127469,[23 11] ; [34  6],[26.18918919  7.81081081] ; [30.81081081  9.18918919],0
a5,1,0.083641,2.992693,[20 14] ; [31  9],[23.43243243 10.56756757] ; [27.56756757 12.43243243],0
v2,1,0.096024,2.77037,[18 16] ; [28 11],[21.42465753 12.57534247] ; [24.57534247 14.42465753],0
p9,1,0.113022,2.511455,[18 16] ; [27 11],[21.25 12.75] ; [23.75 14.25],0
p6,1,0.113378,2.506497,[ 7 26] ; [15 24],[10.08333333 22.91666667] ; [11.91666667 27.08333333],0
n2,1,0.147501,2.097902,[7 6] ; [9 2],[8.66666667 4.33333333] ; [7.33333333 3.66666667],0
d2,1,0.172647,1.859806,[15 19] ; [24 16],[17.91891892 16.08108108] ; [21.08108108 18.91891892],0
n3,1,0.221433,1.495062,[7 5] ; [9 2],[8.34782609 3.65217391] ; [7.65217391 3.34782609],0
p3,1,0.269087,1.221393,[11 22] ; [18 21],[13.29166667 19.70833333] ; [15.70833333 23.29166667],0
a6,1,0.292369,1.108681,[18 16] ; [26 14],[20.21621622 13.78378378] ; [23.78378378 16.21621622],0
n5,1,0.315547,1.007315,[20 14] ; [28 12],[22.05405405 11.94594595] ; [25.94594595 14.05405405],0
u2,1,0.320423,0.987221,[5 8] ; [7 5],[6.24 6.76] ; [5.76 6.24],0
a7,1,0.325546,0.966534,[21 13] ; [29 11],[22.97297297 11.02702703] ; [27.02702703 12.97297297],0
n1,1,0.338352,0.916667,[2 9] ; [4 7],[3. 8.] ; [3. 8.],0
n4,1,0.341539,0.904646,[23 11] ; [31  9],[24.81081081  9.18918919] ; [29.18918919 10.81081081],0
d4,1,0.350209,0.872699,[25  9] ; [33  7],[26.64864865  7.35135135] ; [31.35135135  8.64864865],0
d1,1,0.350793,0.870588,[15 19] ; [22 18],[17. 17.] ; [20. 20.],0
n6,1,0.375389,0.785749,[23 11] ; [30  9],[24.68493151  9.31506849] ; [28.31506849 10.68493151],0
a3,1,0.399904,0.708616,[20 13] ; [28 12],[21.69863014 11.30136986] ; [26.30136986 13.69863014],0
d5,1,0.509621,0.434845,[25  9] ; [32  8],[26.18918919  7.81081081] ; [30.81081081  9.18918919],0
