Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.281167,[103  14] ; [13 14],[94.25 22.75] ; [21.75  5.25],1
r4,1,2.1e-05,18.120984,[79 39] ; [ 6 21],[69.17241379 48.82758621] ; [15.82758621 11.17241379],1
p11,1,7.4e-05,15.704591,[93 25] ; [11 16],[84.63448276 33.36551724] ; [19.36551724  7.63448276],1
p10,1,0.00011,14.961994,[91 25] ; [10 15],[83.09219858 32.90780142] ; [17.90780142  7.09219858],1
p8,1,0.000248,13.428446,[54 62] ; [ 2 24],[45.74647887 70.25352113] ; [10.25352113 15.74647887],1
v4,1,0.001138,10.588603,[101  17] ; [15 11],[95.05555556 22.94444444] ; [20.94444444  5.05555556],0
a1,1,0.007522,7.143971,[  7 111] ; [ 6 21],[ 10.57931034 107.42068966] ; [ 2.42068966 24.57931034],0
p9,1,0.007868,7.063278,[98 18] ; [16 10],[93.12676056 22.87323944] ; [20.87323944  5.12676056],0
p2,1,0.010416,6.562246,[91 27] ; [13 12],[85.81818182 32.18181818] ; [18.18181818  6.81818182],0
b1,1,0.011594,6.371849,[43 75] ; [17 10],[48.82758621 69.17241379] ; [11.17241379 15.82758621],0
p6,1,0.015135,5.900711,[42 71] ; [ 3 22],[36.84782609 76.15217391] ; [ 8.15217391 16.84782609],0
p4,1,0.033273,4.53169,[63 54] ; [ 8 18],[58.09090909 58.90909091] ; [12.90909091 13.09090909],0
d2,1,0.064393,3.420473,[42 74] ; [15 12],[46.23776224 69.76223776] ; [10.76223776 16.23776224],0
p3,1,0.066473,3.368026,[55 63] ; [ 7 19],[50.80555556 67.19444444] ; [11.19444444 14.80555556],0
v3,1,0.074128,3.189161,[44 73] ; [ 5 21],[40.09090909 76.90909091] ; [ 8.90909091 17.09090909],0
s6,1,0.088343,2.90432,[63 51] ; [10 17],[59.0212766 54.9787234] ; [13.9787234 13.0212766],0
s2,1,0.114477,2.491307,[50 68] ; [ 7 20],[46.3862069 71.6137931] ; [10.6137931 16.3862069],0
s8,1,0.119162,2.428297,[40 78] ; [ 5 22],[36.62068966 81.37931034] ; [ 8.37931034 18.62068966],0
v2,1,0.128823,2.306636,[56 59] ; [ 8 17],[52.57142857 62.42857143] ; [11.42857143 13.57142857],0
d4,1,0.134845,2.235824,[87 31] ; [16 11],[83.82068966 34.17931034] ; [19.17931034  7.82068966],0
a7,1,0.159458,1.979359,[70 48] ; [12 15],[66.73103448 51.26896552] ; [15.26896552 11.73103448],0
u3,1,0.159977,1.974447,[15 28] ; [1 8],[13.23076923 29.76923077] ; [2.76923077 6.23076923],0
s7,1,0.17125,1.871962,[46 65] ; [ 7 19],[42.94160584 68.05839416] ; [10.05839416 15.94160584],0
v1,1,0.213281,1.549013,[52 62] ; [ 8 17],[49.20863309 64.79136691] ; [10.79136691 14.20863309],0
r2,1,0.242956,1.363359,[92 21] ; [17  7],[89.90510949 23.09489051] ; [19.09489051  4.90510949],0
d5,1,0.262463,1.255721,[87 31] ; [17 10],[84.63448276 33.36551724] ; [19.36551724  7.63448276],0
a2,1,0.286242,1.137213,[ 13 105] ; [ 5 22],[ 14.64827586 103.35172414] ; [ 3.35172414 23.64827586],0
n2,1,0.330446,0.947149,[25  6] ; [8 4],[23.79069767  7.20930233] ; [9.20930233 2.79069767],0
n3,1,0.330446,0.947149,[25  6] ; [8 4],[23.79069767  7.20930233] ; [9.20930233 2.79069767],0
d3,1,0.358019,0.844829,[64 54] ; [12 15],[61.84827586 56.15172414] ; [14.15172414 12.84827586],0
n5,1,0.390154,0.738462,[99 18] ; [21  6],[97.5 19.5] ; [22.5  4.5],0
b4,1,0.428577,0.626677,[71 47] ; [14 13],[69.17241379 48.82758621] ; [15.82758621 11.17241379],0
b5,1,0.439397,0.597857,[75 43] ; [15 12],[73.24137931 44.75862069] ; [16.75862069 10.24137931],0
s5,1,0.447544,0.576866,[25 84] ; [ 4 21],[23.58955224 85.41044776] ; [ 5.41044776 19.58955224],0
n1,1,0.470358,0.521135,[13 18] ; [6 5],[14.02380952 16.97619048] ; [4.97619048 6.02380952],0
p7,1,0.495624,0.464294,[60 56] ; [12 15],[58.40559441 57.59440559] ; [13.59440559 13.40559441],0
p5,1,0.496906,0.461538,[ 14 103] ; [ 2 25],[ 13. 104.] ; [ 3. 24.],0
p12,1,0.569939,0.322784,[  8 109] ; [ 1 25],[  7.36363636 109.63636364] ; [ 1.63636364 24.36363636],0
s3,1,0.58165,0.303575,[56 60] ; [11 15],[54.73239437 61.26760563] ; [12.26760563 13.73239437],0
a6,1,0.611567,0.257899,[68 50] ; [17 10],[69.17241379 48.82758621] ; [15.82758621 11.17241379],0
a8,1,0.672141,0.179108,[13 97] ; [ 4 23],[13.64963504 96.35036496] ; [ 3.35036496 23.64963504],0
a3,1,0.700277,0.148183,[74 44] ; [18  9],[74.86896552 43.13103448] ; [17.13103448  9.86896552],0
b2,1,0.751662,0.10014,[28 47] ; [ 6 12],[27.41935484 47.58064516] ; [ 6.58064516 11.41935484],0
b3,1,0.751662,0.10014,[28 47] ; [ 6 12],[27.41935484 47.58064516] ; [ 6.58064516 11.41935484],0
d1,1,0.753048,0.098987,[52 66] ; [11 16],[51.26896552 66.73103448] ; [11.73103448 15.26896552],0
a5,1,0.876842,0.024017,[68 50] ; [16 11],[68.35862069 49.64137931] ; [15.64137931 11.35862069],0
p1,1,0.884764,0.021005,[ 12 106] ; [ 3 24],[ 12.20689655 105.79310345] ; [ 2.79310345 24.20689655],0
u2,1,0.909933,0.012797,[20 23] ; [4 5],[19.84615385 23.15384615] ; [4.15384615 4.84615385],0
s4,1,0.954215,0.003296,[ 18 100] ; [ 4 23],[ 17.90344828 100.09655172] ; [ 4.09655172 22.90344828],0
a4,1,0.977926,0.000766,[43 74] ; [10 17],[43.0625 73.9375] ; [ 9.9375 17.0625],0
