Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.010389,6.566968,[13  2] ; [82 75],[8.28488372 6.71511628] ; [86.71511628 70.28488372],0
b5,1,0.028098,4.822057,[ 5 10] ; [98 59],[8.98255814 6.01744186] ; [94.01744186 62.98255814],0
d1,1,0.028098,4.822057,[10  5] ; [59 98],[6.01744186 8.98255814] ; [62.98255814 94.01744186],0
v1,1,0.053011,3.743587,[7 7] ; [ 40 115],[ 3.89349112 10.10650888] ; [ 43.10650888 111.89349112],0
d5,1,0.058629,3.575749,[13  2] ; [97 59],[9.64912281 5.35087719] ; [100.35087719  55.64912281],0
d4,1,0.088063,2.909421,[13  2] ; [102  55],[10.02906977  4.97093023] ; [104.97093023  52.02906977],0
d3,1,0.12906,2.303772,[11  4] ; [82 73],[8.20588235 6.79411765] ; [84.79411765 70.20588235],0
a7,1,0.144232,2.132218,[12  3] ; [95 61],[9.38596491 5.61403509] ; [97.61403509 58.38596491],0
s8,1,0.20669,1.594463,[ 3 12] ; [ 15 142],[ 1.56976744 13.43023256] ; [ 16.43023256 140.56976744],0
p10,1,0.238633,1.388652,[10  4] ; [86 70],[7.90588235 6.09411765] ; [88.09411765 67.90588235],0
r2,1,0.242694,1.364875,[14  1] ; [126  29],[12.35294118  2.64705882] ; [127.64705882  27.35294118],0
p2,1,0.257094,1.284341,[11  3] ; [99 57],[9.05882353 4.94117647] ; [100.94117647  55.05882353],0
p1,1,0.329194,0.952067,[ 2 12] ; [ 11 145],[ 1.07058824 12.92941176] ; [ 11.92941176 144.07058824],0
d2,1,0.331009,0.944946,[8 7] ; [63 93],[6.22807018 8.77192982] ; [64.77192982 91.22807018],0
p5,1,0.33464,0.930858,[ 1 13] ; [  4 151],[ 0.41420118 13.58579882] ; [  4.58579882 150.41420118],0
s3,1,0.421847,0.645163,[5 9] ; [ 40 115],[ 3.72781065 10.27218935] ; [ 41.27218935 113.72781065],0
p6,1,0.456882,0.553522,[ 4 11] ; [ 29 126],[ 2.91176471 12.08823529] ; [ 30.08823529 124.91176471],0
n5,1,0.469685,0.522717,[8 7] ; [98 58],[9.29824561 5.70175439] ; [96.70175439 59.29824561],0
n6,1,0.493355,0.469201,[11  4] ; [100  55],[9.79411765 5.20588235] ; [101.20588235  53.79411765],0
b3,1,0.502556,0.449534,[2 6] ; [35 60],[2.87378641 5.12621359] ; [34.12621359 60.87378641],0
b2,1,0.502556,0.449534,[2 6] ; [35 60],[2.87378641 5.12621359] ; [34.12621359 60.87378641],0
p11,1,0.512961,0.428021,[10  5] ; [91 66],[8.80813953 6.19186047] ; [92.19186047 64.80813953],0
u2,1,0.517825,0.418224,[2 4] ; [32 36],[2.75675676 3.24324324] ; [31.24324324 36.75675676],0
s7,1,0.587322,0.294545,[ 2 13] ; [ 28 119],[ 2.77777778 12.22222222] ; [ 27.22222222 119.77777778],0
u3,1,0.609254,0.261263,[2 4] ; [30 38],[2.59459459 3.40540541] ; [29.40540541 38.59459459],0
a3,1,0.618138,0.248494,[9 5] ; [89 66],[8.1183432 5.8816568] ; [89.8816568 65.1183432],0
p9,1,0.62086,0.244661,[10  5] ; [92 61],[9.10714286 5.89285714] ; [92.89285714 60.10714286],0
a4,1,0.639146,0.219861,[6 9] ; [ 53 103],[5.1754386 9.8245614] ; [ 53.8245614 102.1754386],0
p4,1,0.676406,0.1742,[6 9] ; [ 54 102],[5.26315789 9.73684211] ; [ 54.73684211 101.26315789],0
r3,1,0.705667,0.142644,[12  3] ; [118  38],[11.40350877  3.59649123] ; [118.59649123  37.40350877],0
s4,1,0.712995,0.135304,[ 1 14] ; [ 15 142],[ 1.39534884 13.60465116] ; [ 14.60465116 142.39534884],0
a8,1,0.713882,0.13443,[ 2 12] ; [ 16 129],[ 1.58490566 12.41509434] ; [ 16.41509434 128.58490566],0
p3,1,0.715169,0.133169,[ 5 10] ; [ 45 111],[ 4.38596491 10.61403509] ; [ 45.61403509 110.38596491],0
n3,1,0.725657,0.123137,[2 1] ; [31 24],[1.70689655 1.29310345] ; [31.29310345 23.70689655],0
b1,1,0.728959,0.120069,[7 8] ; [66 91],[6.36627907 8.63372093] ; [66.63372093 90.36627907],0
r4,1,0.853455,0.034119,[9 6] ; [98 59],[9.33139535 5.66860465] ; [97.66860465 59.33139535],0
s2,1,0.864522,0.029111,[ 2 12] ; [ 25 131],[ 2.22352941 11.77647059] ; [ 24.77647059 131.22352941],0
a5,1,0.876955,0.023973,[8 7] ; [87 70],[8.28488372 6.71511628] ; [86.71511628 70.28488372],0
