Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001654,9.89899,[ 3 12] ; [30 15],[8.25 6.75] ; [24.75 20.25],0
r4,1,0.002541,9.110512,[10  5] ; [43  2],[13.25  1.75] ; [39.75  5.25],0
v2,1,0.007597,7.1262,[ 3 11] ; [28 17],[7.3559322 6.6440678] ; [23.6440678 21.3559322],0
v1,1,0.010165,6.605714,[ 2 13] ; [23 22],[6.25 8.75] ; [18.75 26.25],0
a3,1,0.016827,5.714286,[ 4 11] ; [28 17],[8. 7.] ; [24. 21.],0
r2,1,0.016827,5.714286,[12  3] ; [44  1],[14.  1.] ; [42.  3.],0
n4,1,0.025239,5.007407,[8 7] ; [37  8],[11.25  3.75] ; [33.75 11.25],0
s3,1,0.05328,3.735112,[6 9] ; [30 14],[9.15254237 5.84745763] ; [26.84745763 17.15254237],0
s5,1,0.07306,3.212897,[ 2 12] ; [17 25],[4.75 9.25] ; [14.25 27.75],0
n2,1,0.097635,2.743764,[1 2] ; [6 1],[2.1 0.9] ; [4.9 2.1],0
d2,1,0.103459,2.651391,[ 1 14] ; [12 33],[ 3.25 11.75] ; [ 9.75 35.25],0
b2,1,0.121335,2.4,[2 7] ; [14 13],[4. 5.] ; [12. 15.],0
b3,1,0.121335,2.4,[2 7] ; [14 13],[4. 5.] ; [12. 15.],0
u3,1,0.141929,2.156918,[4 7] ; [11  6],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
n6,1,0.143963,2.135076,[11  4] ; [40  5],[12.75  2.25] ; [38.25  6.75],0
a7,1,0.17753,1.818182,[9 6] ; [35 10],[11.  4.] ; [33. 12.],0
p10,1,0.193784,1.68861,[9 6] ; [34 10],[10.93220339  4.06779661] ; [32.06779661 11.93220339],0
s2,1,0.199967,1.642614,[6 9] ; [26 18],[8.13559322 6.86440678] ; [23.86440678 20.13559322],0
s6,1,0.247927,1.334949,[7 8] ; [28 16],[8.89830508 6.10169492] ; [26.10169492 17.89830508],0
a6,1,0.274006,1.196581,[8 7] ; [31 14],[9.75 5.25] ; [29.25 15.75],0
b5,1,0.283217,1.151586,[11  4] ; [26 19],[9.25 5.75] ; [27.75 17.25],0
a4,1,0.28409,1.147421,[ 1 14] ; [ 8 36],[ 2.28813559 12.71186441] ; [ 6.71186441 37.28813559],0
n5,1,0.290347,1.118012,[10  5] ; [36  9],[11.5  3.5] ; [34.5 10.5],0
s7,1,0.329124,0.95234,[6 7] ; [27 17],[7.52631579 5.47368421] ; [25.47368421 18.52631579],0
v3,1,0.353391,0.861244,[ 4 11] ; [18 27],[5.5 9.5] ; [16.5 28.5],0
p3,1,0.366799,0.81448,[7 8] ; [27 18],[8.5 6.5] ; [25.5 19.5],0
p9,1,0.389424,0.740741,[10  5] ; [35 10],[11.25  3.75] ; [33.75 11.25],0
a1,1,0.406282,0.689655,[ 1 14] ; [ 1 44],[ 0.5 14.5] ; [ 1.5 43.5],0
p8,1,0.408215,0.683995,[12  3] ; [31 14],[10.75  4.25] ; [32.25 12.75],0
v4,1,0.418492,0.654545,[13  2] ; [42  3],[13.75  1.25] ; [41.25  3.75],0
d3,1,0.449692,0.571429,[ 5 10] ; [20 25],[6.25 8.75] ; [18.75 26.25],0
b1,1,0.455806,0.556174,[6 9] ; [23 22],[7.25 7.75] ; [21.75 23.25],0
p2,1,0.456057,0.555556,[11  4] ; [37  8],[12.  3.] ; [36.  9.],0
s4,1,0.456057,0.555556,[ 4 11] ; [ 8 37],[ 3. 12.] ; [ 9. 36.],0
p7,1,0.461894,0.541302,[11  3] ; [39  6],[11.86440678  2.13559322] ; [38.13559322  6.86440678],0
n1,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
p5,1,0.605577,0.266667,[ 3 12] ; [12 33],[ 3.75 11.25] ; [11.25 33.75],0
p4,1,0.639207,0.21978,[9 6] ; [30 15],[9.75 5.25] ; [29.25 15.75],0
s8,1,0.650147,0.205714,[7 8] ; [18 27],[6.25 8.75] ; [18.75 26.25],0
p1,1,0.724498,0.124224,[ 3 12] ; [11 34],[ 3.5 11.5] ; [10.5 34.5],0
s1,1,0.746738,0.104293,[ 1 14] ; [ 2 42],[ 0.76271186 14.23728814] ; [ 2.23728814 41.76271186],0
a8,1,0.761197,0.092361,[ 2 13] ; [ 7 35],[ 2.36842105 12.63157895] ; [ 6.63157895 35.36842105],0
u2,1,0.823218,0.049911,[6 5] ; [10  7],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
p12,1,0.84725,0.037106,[ 3 12] ; [ 8 37],[ 2.75 12.25] ; [ 8.25 36.75],0
p11,1,0.856428,0.032733,[12  3] ; [35 10],[11.75  3.25] ; [35.25  9.75],0
d4,1,0.880905,0.022447,[7 8] ; [20 25],[6.75 8.25] ; [20.25 24.75],0
b4,1,0.880905,0.022447,[8 7] ; [25 20],[8.25 6.75] ; [24.75 20.25],0
r3,1,1.0,0.0,[14  1] ; [42  3],[14.  1.] ; [42.  3.],0
