Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,29.112775,[86 17] ; [10 20],[74.34586466 28.65413534] ; [21.65413534  8.34586466],1
r4,1,0.0,28.429628,[76 27] ; [ 6 24],[63.5037594 39.4962406] ; [18.4962406 11.5037594],1
r2,1,5e-06,20.690094,[94  8] ; [16 12],[86.30769231 15.69230769] ; [23.69230769  4.30769231],1
n6,1,2.1e-05,18.081257,[69 34] ; [ 7 23],[58.85714286 44.14285714] ; [17.14285714 12.85714286],1
p2,1,0.000141,14.486349,[64 38] ; [ 7 23],[54.86363636 47.13636364] ; [16.13636364 13.86363636],1
d5,1,0.000565,11.887846,[78 24] ; [13 17],[70.31818182 31.68181818] ; [20.68181818  9.31818182],1
n3,1,0.000975,10.87473,[26  8] ; [ 4 11],[20.81632653 13.18367347] ; [9.18367347 5.81632653],1
u3,1,0.001328,10.303534,[22 20] ; [ 1 15],[16.65517241 25.34482759] ; [6.34482759 9.65517241],0
s6,1,0.002835,8.910774,[48 54] ; [ 5 25],[40.95454545 61.04545455] ; [12.04545455 17.95454545],0
a1,1,0.00322,8.678541,[ 4 99] ; [ 6 24],[ 7.7443609 95.2556391] ; [ 2.2556391 27.7443609],0
p9,1,0.006995,7.274295,[52 47] ; [ 7 22],[45.6328125 53.3671875] ; [13.3671875 15.6328125],0
r1,1,0.008387,6.948828,[65 37] ; [11 19],[58.72727273 43.27272727] ; [17.27272727 12.72727273],0
p10,1,0.00867,6.88949,[48 52] ; [ 6 23],[41.86046512 58.13953488] ; [12.13953488 16.86046512],0
p1,1,0.024487,5.059835,[  3 100] ; [ 4 26],[ 5.42105263 97.57894737] ; [ 1.57894737 28.42105263],0
p7,1,0.030606,4.674918,[49 51] ; [ 8 22],[43.84615385 56.15384615] ; [13.15384615 16.84615385],0
b5,1,0.033352,4.527616,[70 33] ; [14 16],[65.05263158 37.94736842] ; [18.94736842 11.05263158],0
n4,1,0.05872,3.57317,[52 51] ; [21  9],[56.53383459 46.46616541] ; [16.46616541 13.53383459],0
a7,1,0.061065,3.508209,[70 32] ; [15 15],[65.68181818 36.31818182] ; [19.31818182 10.68181818],0
d1,1,0.063431,3.445332,[47 56] ; [ 8 22],[42.59398496 60.40601504] ; [12.40601504 17.59398496],0
v2,1,0.063551,3.442189,[39 60] ; [ 6 23],[34.8046875 64.1953125] ; [10.1953125 18.8046875],0
p8,1,0.070527,3.270715,[31 70] ; [ 4 25],[27.19230769 73.80769231] ; [ 7.80769231 21.19230769],0
d3,1,0.092938,2.822725,[58 43] ; [12 18],[53.96946565 47.03053435] ; [16.03053435 13.96946565],0
s4,1,0.098101,2.73615,[20 83] ; [ 2 28],[17.03759398 85.96240602] ; [ 4.96240602 25.03759398],0
d4,1,0.115359,2.479223,[77 26] ; [18 12],[73.57142857 29.42857143] ; [21.42857143  8.57142857],0
u2,1,0.160611,1.968463,[16 26] ; [ 3 13],[13.75862069 28.24137931] ; [ 5.24137931 10.75862069],0
s2,1,0.16961,1.886385,[26 77] ; [ 4 26],[23.23308271 79.76691729] ; [ 6.76691729 23.23308271],0
s1,1,0.186733,1.743204,[ 4 99] ; [ 3 27],[ 5.42105263 97.57894737] ; [ 1.57894737 28.42105263],0
a5,1,0.187643,1.73603,[62 41] ; [14 16],[58.85714286 44.14285714] ; [17.14285714 12.85714286],0
b3,1,0.195772,1.673641,[13 35] ; [ 9 12],[15.30434783 32.69565217] ; [ 6.69565217 14.30434783],0
b2,1,0.195772,1.673641,[13 35] ; [ 9 12],[15.30434783 32.69565217] ; [ 6.69565217 14.30434783],0
a8,1,0.21027,1.569569,[ 6 90] ; [ 4 26],[ 7.61904762 88.38095238] ; [ 2.38095238 27.61904762],0
p3,1,0.253314,1.304936,[31 70] ; [ 6 24],[28.52671756 72.47328244] ; [ 8.47328244 21.52671756],0
n2,1,0.254838,1.296587,[23 13] ; [7 8],[21.17647059 14.82352941] ; [8.82352941 6.17647059],0
v1,1,0.256349,1.288366,[35 67] ; [ 7 23],[32.45454545 69.54545455] ; [ 9.54545455 20.45454545],0
v3,1,0.257969,1.279621,[30 68] ; [ 6 24],[27.5625 70.4375] ; [ 8.4375 21.5625],0
a6,1,0.260989,1.263501,[60 43] ; [14 16],[57.30827068 45.69172932] ; [16.69172932 13.30827068],0
a2,1,0.273185,1.200683,[19 84] ; [ 3 27],[17.03759398 85.96240602] ; [ 4.96240602 25.03759398],0
s5,1,0.278879,1.172546,[18 80] ; [ 3 27],[16.078125 81.921875] ; [ 4.921875 25.078125],0
a3,1,0.332049,0.940891,[59 42] ; [14 15],[56.71538462 44.28461538] ; [16.28461538 12.71538462],0
a4,1,0.335784,0.926464,[38 64] ; [ 8 21],[35.81679389 66.18320611] ; [10.18320611 18.81679389],0
n1,1,0.466348,0.530615,[10 24] ; [6 9],[11.10204082 22.89795918] ; [ 4.89795918 10.10204082],0
p4,1,0.512627,0.428702,[33 67] ; [ 8 22],[31.53846154 68.46153846] ; [ 9.46153846 20.53846154],0
n5,1,0.522499,0.408959,[55 48] ; [18 12],[56.53383459 46.46616541] ; [16.46616541 13.53383459],0
p6,1,0.524132,0.405755,[15 85] ; [ 3 26],[13.95348837 86.04651163] ; [ 4.04651163 24.95348837],0
