Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,25.549795,[75 32] ; [25 52],[58.15217391 48.84782609] ; [41.84782609 35.15217391],1
a6,1,3e-06,21.894569,[76 31] ; [28 49],[60.47826087 46.52173913] ; [43.52173913 33.47826087],1
a2,1,1.8e-05,18.441653,[31 77] ; [ 3 74],[19.84864865 88.15135135] ; [14.15135135 62.84864865],1
u1,1,0.000391,12.576767,[22 86] ; [ 2 75],[14.01081081 93.98918919] ; [ 9.98918919 67.01081081],1
b5,1,0.001272,10.382653,[72 36] ; [33 44],[61.2972973 46.7027027] ; [43.7027027 33.2972973],0
d1,1,0.001801,9.742111,[63 45] ; [27 50],[52.54054054 55.45945946] ; [37.45945946 39.54054054],0
d5,1,0.002874,8.88579,[82 25] ; [43 34],[72.69021739 34.30978261] ; [52.30978261 24.69021739],0
d4,1,0.011284,6.420103,[86 21] ; [49 28],[78.50543478 28.49456522] ; [56.49456522 20.50543478],0
r1,1,0.019057,5.496277,[77 31] ; [42 35],[69.47027027 38.52972973] ; [49.52972973 27.47027027],0
v4,1,0.021381,5.295476,[91 17] ; [54 23],[84.64864865 23.35135135] ; [60.35135135 16.64864865],0
p10,1,0.022573,5.20108,[64 43] ; [32 43],[56.43956044 50.56043956] ; [39.56043956 35.43956044],0
r3,1,0.023413,5.137582,[93 15] ; [56 21],[86.98378378 21.01621622] ; [62.01621622 14.98378378],0
a5,1,0.031453,4.62808,[73 35] ; [40 37],[65.96756757 42.03243243] ; [47.03243243 29.96756757],0
r4,1,0.032319,4.58149,[83 25] ; [48 29],[76.47567568 31.52432432] ; [54.52432432 22.47567568],0
p9,1,0.042898,4.099409,[65 40] ; [34 39],[58.3988764 46.6011236] ; [40.6011236 32.3988764],0
v2,1,0.058553,3.57789,[55 48] ; [28 44],[48.85142857 54.14857143] ; [34.14857143 37.85142857],0
a8,1,0.092969,2.822198,[13 89] ; [ 4 72],[ 9.74157303 92.25842697] ; [ 7.25842697 68.74157303],0
a3,1,0.095007,2.787415,[72 34] ; [43 34],[66.61202186 39.38797814] ; [48.38797814 28.61202186],0
n1,1,0.143203,2.143198,[14 25] ; [18 16],[17.09589041 21.90410959] ; [14.90410959 19.09589041],0
b4,1,0.143667,2.138237,[65 43] ; [38 39],[60.12972973 47.87027027] ; [42.87027027 34.12972973],0
v3,1,0.160768,1.966989,[36 67] ; [18 54],[31.78285714 71.21714286] ; [22.21714286 49.78285714],0
n6,1,0.185044,1.756645,[76 32] ; [47 30],[71.80540541 36.19459459] ; [51.19459459 25.80540541],0
n4,1,0.186707,1.743414,[72 36] ; [44 33],[67.71891892 40.28108108] ; [48.28108108 28.71891892],0
b2,1,0.258485,1.276855,[21 45] ; [21 29],[23.89655172 42.10344828] ; [18.10344828 31.89655172],0
b3,1,0.258485,1.276855,[21 45] ; [21 29],[23.89655172 42.10344828] ; [18.10344828 31.89655172],0
s6,1,0.268123,1.226325,[56 51] ; [33 42],[52.32417582 54.67582418] ; [36.67582418 38.32417582],0
u2,1,0.275778,1.187777,[20 16] ; [14 19],[17.73913043 18.26086957] ; [16.26086957 16.73913043],0
b1,1,0.290721,1.116282,[49 59] ; [41 36],[52.54054054 55.45945946] ; [37.45945946 39.54054054],0
a4,1,0.3033,1.059627,[49 58] ; [29 47],[45.60655738 61.39344262] ; [32.39344262 43.60655738],0
s1,1,0.310088,1.030303,[  7 101] ; [ 8 67],[ 8.85245902 99.14754098] ; [ 6.14754098 68.85245902],0
p4,1,0.321908,0.981178,[26 82] ; [23 52],[28.91803279 79.08196721] ; [20.08196721 54.91803279],0
s7,1,0.371638,0.798181,[36 65] ; [21 51],[33.27745665 67.72254335] ; [23.72254335 48.27745665],0
p12,1,0.373277,0.792727,[  4 104] ; [ 5 71],[  5.2826087 102.7173913] ; [ 3.7173913 72.2826087],0
n5,1,0.410845,0.676354,[69 39] ; [44 32],[66.32608696 41.67391304] ; [46.67391304 29.32608696],0
r2,1,0.473007,0.514944,[93 13] ; [63 12],[91.35911602 14.64088398] ; [64.64088398 10.35911602],0
s3,1,0.478912,0.501339,[47 60] ; [29 46],[44.68131868 62.31868132] ; [31.31868132 43.68131868],0
n2,1,0.501495,0.45177,[25 14] ; [25 10],[26.35135135 12.64864865] ; [23.64864865 11.35135135],0
d2,1,0.540544,0.374532,[52 55] ; [33 42],[49.97252747 57.02747253] ; [35.02747253 39.97252747],0
s4,1,0.571837,0.319619,[20 87] ; [17 60],[21.51630435 85.48369565] ; [15.48369565 61.51630435],0
s8,1,0.577158,0.310851,[30 78] ; [24 52],[31.69565217 76.30434783] ; [22.30434783 53.69565217],0
a1,1,0.578624,0.308465,[11 97] ; [ 6 71],[ 9.92432432 98.07567568] ; [ 7.07567568 69.92432432],0
p1,1,0.633184,0.227767,[ 9 99] ; [ 8 69],[ 9.92432432 98.07567568] ; [ 7.07567568 69.92432432],0
u3,1,0.641658,0.21658,[20 16] ; [17 17],[19.02857143 16.97142857] ; [17.97142857 16.02857143],0
s2,1,0.647261,0.20937,[43 64] ; [28 48],[41.5136612 65.4863388] ; [29.4863388 46.5136612],0
p11,1,0.663184,0.189679,[54 54] ; [41 36],[55.45945946 52.54054054] ; [39.54054054 37.45945946],0
s5,1,0.663236,0.189617,[22 82] ; [17 54],[23.17714286 80.82285714] ; [15.82285714 55.17714286],0
u4,1,0.675427,0.175319,[  4 104] ; [ 2 75],[  3.5027027 104.4972973] ; [ 2.4972973 74.5027027],0
p7,1,0.691604,0.157354,[33 73] ; [21 53],[31.8 74.2] ; [22.2 51.8],0
p6,1,0.747678,0.103492,[18 89] ; [14 61],[18.81318681 88.18681319] ; [13.18681319 61.81318681],0
p8,1,0.763156,0.090805,[23 85] ; [15 62],[22.18378378 85.81621622] ; [15.81621622 61.18378378],0
p3,1,0.800632,0.063771,[31 76] ; [21 56],[30.23913043 76.76086957] ; [21.76086957 55.23913043],0
n3,1,0.921972,0.009594,[23 15] ; [19 13],[22.8 15.2] ; [19.2 12.8],0
v1,1,0.922558,0.00945,[37 69] ; [26 50],[36.69230769 69.30769231] ; [26.30769231 49.69230769],0
