Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.395649,[3 8] ; [137  27],[8.8 2.2] ; [131.2  32.8],1
r2,1,0.000139,14.516829,[6 5] ; [150  14],[9.80571429 1.19428571] ; [146.19428571  17.80571429],1
r3,1,0.000706,11.472805,[7 4] ; [152  11],[10.05172414  0.94827586] ; [148.94827586  14.05172414],1
n6,1,0.022002,5.24564,[4 7] ; [113  49],[7.43930636 3.56069364] ; [109.56069364  52.43930636],0
v2,1,0.043157,4.089235,[2 9] ; [78 79],[5.23809524 5.76190476] ; [74.76190476 82.23809524],0
d1,1,0.058289,3.585417,[2 9] ; [78 86],[5.02857143 5.97142857] ; [74.97142857 89.02857143],0
r1,1,0.064884,3.407923,[5 6] ; [117  46],[7.71264368 3.28735632] ; [114.28735632  48.71264368],0
a7,1,0.067301,3.347658,[6 5] ; [128  35],[8.47126437 2.52873563] ; [125.52873563  37.47126437],0
d2,1,0.106429,2.606456,[ 1 10] ; [ 53 111],[3.39428571 7.60571429] ; [ 50.60571429 113.39428571],0
s6,1,0.121488,2.398035,[4 7] ; [98 65],[6.44827586 4.55172414] ; [95.55172414 67.44827586],0
p10,1,0.128761,2.307381,[6 5] ; [122  40],[8.13872832 2.86127168] ; [119.86127168  42.13872832],0
a6,1,0.13112,2.279189,[5 6] ; [111  53],[7.29142857 3.70857143] ; [108.70857143  55.29142857],0
n2,1,0.134481,2.24,[1 2] ; [44 16],[2.14285714 0.85714286] ; [42.85714286 17.14285714],0
s5,1,0.140689,2.170405,[ 1 10] ; [ 48 113],[3.13372093 7.86627907] ; [ 45.86627907 115.13372093],0
b1,1,0.143655,2.138364,[6 5] ; [ 54 110],[3.77142857 7.22857143] ; [ 56.22857143 107.77142857],0
u2,1,0.196338,1.669409,[1 3] ; [40 29],[2.24657534 1.75342466] ; [38.75342466 30.24657534],0
d3,1,0.21074,1.566334,[6 5] ; [117  45],[7.82080925 3.17919075] ; [115.17919075  46.82080925],0
d5,1,0.243809,1.358433,[6 5] ; [116  47],[7.71264368 3.28735632] ; [114.28735632  48.71264368],0
d4,1,0.246473,1.343187,[7 4] ; [129  35],[8.54857143 2.45142857] ; [127.45142857  36.54857143],0
s2,1,0.257034,1.284661,[3 8] ; [73 90],[4.8045977 6.1954023] ; [71.1954023 91.8045977],0
s8,1,0.260299,1.267167,[2 9] ; [ 57 107],[3.70857143 7.29142857] ; [ 55.29142857 108.70857143],0
s4,1,0.375553,0.785209,[4 7] ; [ 40 124],[2.76571429 8.23428571] ; [ 41.23428571 122.76571429],0
p9,1,0.4032,0.698761,[8 3] ; [134  28],[9.02890173 1.97109827] ; [132.97109827  29.02890173],0
p4,1,0.447742,0.576361,[4 7] ; [79 85],[5.21714286 5.78285714] ; [77.78285714 86.21714286],0
b2,1,0.466579,0.530065,[1 5] ; [24 54],[1.78571429 4.21428571] ; [23.21428571 54.78571429],0
b3,1,0.466579,0.530065,[1 5] ; [24 54],[1.78571429 4.21428571] ; [23.21428571 54.78571429],0
a5,1,0.517414,0.419045,[5 6] ; [91 73],[6.03428571 4.96571429] ; [89.96571429 74.03428571],0
a8,1,0.52645,0.401238,[1 9] ; [  8 144],[0.55555556 9.44444444] ; [  8.44444444 143.55555556],0
p6,1,0.553777,0.350593,[2 9] ; [ 42 118],[2.83040936 8.16959064] ; [ 41.16959064 118.83040936],0
p7,1,0.572947,0.317776,[6 5] ; [99 58],[6.875 4.125] ; [98.125 58.875],0
a3,1,0.669148,0.1826,[7 4] ; [93 70],[6.32183908 4.67816092] ; [93.67816092 69.32183908],0
v1,1,0.677638,0.172797,[4 7] ; [68 91],[4.65882353 6.34117647] ; [67.34117647 91.65882353],0
b5,1,0.764033,0.090113,[6 5] ; [97 67],[6.47428571 4.52571429] ; [96.52571429 67.47428571],0
s3,1,0.800451,0.06389,[5 6] ; [81 83],[5.40571429 5.59428571] ; [80.59428571 83.40571429],0
s7,1,0.817745,0.053106,[3 7] ; [ 54 107],[3.33333333 6.66666667] ; [ 53.66666667 107.33333333],0
b4,1,0.826056,0.048296,[6 5] ; [95 69],[6.34857143 4.65142857] ; [94.65142857 69.34857143],0
p3,1,0.860871,0.030718,[4 7] ; [ 64 100],[4.27428571 6.72571429] ; [ 63.72571429 100.27428571],0
n3,1,0.887418,0.020043,[2 1] ; [43 18],[2.109375 0.890625] ; [42.890625 18.109375],0
a4,1,0.902769,0.014924,[3 8] ; [ 42 122],[2.82857143 8.17142857] ; [ 42.17142857 121.82857143],0
u1,1,0.94251,0.005201,[ 1 10] ; [ 16 148],[1.06857143 9.93142857] ; [ 15.93142857 148.06857143],0
p8,1,0.954941,0.003193,[5 5] ; [80 83],[4.9132948 5.0867052] ; [80.0867052 82.9132948],0
p11,1,0.955745,0.00308,[8 3] ; [118  46],[7.92 3.08] ; [118.08  45.92],0
n5,1,0.95826,0.002739,[4 7] ; [ 58 105],[3.91954023 7.08045977] ; [ 58.08045977 104.91954023],0
