Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.150245,[4 4] ; [73  2],[7.42168675 0.57831325] ; [69.57831325  5.42168675],1
p4,1,0.000649,11.630369,[4 4] ; [67  6],[7.01234568 0.98765432] ; [63.98765432  9.01234568],1
s3,1,0.00186,9.683085,[2 6] ; [57 17],[5.75609756 2.24390244] ; [53.24390244 20.75609756],0
s2,1,0.006989,7.275675,[2 6] ; [54 21],[5.39759036 2.60240964] ; [50.60240964 24.39759036],0
v1,1,0.007686,7.105324,[2 6] ; [53 21],[5.36585366 2.63414634] ; [49.63414634 24.36585366],0
n6,1,0.018673,5.531906,[6 2] ; [71  3],[7.51219512 0.48780488] ; [69.48780488  4.51219512],0
r2,1,0.079389,3.077375,[5 2] ; [69  6],[6.31707317 0.68292683] ; [67.68292683  7.31707317],0
b1,1,0.08503,2.966029,[1 7] ; [33 42],[3.27710843 4.72289157] ; [30.72289157 44.27710843],0
a4,1,0.08503,2.966029,[1 7] ; [33 42],[3.27710843 4.72289157] ; [30.72289157 44.27710843],0
r1,1,0.133023,2.256868,[5 3] ; [63 12],[6.55421687 1.44578313] ; [61.44578313 13.55421687],0
d2,1,0.136567,2.216216,[2 6] ; [39 35],[4. 4.] ; [37. 37.],0
d1,1,0.166786,1.911599,[3 5] ; [47 28],[4.81927711 3.18072289] ; [45.18072289 29.81927711],0
p6,1,0.188871,1.726399,[3 4] ; [50 24],[4.58024691 2.41975309] ; [48.41975309 25.58024691],0
s7,1,0.209102,1.577635,[5 3] ; [57 13],[6.35897436 1.64102564] ; [55.64102564 14.35897436],0
a7,1,0.281322,1.160691,[7 1] ; [52 23],[5.68674699 2.31325301] ; [53.31325301 21.68674699],0
r4,1,0.285943,1.138623,[7 1] ; [72  3],[7.61445783 0.38554217] ; [71.38554217  3.61445783],0
v4,1,0.285943,1.138623,[7 1] ; [72  3],[7.61445783 0.38554217] ; [71.38554217  3.61445783],0
a3,1,0.30086,1.070377,[5 3] ; [59 16],[6.1686747 1.8313253] ; [57.8313253 17.1686747],0
s8,1,0.319535,0.990848,[4 4] ; [50 24],[5.26829268 2.73170732] ; [48.73170732 25.26829268],0
a5,1,0.345061,0.891539,[7 1] ; [54 21],[5.87951807 2.12048193] ; [55.12048193 19.87951807],0
p7,1,0.523659,0.406681,[7 1] ; [56 16],[6.3 1.7] ; [56.7 15.3],0
p8,1,0.609221,0.261311,[7 1] ; [60 15],[6.45783133 1.54216867] ; [60.54216867 14.45783133],0
u1,1,0.609221,0.261311,[1 7] ; [15 60],[1.54216867 6.45783133] ; [14.45783133 60.54216867],0
v3,1,0.659606,0.194003,[4 4] ; [43 31],[4.58536585 3.41463415] ; [42.41463415 31.58536585],0
d3,1,0.710908,0.137372,[5 3] ; [51 23],[5.46341463 2.53658537] ; [50.53658537 23.46341463],0
v2,1,0.714494,0.133829,[4 4] ; [42 32],[4.48780488 3.51219512] ; [41.51219512 32.48780488],0
p11,1,0.728565,0.120433,[7 1] ; [62 13],[6.65060241 1.34939759] ; [62.34939759 12.65060241],0
s1,1,0.772966,0.083231,[1 7] ; [ 7 68],[0.77108434 7.22891566] ; [ 7.22891566 67.77108434],0
d4,1,0.784558,0.074739,[7 1] ; [62 12],[6.73170732 1.26829268] ; [62.26829268 11.73170732],0
a1,1,0.795699,0.067038,[1 7] ; [12 63],[1.25301205 6.74698795] ; [11.74698795 63.25301205],0
p12,1,0.797192,0.06604,[2 6] ; [22 53],[2.31325301 5.68674699] ; [21.68674699 53.31325301],0
n2,1,0.813945,0.055385,[2 1] ; [11  4],[2.16666667 0.83333333] ; [10.83333333  4.16666667],0
p3,1,0.826412,0.048095,[6 2] ; [58 16],[6.24390244 1.75609756] ; [57.75609756 16.24390244],0
d5,1,0.826412,0.048095,[6 2] ; [58 16],[6.24390244 1.75609756] ; [57.75609756 16.24390244],0
b4,1,0.833994,0.043925,[5 3] ; [44 31],[4.72289157 3.27710843] ; [44.27710843 30.72289157],0
a8,1,0.835297,0.043228,[1 6] ; [12 57],[1.19736842 5.80263158] ; [11.80263158 57.19736842],0
s5,1,0.854656,0.033555,[5 2] ; [49 23],[4.78481013 2.21518987] ; [49.21518987 22.78481013],0
a6,1,0.867688,0.027754,[5 3] ; [44 30],[4.7804878 3.2195122] ; [44.2195122 29.7804878],0
p2,1,0.868434,0.027439,[7 1] ; [64 11],[6.84337349 1.15662651] ; [64.15662651 10.84337349],0
u3,1,0.8908,0.018849,[2 1] ; [10  6],[1.89473684 1.10526316] ; [10.10526316  5.89473684],0
b2,1,0.931376,0.007416,[3 3] ; [26 28],[2.9 3.1] ; [26.1 27.9],0
b3,1,0.931376,0.007416,[3 3] ; [26 28],[2.9 3.1] ; [26.1 27.9],0
s4,1,0.936313,0.006385,[1 7] ; [10 64],[1.07317073 6.92682927] ; [ 9.92682927 64.07317073],0
b5,1,0.971401,0.001285,[4 4] ; [37 38],[3.95180723 4.04819277] ; [37.04819277 37.95180723],0
