Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,27.022923,[50  2] ; [29 27],[38.03703704 13.96296296] ; [40.96296296 15.03703704],1
d3,1,0.0,25.775773,[49  3] ; [28 28],[37.07407407 14.92592593] ; [39.92592593 16.07407407],1
d2,1,1.8e-05,18.347608,[30 22] ; [10 46],[19.25925926 32.74074074] ; [20.74074074 35.25925926],1
s5,1,0.003738,8.406863,[24 27] ; [11 43],[17. 34.] ; [18. 36.],0
v2,1,0.009489,6.72834,[32 17] ; [21 32],[25.46078431 23.53921569] ; [27.53921569 25.46078431],0
a2,1,0.010894,6.482593,[13 39] ; [ 4 52],[ 8.18518519 43.81481481] ; [ 8.81481481 47.18518519],0
r3,1,0.011259,6.423929,[51  1] ; [47  9],[47.18518519  4.81481481] ; [50.81481481  5.18518519],0
a5,1,0.016045,5.797966,[41 11] ; [32 24],[35.14814815 16.85185185] ; [37.85185185 18.14814815],0
s6,1,0.018293,5.567902,[40 12] ; [31 25],[34.18518519 17.81481481] ; [36.81481481 19.18518519],0
u1,1,0.01836,5.561449,[ 9 43] ; [ 2 54],[ 5.2962963 46.7037037] ; [ 5.7037037 50.2962963],0
n1,1,0.026294,4.936579,[ 3 16] ; [9 9],[ 6.16216216 12.83783784] ; [ 5.83783784 12.16216216],0
r2,1,0.031976,4.599803,[49  3] ; [45 11],[45.25925926  6.74074074] ; [48.74074074  7.25925926],0
a4,1,0.036883,4.355825,[25 27] ; [16 40],[19.74074074 32.25925926] ; [21.25925926 34.74074074],0
s2,1,0.084275,2.980469,[30 22] ; [23 33],[25.51851852 26.48148148] ; [27.48148148 28.51851852],0
a8,1,0.102228,2.670441,[ 1 47] ; [ 5 45],[ 2.93877551 45.06122449] ; [ 3.06122449 46.93877551],0
v4,1,0.103984,2.643357,[50  2] ; [49  7],[47.66666667  4.33333333] ; [51.33333333  4.66666667],0
n5,1,0.118362,2.438869,[16 36] ; [25 30],[19.92523364 32.07476636] ; [21.07476636 33.92523364],0
a7,1,0.13861,2.193322,[41 11] ; [37 19],[37.55555556 14.44444444] ; [40.44444444 15.55555556],0
r4,1,0.148165,2.091037,[44  8] ; [41 15],[40.92592593 11.07407407] ; [44.07407407 11.92592593],0
b3,1,0.149992,2.072328,[12 19] ; [ 6 22],[ 9.45762712 21.54237288] ; [ 8.54237288 19.45762712],0
b2,1,0.149992,2.072328,[12 19] ; [ 6 22],[ 9.45762712 21.54237288] ; [ 8.54237288 19.45762712],0
b1,1,0.21188,1.558535,[18 34] ; [26 30],[21.18518519 30.81481481] ; [22.81481481 33.18518519],0
r1,1,0.252736,1.308114,[38 13] ; [36 20],[35.27102804 15.72897196] ; [38.72897196 17.27102804],0
p2,1,0.257676,1.281201,[42  9] ; [41 15],[39.56074766 11.43925234] ; [43.43925234 12.56074766],0
v1,1,0.267247,1.230824,[24 25] ; [21 34],[21.20192308 27.79807692] ; [23.79807692 31.20192308],0
s8,1,0.272493,1.204153,[23 29] ; [19 37],[20.22222222 31.77777778] ; [21.77777778 34.22222222],0
p6,1,0.275568,1.188821,[21 31] ; [17 39],[18.2962963 33.7037037] ; [19.7037037 36.2962963],0
n3,1,0.283232,1.151515,[12  7] ; [15  4],[13.5  5.5] ; [13.5  5.5],0
p7,1,0.297262,1.086439,[35 17] ; [42 13],[37.42056075 14.57943925] ; [39.57943925 15.42056075],0
b4,1,0.297562,1.085086,[33 19] ; [30 26],[30.33333333 21.66666667] ; [32.66666667 23.33333333],0
p3,1,0.307037,1.043377,[32 20] ; [29 27],[29.37037037 22.62962963] ; [31.62962963 24.37037037],0
v3,1,0.328955,0.953009,[15 33] ; [12 41],[12.83168317 35.16831683] ; [14.16831683 38.83168317],0
u3,1,0.385831,0.752039,[14  4] ; [13  7],[12.78947368  5.21052632] ; [14.21052632  5.78947368],0
n2,1,0.400501,0.706823,[12  6] ; [15  4],[13.13513514  4.86486486] ; [13.86486486  5.13513514],0
p11,1,0.461458,0.542356,[36 16] ; [35 21],[34.18518519 17.81481481] ; [36.81481481 19.18518519],0
s3,1,0.477311,0.505002,[29 22] ; [28 28],[27.1682243 23.8317757] ; [29.8317757 26.1682243],0
p9,1,0.55343,0.351209,[39 12] ; [40 16],[37.65420561 13.34579439] ; [41.34579439 14.65420561],0
p1,1,0.598323,0.277532,[ 5 45] ; [ 4 52],[ 4.24528302 45.75471698] ; [ 4.75471698 51.24528302],0
a3,1,0.615532,0.252198,[34 18] ; [34 22],[32.74074074 19.25925926] ; [35.25925926 20.74074074],0
b5,1,0.642271,0.215784,[32 20] ; [32 24],[30.81481481 21.18518519] ; [33.18518519 22.81481481],0
s4,1,0.656501,0.197802,[14 38] ; [13 43],[13. 39.] ; [14. 42.],0
p8,1,0.6577,0.196329,[29 23] ; [33 22],[30.13084112 21.86915888] ; [31.86915888 23.13084112],0
s1,1,0.708857,0.139422,[ 2 50] ; [ 3 53],[ 2.40740741 49.59259259] ; [ 2.59259259 53.40740741],0
n6,1,0.74365,0.106945,[34 17] ; [35 20],[33.19811321 17.80188679] ; [35.80188679 19.19811321],0
s7,1,0.820097,0.05172,[21 27] ; [22 31],[20.43564356 27.56435644] ; [22.56435644 30.43564356],0
p10,1,0.923755,0.00916,[36 15] ; [40 16],[36.22429907 14.77570093] ; [39.77570093 16.22429907],0
p12,1,0.925573,0.008727,[ 3 49] ; [ 3 53],[ 2.88888889 49.11111111] ; [ 3.11111111 52.88888889],0
p5,1,0.925779,0.008678,[ 5 47] ; [ 5 50],[ 4.85981308 47.14018692] ; [ 5.14018692 49.85981308],0
a6,1,0.930046,0.007707,[32 20] ; [34 22],[31.77777778 20.22222222] ; [34.22222222 21.77777778],0
a1,1,0.939787,0.005706,[ 2 50] ; [ 2 54],[ 1.92592593 50.07407407] ; [ 2.07407407 53.92592593],0
u2,1,1.0,0.0,[12  6] ; [14  7],[12.  6.] ; [14.  7.],0
