Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,74.615311,[268  71] ; [48 81],[228.8974359 110.1025641] ; [87.1025641 41.8974359],1
d3,1,0.0,55.170737,[274  66] ; [59 70],[241.40724947  98.59275053] ; [91.59275053 37.40724947],1
a2,1,1e-06,25.144683,[109 232] ; [ 12 117],[ 87.7893617 253.2106383] ; [33.2106383 95.7893617],1
u1,1,1e-06,24.104575,[ 88 253] ; [  7 122],[ 68.92553191 272.07446809] ; [ 26.07446809 102.92553191],1
b5,1,0.000246,13.444464,[234 107] ; [65 64],[216.93404255 124.06595745] ; [82.06595745 46.93404255],1
b1,1,0.003152,8.717053,[116 225] ; [63 66],[129.87021277 211.12978723] ; [49.12978723 79.87021277],0
d1,1,0.0042,8.195181,[226 115] ; [67 62],[212.58085106 128.41914894] ; [80.41914894 48.58085106],0
p4,1,0.00467,8.00319,[233 104] ; [70 57],[220.06681034 116.93318966] ; [82.93318966 44.06681034],0
n6,1,0.00716,7.232312,[300  39] ; [100  27],[290.98712446  48.01287554] ; [109.01287554  17.98712446],0
b3,1,0.008871,6.848612,[ 80 130] ; [48 40],[ 90.20134228 119.79865772] ; [37.79865772 50.20134228],0
b2,1,0.008871,6.848612,[ 80 130] ; [48 40],[ 90.20134228 119.79865772] ; [37.79865772 50.20134228],0
r4,1,0.014763,5.944542,[325  16] ; [115  14],[319.23404255  21.76595745] ; [120.76595745   8.23404255],0
a5,1,0.026114,4.948486,[271  70] ; [90 39],[261.91702128  79.08297872] ; [99.08297872 29.91702128],0
p2,1,0.030549,4.678115,[298  41] ; [100  25],[290.78017241  48.21982759] ; [107.21982759  17.78017241],0
p12,1,0.031385,4.631794,[ 39 299] ; [  6 118],[ 32.92207792 305.07792208] ; [ 12.07792208 111.92207792],0
p8,1,0.065971,3.380517,[201 132] ; [63 61],[192.36761488 140.63238512] ; [71.63238512 52.36761488],0
p6,1,0.077518,3.116181,[150 181] ; [44 78],[141.75275938 189.24724062] ; [52.24724062 69.75275938],0
p3,1,0.084294,2.980103,[196 141] ; [62 64],[187.78833693 149.21166307] ; [70.21166307 55.78833693],0
s5,1,0.086223,2.943506,[121 205] ; [57 67],[128.95111111 197.04888889] ; [49.04888889 74.95111111],0
n1,1,0.088401,2.903244,[24 37] ; [18 13],[27.84782609 33.15217391] ; [14.15217391 16.84782609],0
d5,1,0.114845,2.48625,[289  51] ; [101  27],[283.33333333  56.66666667] ; [106.66666667  21.33333333],0
a1,1,0.148317,2.089478,[ 15 326] ; [ 10 119],[ 18.13829787 322.86170213] ; [  6.86170213 122.13829787],0
