Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000576,11.851047,[ 50 102] ; [22 12],[58.83870968 93.16129032] ; [13.16129032 20.83870968],1
r2,1,0.001206,10.480909,[143   7] ; [26  7],[138.52459016  11.47540984] ; [30.47540984  2.52459016],0
n5,1,0.001218,10.462238,[119  32] ; [17 16],[111.60869565  39.39130435] ; [24.39130435  8.60869565],0
r4,1,0.003449,8.55354,[139  13] ; [25  9],[134.02150538  17.97849462] ; [29.97849462  4.02150538],0
n4,1,0.004875,7.925412,[116  35] ; [18 16],[109.37297297  41.62702703] ; [24.62702703  9.37297297],0
s6,1,0.005972,7.558638,[101  45] ; [15 19],[94.08888889 51.91111111] ; [21.91111111 12.08888889],0
p10,1,0.016513,5.747363,[122  26] ; [21 12],[116.9281768  31.0718232] ; [26.0718232  6.9281768],0
p9,1,0.017,5.69634,[126  23] ; [22 11],[121.16483516  27.83516484] ; [26.83516484  6.16483516],0
p2,1,0.019497,5.456349,[124  26] ; [22 12],[119.02173913  30.97826087] ; [26.97826087  7.02173913],0
r3,1,0.036434,4.376696,[149   3] ; [30  3],[147.07027027   4.92972973] ; [31.92972973  1.07027027],0
s3,1,0.052527,3.758896,[79 68] ; [12 22],[73.90607735 73.09392265] ; [17.09392265 16.90607735],0
a3,1,0.066139,3.376328,[90 61] ; [26  8],[94.68108108 56.31891892] ; [21.31891892 12.68108108],0
p3,1,0.067348,3.346499,[79 71] ; [12 22],[74.18478261 75.81521739] ; [16.81521739 17.18478261],0
v3,1,0.067569,3.34111,[80 72] ; [12 22],[75.1827957 76.8172043] ; [16.8172043 17.1827957],0
p6,1,0.073645,3.199853,[61 88] ; [ 8 25],[56.48901099 92.51098901] ; [12.51098901 20.48901099],0
s5,1,0.135008,2.233958,[49 96] ; [ 7 27],[45.36312849 99.63687151] ; [10.63687151 23.36312849],0
b4,1,0.150259,2.06962,[92 60] ; [16 18],[88.25806452 63.74193548] ; [19.74193548 14.25806452],0
r1,1,0.150752,2.064628,[124  28] ; [24 10],[120.94623656  31.05376344] ; [27.05376344  6.94623656],0
p11,1,0.214514,1.540698,[122  30] ; [24 10],[119.31182796  32.68817204] ; [26.68817204  7.31182796],0
p5,1,0.22665,1.461764,[ 20 130] ; [ 2 32],[ 17.93478261 132.06521739] ; [ 4.06521739 29.93478261],0
p7,1,0.23089,1.435369,[102  47] ; [19 14],[99.06043956 49.93956044] ; [21.93956044 11.06043956],0
p1,1,0.236251,1.402823,[  9 141] ; [ 4 30],[ 10.59782609 139.40217391] ; [ 2.40217391 31.59782609],0
n1,1,0.237134,1.397552,[ 9 25] ; [5 6],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
a7,1,0.23787,1.393171,[104  46] ; [20 14],[101.08695652  48.91304348] ; [22.91304348 11.08695652],0
p4,1,0.280429,1.165011,[81 68] ; [15 19],[78.16393443 70.83606557] ; [17.83606557 16.16393443],0
d5,1,0.294669,1.098164,[88 64] ; [23 11],[90.70967742 61.29032258] ; [20.29032258 13.70967742],0
s8,1,0.313716,1.014966,[63 88] ; [11 23],[60.4 90.6] ; [13.6 20.4],0
n3,1,0.335597,0.92718,[27  7] ; [11  1],[28.08695652  5.91304348] ; [9.91304348 2.08695652],0
b2,1,0.351784,0.867013,[33 56] ; [ 4 12],[31.36190476 57.63809524] ; [ 5.63809524 10.36190476],0
b3,1,0.351784,0.867013,[33 56] ; [ 4 12],[31.36190476 57.63809524] ; [ 5.63809524 10.36190476],0
