Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,61.342487,[ 2 34] ; [182  69],[23.08013937 12.91986063] ; [160.91986063  90.08013937],1
d5,1,0.0,39.626391,[18 18] ; [226  25],[30.60627178  5.39372822] ; [213.39372822  37.60627178],1
d3,1,0.0,37.548222,[10 26] ; [194  57],[25.58885017 10.41114983] ; [178.41114983  72.58885017],1
a5,1,0.000149,14.381664,[20 16] ; [208  43],[28.59930314  7.40069686] ; [199.40069686  51.59930314],1
a3,1,0.000188,13.951549,[19 17] ; [201  48],[27.78947368  8.21052632] ; [192.21052632  56.78947368],1
d2,1,0.000352,12.768858,[ 9 27] ; [142 108],[19.00699301 16.99300699] ; [131.99300699 118.00699301],1
v1,1,0.000812,11.213271,[13 23] ; [161  86],[22.13427562 13.86572438] ; [151.86572438  95.13427562],1
a4,1,0.001683,9.866133,[ 9 27] ; [133 118],[17.81184669 18.18815331] ; [124.18815331 126.81184669],0
a2,1,0.001819,9.72369,[ 2 34] ; [ 76 175],[ 9.78397213 26.21602787] ; [ 68.21602787 182.78397213],0
u1,1,0.028217,4.814772,[ 3 33] ; [ 62 189],[ 8.1533101 27.8466899] ; [ 56.8466899 194.1533101],0
b5,1,0.077819,3.10987,[14 22] ; [137 114],[18.94076655 17.05923345] ; [132.05923345 118.94076655],0
s1,1,0.085857,2.950384,[ 3 32] ; [  7 240],[ 1.24113475 33.75886525] ; [  8.75886525 238.24113475],0
p1,1,0.098483,2.729941,[ 7 28] ; [ 26 223],[ 4.06690141 30.93309859] ; [ 28.93309859 220.06690141],0
p3,1,0.15133,2.058795,[17 19] ; [149 100],[20.96842105 15.03157895] ; [145.03157895 103.96842105],0
s3,1,0.226806,1.460783,[22 14] ; [174  71],[25.11032028 10.88967972] ; [170.88967972  74.11032028],0
s7,1,0.238,1.392404,[24  8] ; [156  86],[21.02189781 10.97810219] ; [158.97810219  83.02189781],0
s2,1,0.250683,1.319493,[23 13] ; [182  67],[25.89473684 10.10526316] ; [179.10526316  69.89473684],0
n5,1,0.294987,1.096721,[30  6] ; [187  61],[27.50704225  8.49295775] ; [189.49295775  58.50704225],0
p8,1,0.299597,1.075989,[24 12] ; [141 104],[21.13879004 14.86120996] ; [143.86120996 101.13879004],0
p2,1,0.353657,0.860292,[28  7] ; [214  35],[29.82394366  5.17605634] ; [212.17605634  36.82394366],0
a1,1,0.355181,0.854861,[ 1 35] ; [ 17 234],[ 2.25783972 33.74216028] ; [ 15.74216028 235.25783972],0
u2,1,0.398421,0.713085,[ 7 10] ; [26 23],[8.5 8.5] ; [24.5 24.5],0
n2,1,0.44025,0.595632,[9 1] ; [43 11],[8.125 1.875] ; [43.875 10.125],0
r4,1,0.440498,0.594985,[33  3] ; [238  13],[33.99303136  2.00696864] ; [237.00696864  13.99303136],0
p5,1,0.441722,0.591806,[ 9 26] ; [ 50 199],[ 7.27112676 27.72887324] ; [ 51.72887324 197.27112676],0
p9,1,0.451,0.568138,[31  5] ; [221  24],[32.28469751  3.71530249] ; [219.71530249  25.28469751],0
s6,1,0.497144,0.461029,[29  6] ; [215  32],[30.28368794  4.71631206] ; [213.71631206  33.28368794],0
n3,1,0.513009,0.427925,[8 2] ; [37 16],[7.14285714 2.85714286] ; [37.85714286 15.14285714],0
a6,1,0.540725,0.374198,[21 15] ; [159  91],[22.65734266 13.34265734] ; [157.34265734  92.65734266],0
p11,1,0.556925,0.345056,[27  9] ; [199  52],[28.34843206  7.65156794] ; [197.65156794  53.34843206],0
n6,1,0.589943,0.290434,[33  3] ; [219  28],[32.0565371  3.9434629] ; [219.9434629  27.0565371],0
u4,1,0.611565,0.257902,[ 1 35] ; [  4 247],[ 0.6271777 35.3728223] ; [  4.3728223 246.6271777],0
p4,1,0.621369,0.243948,[23 13] ; [168  79],[24.29681979 11.70318021] ; [166.70318021  80.29681979],0
