Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000193,13.902245,[ 6 12] ; [50 13],[12.44444444  5.55555556] ; [43.55555556 19.44444444],1
d5,1,0.002132,9.431873,[ 8 10] ; [51 12],[13.11111111  4.88888889] ; [45.88888889 17.11111111],0
a6,1,0.011099,6.44946,[ 7 11] ; [45 18],[11.55555556  6.44444444] ; [40.44444444 22.55555556],0
d2,1,0.020457,5.372449,[ 5 13] ; [37 26],[9.33333333 8.66666667] ; [32.66666667 30.33333333],0
a5,1,0.021167,5.312969,[9 9] ; [49 14],[12.88888889  5.11111111] ; [45.11111111 17.88888889],0
a4,1,0.034238,4.482779,[ 4 13] ; [33 30],[7.8625 9.1375] ; [29.1375 33.8625],0
r3,1,0.03614,4.390497,[13  4] ; [59  4],[15.3  1.7] ; [56.7  6.3],0
s6,1,0.058324,3.584416,[ 7 11] ; [39 22],[10.48101266  7.51898734] ; [35.51898734 25.48101266],0
a2,1,0.065185,3.4003,[ 2 16] ; [21 42],[ 5.11111111 12.88888889] ; [17.88888889 45.11111111],0
u3,1,0.067362,3.346168,[3 6] ; [12  5],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
v2,1,0.069093,3.304436,[ 7 10] ; [40 21],[10.24358974  6.75641026] ; [36.75641026 24.24358974],0
s7,1,0.074645,3.177801,[ 4 14] ; [27 32],[ 7.24675325 10.75324675] ; [23.75324675 35.24675325],0
s2,1,0.085148,2.963786,[ 4 13] ; [29 33],[7.10126582 9.89873418] ; [25.89873418 36.10126582],0
n5,1,0.104138,2.640993,[12  5] ; [30 32],[9.03797468 7.96202532] ; [32.96202532 29.03797468],0
u1,1,0.108408,2.577273,[ 1 17] ; [14 49],[ 3.33333333 14.66666667] ; [11.66666667 51.33333333],0
a3,1,0.113043,2.511162,[9 8] ; [46 17],[11.6875  5.3125] ; [43.3125 19.6875],0
a7,1,0.148678,2.085757,[9 8] ; [45 18],[11.475  5.525] ; [42.525 20.475],0
s1,1,0.149269,2.079709,[ 2 15] ; [ 2 61],[ 0.85 16.15] ; [ 3.15 59.85],0
p9,1,0.159633,1.9777,[ 4 14] ; [25 37],[ 6.525 11.475] ; [22.475 39.525],0
p5,1,0.170507,1.878479,[ 2 16] ; [ 2 61],[ 0.88888889 17.11111111] ; [ 3.11111111 59.88888889],0
n4,1,0.240083,1.380105,[14  3] ; [42 20],[12.05063291  4.94936709] ; [43.94936709 18.05063291],0
p2,1,0.317777,0.998075,[10  8] ; [43 20],[11.77777778  6.22222222] ; [41.22222222 21.77777778],0
p1,1,0.323576,0.974436,[ 2 16] ; [ 3 60],[ 1.11111111 16.88888889] ; [ 3.88888889 59.11111111],0
n1,1,0.35188,0.866667,[4 2] ; [ 9 11],[3. 3.] ; [10. 10.],0
b5,1,0.403316,0.698418,[11  7] ; [45 18],[12.44444444  5.55555556] ; [43.55555556 19.44444444],0
s4,1,0.422842,0.642402,[ 3 15] ; [ 6 55],[ 2.05063291 15.94936709] ; [ 6.94936709 54.05063291],0
r4,1,0.520317,0.413265,[15  3] ; [48 15],[14.  4.] ; [49. 14.],0
p8,1,0.57075,0.321429,[ 5 13] ; [22 41],[ 6. 12.] ; [21. 42.],0
s5,1,0.617802,0.24897,[ 3 14] ; [14 46],[ 3.75324675 13.24675325] ; [13.24675325 46.75324675],0
b1,1,0.634668,0.225784,[ 8 10] ; [32 31],[8.88888889 9.11111111] ; [31.11111111 31.88888889],0
a1,1,0.637121,0.222527,[ 1 17] ; [ 2 61],[ 0.66666667 17.33333333] ; [ 2.33333333 60.66666667],0
v3,1,0.638713,0.22043,[8 9] ; [24 35],[7.15789474 9.84210526] ; [24.84210526 34.15789474],0
r1,1,0.661019,0.192288,[14  3] ; [48 14],[13.34177215  3.65822785] ; [48.65822785 13.34177215],0
u2,1,0.67329,0.177778,[4 5] ; [8 7],[4.5 4.5] ; [7.5 7.5],0
s8,1,0.688037,0.161219,[ 5 13] ; [20 41],[ 5.69620253 12.30379747] ; [19.30379747 41.69620253],0
p6,1,0.700032,0.148439,[ 5 13] ; [14 46],[ 4.38461538 13.61538462] ; [14.61538462 45.38461538],0
b2,1,0.701991,0.146409,[4 9] ; [15 26],[4.57407407 8.42592593] ; [14.42592593 26.57407407],0
b3,1,0.701991,0.146409,[4 9] ; [15 26],[4.57407407 8.42592593] ; [14.42592593 26.57407407],0
p7,1,0.705463,0.142851,[8 9] ; [26 36],[7.3164557 9.6835443] ; [26.6835443 35.3164557],0
p4,1,0.716889,0.131494,[ 8 10] ; [25 38],[ 7.33333333 10.66666667] ; [25.66666667 37.33333333],0
p11,1,0.85849,0.03179,[9 9] ; [33 30],[9.33333333 8.66666667] ; [32.66666667 30.33333333],0
p3,1,0.890035,0.019116,[ 7 11] ; [23 39],[ 6.75 11.25] ; [23.25 38.75],0
a8,1,0.896719,0.01685,[ 3 12] ; [10 44],[ 2.82608696 12.17391304] ; [10.17391304 43.82608696],0
v4,1,0.939671,0.005728,[15  2] ; [56  7],[15.0875  1.9125] ; [55.9125  7.0875],0
b4,1,0.951563,0.00369,[11  7] ; [38 25],[10.88888889  7.11111111] ; [38.11111111 24.88888889],0
s3,1,0.954781,0.003215,[8 8] ; [31 32],[7.89873418 8.10126582] ; [31.10126582 31.89873418],0
n6,1,0.988439,0.00021,[11  6] ; [40 22],[10.97468354  6.02531646] ; [40.02531646 21.97468354],0
