Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3.3e-05,17.248,[ 6 24] ; [19  6],[13.63636364 16.36363636] ; [11.36363636 13.63636364],1
r3,1,0.003534,8.509111,[11 19] ; [19  6],[16.36363636 13.63636364] ; [13.63636364 11.36363636],0
p9,1,0.006712,7.34842,[ 9 20] ; [17  8],[13.96296296 15.03703704] ; [12.03703704 12.96296296],0
p8,1,0.010294,6.583223,[ 2 27] ; [ 9 17],[ 5.8 23.2] ; [ 5.2 20.8],0
p10,1,0.011213,6.431256,[ 7 22] ; [15 11],[11.6 17.4] ; [10.4 15.6],0
n3,1,0.020479,5.370629,[ 6 10] ; [7 1],[8.66666667 7.33333333] ; [4.33333333 3.66666667],0
p2,1,0.027765,4.842619,[ 7 23] ; [13 12],[10.90909091 19.09090909] ; [ 9.09090909 15.90909091],0
s7,1,0.048822,3.881449,[ 3 26] ; [ 8 17],[ 5.90740741 23.09259259] ; [ 5.09259259 19.90740741],0
d4,1,0.054093,3.709822,[17 13] ; [21  5],[20.35714286  9.64285714] ; [17.64285714  8.35714286],0
v2,1,0.08326,3.000088,[ 6 23] ; [11 15],[ 8.96363636 20.03636364] ; [ 8.03636364 17.96363636],0
s6,1,0.101226,2.686121,[ 5 25] ; [ 9 16],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
u3,1,0.105817,2.615602,[ 1 13] ; [3 6],[ 2.43478261 11.56521739] ; [1.56521739 7.43478261],0
u2,1,0.105817,2.615602,[ 1 13] ; [3 6],[ 2.43478261 11.56521739] ; [1.56521739 7.43478261],0
p5,1,0.124212,2.363395,[ 1 28] ; [ 4 22],[ 2.63636364 26.36363636] ; [ 2.36363636 23.63636364],0
d5,1,0.128001,2.316581,[16 14] ; [19  7],[18.75 11.25] ; [16.25  9.75],0
p7,1,0.129448,2.299115,[ 7 23] ; [11 15],[ 9.64285714 20.35714286] ; [ 8.35714286 17.64285714],0
