Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.004244,8.17634,[ 9 33] ; [34 36],[16.125 25.875] ; [26.875 43.125],0
a6,1,0.005348,7.757979,[15 27] ; [44 26],[22.125 19.875] ; [36.875 33.125],0
n6,1,0.011294,6.418423,[31 10] ; [64  5],[35.40909091  5.59090909] ; [59.59090909  9.40909091],0
a8,1,0.023737,5.113728,[ 3 38] ; [16 49],[ 7.3490566 33.6509434] ; [11.6509434 53.3490566],0
p9,1,0.028433,4.801633,[31 10] ; [61  6],[34.92592593  6.07407407] ; [57.07407407  9.92592593],0
a5,1,0.059497,3.551339,[20 22] ; [46 24],[24.75 17.25] ; [41.25 28.75],0
p11,1,0.059797,3.543007,[36  6] ; [49 21],[31.875 10.125] ; [53.125 16.875],0
p10,1,0.072487,3.225792,[29 12] ; [57 10],[32.64814815  8.35185185] ; [53.35185185 13.64814815],0
d2,1,0.074479,3.181449,[11 31] ; [ 9 61],[ 7.5 34.5] ; [12.5 57.5],0
v1,1,0.112819,2.514286,[24 16] ; [31 39],[20. 20.] ; [35. 35.],0
r4,1,0.114653,2.488889,[35  7] ; [65  5],[37.5  4.5] ; [62.5  7.5],0
b5,1,0.11842,2.438095,[17 25] ; [39 31],[21. 21.] ; [35. 35.],0
p3,1,0.134974,2.234343,[23 18] ; [29 41],[19.20720721 21.79279279] ; [32.79279279 37.20720721],0
n3,1,0.192703,1.696833,[7 6] ; [13  4],[8.66666667 4.33333333] ; [11.33333333  5.66666667],0
n2,1,0.248749,1.330317,[12  1] ; [13  4],[10.83333333  2.16666667] ; [14.16666667  2.83333333],0
p12,1,0.320808,0.985651,[ 6 35] ; [ 6 64],[ 4.43243243 36.56756757] ; [ 7.56756757 62.43243243],0
b3,1,0.339005,0.91419,[11 15] ; [10 23],[ 9.25423729 16.74576271] ; [11.74576271 21.25423729],0
b2,1,0.339005,0.91419,[11 15] ; [10 23],[ 9.25423729 16.74576271] ; [11.74576271 21.25423729],0
p5,1,0.352974,0.862735,[ 7 34] ; [17 52],[ 8.94545455 32.05454545] ; [15.05454545 53.94545455],0
a2,1,0.40826,0.683863,[ 1 41] ; [ 4 66],[ 1.875 40.125] ; [ 3.125 66.875],0
r2,1,0.419787,0.65091,[37  5] ; [63  5],[38.18181818  3.81818182] ; [61.81818182  6.18181818],0
r3,1,0.46153,0.542182,[38  4] ; [65  4],[38.97297297  3.02702703] ; [64.02702703  4.97297297],0
n5,1,0.495639,0.464262,[31 10] ; [48 21],[29.44545455 11.55454545] ; [49.55454545 19.44545455],0
s3,1,0.501876,0.450967,[28 14] ; [41 27],[26.34545455 15.65454545] ; [42.65454545 25.34545455],0
p4,1,0.522743,0.408478,[20 21] ; [38 31],[21.61818182 19.38181818] ; [36.38181818 32.61818182],0
s4,1,0.526529,0.401086,[12 30] ; [16 53],[10.59459459 31.40540541] ; [17.40540541 51.59459459],0
v3,1,0.539391,0.37667,[14 28] ; [27 42],[15.51351351 26.48648649] ; [25.48648649 43.51351351],0
s1,1,0.540008,0.375525,[ 3 39] ; [ 3 65],[ 2.29090909 39.70909091] ; [ 3.70909091 64.29090909],0
n4,1,0.551492,0.354651,[32 10] ; [49 20],[30.64864865 11.35135135] ; [50.35135135 18.64864865],0
p2,1,0.556271,0.346202,[32  9] ; [57 12],[33.17272727  7.82727273] ; [55.82727273 13.17272727],0
p1,1,0.557995,0.343187,[ 4 38] ; [ 9 59],[ 4.96363636 37.03636364] ; [ 8.03636364 59.96363636],0
v2,1,0.575182,0.314088,[20 21] ; [38 32],[21.42342342 19.57657658] ; [36.57657658 33.42342342],0
u1,1,0.614295,0.253968,[ 2 40] ; [ 5 65],[ 2.625 39.375] ; [ 4.375 65.625],0
b1,1,0.61995,0.245938,[16 26] ; [30 40],[17.25 24.75] ; [28.75 41.25],0
n1,1,0.637947,0.221437,[6 7] ; [ 6 10],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
s2,1,0.640609,0.217946,[27 15] ; [48 22],[28.125 13.875] ; [46.875 23.125],0
a3,1,0.687086,0.162258,[23 18] ; [42 28],[24.00900901 16.99099099] ; [40.99099099 29.00900901],0
s8,1,0.717754,0.130655,[18 24] ; [32 37],[18.91891892 23.08108108] ; [31.08108108 37.91891892],0
s6,1,0.735427,0.114187,[33  6] ; [60  9],[33.58333333  5.41666667] ; [59.41666667  9.58333333],0
s7,1,0.758282,0.094702,[25 17] ; [40 24],[25.75471698 16.24528302] ; [39.24528302 24.75471698],0
u3,1,0.760148,0.0932,[10  9] ; [16 12],[10.5106383  8.4893617] ; [15.4893617 12.5106383],0
a1,1,0.762369,0.091429,[ 3 39] ; [ 4 66],[ 2.625 39.375] ; [ 4.375 65.625],0
u2,1,0.764599,0.089669,[10  9] ; [13 14],[9.5 9.5] ; [13.5 13.5],0
r1,1,0.800077,0.064134,[32 10] ; [54 15],[32.54054054  9.45945946] ; [53.45945946 15.54054054],0
p7,1,0.858982,0.031567,[29 12] ; [47 21],[28.58715596 12.41284404] ; [47.41284404 20.58715596],0
p6,1,0.883453,0.02149,[16 24] ; [29 41],[16.36363636 23.63636364] ; [28.63636364 41.36363636],0
d4,1,0.917916,0.010621,[28 14] ; [46 24],[27.75 14.25] ; [46.25 23.75],0
v4,1,0.944953,0.004767,[40  2] ; [64  3],[40.0733945  1.9266055] ; [63.9266055  3.0733945],0
a4,1,0.955584,0.003102,[11 31] ; [18 52],[10.875 31.125] ; [18.125 51.875],0
d5,1,0.96031,0.002477,[25 17] ; [42 28],[25.125 16.875] ; [41.875 28.125],0
b4,1,0.96031,0.002477,[25 17] ; [42 28],[25.125 16.875] ; [41.875 28.125],0
p8,1,0.997132,1.3e-05,[22 19] ; [37 32],[21.99090909 19.00909091] ; [37.00909091 31.99090909],0
