Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.00194,9.605035,[43 24] ; [ 7 18],[36.41304348 30.58695652] ; [13.58695652 11.41304348],0
p6,1,0.005745,7.628688,[ 9 57] ; [10 15],[13.78021978 52.21978022] ; [ 5.21978022 19.78021978],0
d3,1,0.03417,4.486154,[28 37] ; [17  8],[32.5 32.5] ; [12.5 12.5],0
d1,1,0.037705,4.318301,[17 50] ; [12 13],[21.11956522 45.88043478] ; [ 7.88043478 17.11956522],0
p10,1,0.039176,4.253221,[25 38] ; [16  9],[29.35227273 33.64772727] ; [11.64772727 13.35227273],0
p7,1,0.047345,3.933088,[21 46] ; [13 11],[25.03296703 41.96703297] ; [ 8.96703297 15.03296703],0
n4,1,0.04744,3.929722,[30 37] ; [17  8],[34.22826087 32.77173913] ; [12.77173913 12.22826087],0
n2,1,0.05629,3.643466,[15 15] ; [7 1],[17.36842105 12.63157895] ; [4.63157895 3.36842105],0
v4,1,0.062831,3.46104,[49 17] ; [23  2],[52.21978022 13.78021978] ; [19.78021978  5.21978022],0
r4,1,0.069303,3.299446,[37 30] ; [19  6],[40.7826087 26.2173913] ; [15.2173913  9.7826087],0
p9,1,0.084239,2.981158,[27 35] ; [16  9],[30.64367816 31.35632184] ; [12.35632184 12.64367816],0
p4,1,0.102832,2.661068,[21 46] ; [12 12],[24.2967033 42.7032967] ; [ 8.7032967 15.2967033],0
p5,1,0.128804,2.306866,[ 4 63] ; [ 4 21],[ 5.82608696 61.17391304] ; [ 2.17391304 22.82608696],0
n6,1,0.144329,2.131185,[37 30] ; [18  7],[40.05434783 26.94565217] ; [14.94565217 10.05434783],0
p2,1,0.14706,2.102482,[40 27] ; [19  6],[42.9673913 24.0326087] ; [16.0326087  8.9673913],0
n5,1,0.174901,1.840423,[35 32] ; [17  8],[37.86956522 29.13043478] ; [14.13043478 10.86956522],0
r2,1,0.191286,1.707685,[50 17] ; [21  3],[52.27472527 14.72527473] ; [18.72527473  5.27472527],0
a3,1,0.195506,1.675632,[19 47] ; [10 13],[21.50561798 44.49438202] ; [ 7.49438202 15.50561798],0
p3,1,0.284987,1.143151,[19 48] ; [10 15],[21.11956522 45.88043478] ; [ 7.88043478 17.11956522],0
s2,1,0.286963,1.133817,[24 43] ; [12 13],[26.2173913 40.7826087] ; [ 9.7826087 15.2173913],0
r3,1,0.328094,0.956405,[46 21] ; [19  5],[47.85714286 19.14285714] ; [17.14285714  6.85714286],0
v3,1,0.346728,0.885396,[15 49] ; [ 8 16],[16.72727273 47.27272727] ; [ 6.27272727 17.72727273],0
u3,1,0.37365,0.791489,[25 22] ; [6 9],[23.5 23.5] ; [7.5 7.5],0
r1,1,0.376772,0.781208,[36 31] ; [16  9],[37.86956522 29.13043478] ; [14.13043478 10.86956522],0
s3,1,0.389773,0.739651,[29 37] ; [13 11],[30.8 35.2] ; [11.2 12.8],0
d2,1,0.52502,0.404021,[17 50] ; [ 8 17],[18.20652174 48.79347826] ; [ 6.79347826 18.20652174],0
n1,1,0.548294,0.360382,[ 8 22] ; [3 5],[ 8.68421053 21.31578947] ; [2.31578947 5.68421053],0
a7,1,0.550851,0.355795,[35 31] ; [15 10],[36.26373626 29.73626374] ; [13.73626374 11.26373626],0
s7,1,0.552292,0.353226,[18 43] ; [ 8 14],[19.10843373 41.89156627] ; [ 6.89156627 15.10843373],0
b2,1,0.553301,0.351437,[11 26] ; [ 3 11],[10.15686275 26.84313725] ; [ 3.84313725 10.15686275],0
b3,1,0.553301,0.351437,[11 26] ; [ 3 11],[10.15686275 26.84313725] ; [ 3.84313725 10.15686275],0
a6,1,0.614306,0.253952,[28 39] ; [ 9 16],[26.94565217 40.05434783] ; [10.05434783 14.94565217],0
v2,1,0.634616,0.225853,[19 44] ; [ 6 18],[18.10344828 44.89655172] ; [ 6.89655172 17.10344828],0
d4,1,0.69717,0.151433,[42 24] ; [17  8],[42.79120879 23.20879121] ; [16.20879121  8.79120879],0
s4,1,0.708318,0.139963,[13 54] ; [ 4 21],[12.38043478 54.61956522] ; [ 4.61956522 20.38043478],0
a1,1,0.710776,0.137503,[ 4 63] ; [ 1 24],[ 3.64130435 63.35869565] ; [ 1.35869565 23.64130435],0
s5,1,0.722579,0.126035,[13 52] ; [ 4 20],[12.41573034 52.58426966] ; [ 4.58426966 19.41573034],0
n3,1,0.736151,0.113539,[17 13] ; [4 4],[16.57894737 13.42105263] ; [4.42105263 3.57894737],0
a4,1,0.765906,0.088646,[ 7 60] ; [ 2 22],[ 6.62637363 60.37362637] ; [ 2.37362637 21.62637363],0
d5,1,0.78956,0.071226,[39 27] ; [14 11],[38.43956044 27.56043956] ; [14.56043956 10.43956044],0
s8,1,0.798524,0.065157,[17 50] ; [ 7 18],[17.47826087 49.52173913] ; [ 6.52173913 18.47826087],0
u1,1,0.807366,0.059451,[ 2 65] ; [ 1 24],[ 2.18478261 64.81521739] ; [ 0.81521739 24.18478261],0
p1,1,0.83149,0.04528,[ 7 60] ; [ 3 22],[ 7.2826087 59.7173913] ; [ 2.7173913 22.2826087],0
b5,1,0.880954,0.022428,[44 23] ; [16  9],[43.69565217 23.30434783] ; [16.30434783  8.69565217],0
u2,1,0.881432,0.022247,[22 23] ; [7 8],[21.75 23.25] ; [7.25 7.75],0
s6,1,0.923871,0.009131,[31 35] ; [11 13],[30.8 35.2] ; [11.2 12.8],0
s1,1,0.94595,0.004596,[ 5 61] ; [ 2 23],[ 5.07692308 60.92307692] ; [ 1.92307692 23.07692308],0
v1,1,0.956436,0.002984,[23 42] ; [ 9 16],[23.11111111 41.88888889] ; [ 8.88888889 16.11111111],0
b4,1,0.979276,0.000675,[40 27] ; [15 10],[40.05434783 26.94565217] ; [14.94565217 10.05434783],0
a8,1,1.0,0.0,[ 3 60] ; [ 1 20],[ 3. 60.] ; [ 1. 20.],0
