Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000201,13.822023,[113  13] ; [42 20],[103.88297872  22.11702128] ; [51.11702128 10.88297872],1
p10,1,0.000261,13.334648,[109  17] ; [40 23],[99.33333333 26.66666667] ; [49.66666667 13.33333333],1
p9,1,0.000547,11.948391,[113  14] ; [41 19],[104.58823529  22.41176471] ; [49.41176471 10.58823529],1
v3,1,0.003756,8.397993,[55 69] ; [14 48],[46. 78.] ; [23. 39.],0
v4,1,0.004057,8.258161,[122   3] ; [54  8],[117.64705882   7.35294118] ; [58.35294118  3.64705882],0
s2,1,0.004783,7.959837,[100  27] ; [38 26],[91.7591623 35.2408377] ; [46.2408377 17.7591623],0
p7,1,0.008212,6.98671,[73 47] ; [24 36],[64.66666667 55.33333333] ; [32.33333333 27.66666667],0
s3,1,0.011744,6.349151,[100  25] ; [39 23],[92.9144385 32.0855615] ; [46.0855615 15.9144385],0
s1,1,0.011909,6.32436,[  4 121] ; [ 8 55],[  7.9787234 117.0212766] ; [ 4.0212766 58.9787234],0
v1,1,0.022523,5.204903,[70 54] ; [24 38],[62.66666667 61.33333333] ; [31.33333333 30.66666667],0
s5,1,0.023604,5.123525,[57 66] ; [18 44],[49.86486486 73.13513514] ; [25.13513514 36.86486486],0
n5,1,0.023767,5.111552,[101  25] ; [41 22],[94.66666667 31.33333333] ; [47.33333333 15.66666667],0
r1,1,0.050735,3.817007,[108  17] ; [48 16],[103.17460317  21.82539683] ; [52.82539683 11.17460317],0
p6,1,0.059163,3.560691,[45 81] ; [14 49],[39.33333333 86.66666667] ; [19.66666667 43.33333333],0
p4,1,0.06521,3.399649,[61 65] ; [22 42],[55.04210526 70.95789474] ; [27.95789474 36.04210526],0
r4,1,0.067332,3.346904,[112  15] ; [50 14],[107.71727749  19.28272251] ; [54.28272251  9.71727749],0
v2,1,0.083565,2.994162,[74 49] ; [29 33],[68.48108108 54.51891892] ; [34.51891892 27.48108108],0
u3,1,0.132645,2.261272,[24  7] ; [9 7],[21.76595745  9.23404255] ; [11.23404255  4.76595745],0
p12,1,0.150033,2.07191,[  8 119] ; [ 1 62],[  6.01578947 120.98421053] ; [ 2.98421053 60.01578947],0
n6,1,0.2037,1.615642,[107  19] ; [48 14],[103.88297872  22.11702128] ; [51.11702128 10.88297872],0
d5,1,0.241712,1.370582,[104  23] ; [47 16],[100.93157895  26.06842105] ; [50.06842105 12.93157895],0
p8,1,0.252138,1.311418,[54 71] ; [21 40],[50.40322581 74.59677419] ; [24.59677419 36.40322581],0
p11,1,0.267203,1.231051,[95 32] ; [43 21],[91.7591623 35.2408377] ; [46.2408377 17.7591623],0
a6,1,0.317264,1.000194,[84 43] ; [37 26],[80.87894737 46.12105263] ; [40.12105263 22.87894737],0
b5,1,0.317457,0.999393,[79 48] ; [35 29],[75.80104712 51.19895288] ; [38.19895288 25.80104712],0
p5,1,0.394471,0.725116,[ 10 115] ; [ 3 61],[  8.5978836 116.4021164] ; [ 4.4021164 59.5978836],0
r3,1,0.405075,0.693208,[119   8] ; [56  6],[117.59259259   9.40740741] ; [57.40740741  4.59259259],0
p2,1,0.411351,0.674892,[100  27] ; [47 17],[97.7434555 29.2565445] ; [49.2565445 14.7434555],0
u1,1,0.431607,0.618494,[28 99] ; [11 53],[ 25.93193717 101.06806283] ; [13.06806283 50.93193717],0
u2,1,0.466296,0.530739,[20 11] ; [8 7],[18.86956522 12.13043478] ; [9.13043478 5.86956522],0
d3,1,0.480077,0.498688,[91 36] ; [42 21],[88.9 38.1] ; [44.1 18.9],0
a8,1,0.500064,0.454801,[24 87] ; [10 48],[22.33136095 88.66863905] ; [11.66863905 46.33136095],0
d4,1,0.500416,0.454054,[104  23] ; [49 14],[102.26842105  24.73157895] ; [50.73157895 12.26842105],0
u4,1,0.516697,0.420481,[  4 123] ; [ 1 63],[  3.32460733 123.67539267] ; [ 1.67539267 62.32460733],0
n2,1,0.551508,0.354623,[26  9] ; [21  5],[26.96721311  8.03278689] ; [20.03278689  5.96721311],0
d1,1,0.637039,0.222636,[74 53] ; [35 29],[72.47643979 54.52356021] ; [36.52356021 27.47643979],0
a4,1,0.647469,0.209106,[60 67] ; [28 36],[58.51308901 68.48691099] ; [29.48691099 34.51308901],0
p1,1,0.655024,0.199625,[  6 121] ; [ 4 60],[  6.64921466 120.35078534] ; [ 3.35078534 60.64921466],0
n4,1,0.657159,0.196993,[100  26] ; [49 15],[98.81052632 27.18947368] ; [50.18947368 13.81052632],0
n3,1,0.680517,0.169545,[22 13] ; [17  8],[22.75 12.25] ; [16.25  8.75],0
b3,1,0.783578,0.075438,[34 55] ; [15 27],[33.29007634 55.70992366] ; [15.70992366 26.29007634],0
