Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.001015,10.8,[ 4 26] ; [16 14],[10. 20.] ; [10. 20.],0
p9,1,0.001839,9.70354,[18 12] ; [29  2],[23.1147541  6.8852459] ; [23.8852459  7.1147541],0
p7,1,0.005729,7.633677,[14 16] ; [25  6],[19.18032787 10.81967213] ; [19.81967213 11.18032787],0
p10,1,0.00828,6.971875,[20 10] ; [29  2],[24.09836066  5.90163934] ; [24.90163934  6.09836066],0
s8,1,0.014215,6.011196,[ 9 21] ; [19 12],[13.7704918 16.2295082] ; [14.2295082 16.7704918],0
p3,1,0.014873,5.931437,[10 20] ; [20 11],[14.75409836 15.24590164] ; [15.24590164 15.75409836],0
s7,1,0.021528,5.28354,[ 8 18] ; [19 12],[12.31578947 13.68421053] ; [14.68421053 16.31578947],0
p4,1,0.027795,4.840763,[14 16] ; [23  8],[18.19672131 11.80327869] ; [18.80327869 12.19672131],0
r4,1,0.033003,4.545612,[22  8] ; [29  2],[25.08196721  4.91803279] ; [25.91803279  5.08196721],0
b3,1,0.041558,4.153134,[ 4 14] ; [9 7],[ 6.88235294 11.11764706] ; [6.11764706 9.88235294],0
b2,1,0.041558,4.153134,[ 4 14] ; [9 7],[ 6.88235294 11.11764706] ; [6.11764706 9.88235294],0
b5,1,0.047772,3.917993,[16 14] ; [24  7],[19.67213115 10.32786885] ; [20.32786885 10.67213115],0
b1,1,0.051275,3.799273,[15 15] ; [ 8 23],[11.31147541 18.68852459] ; [11.68852459 19.31147541],0
v3,1,0.12642,2.335929,[15 14] ; [10 21],[12.08333333 16.91666667] ; [12.91666667 18.08333333],0
n3,1,0.146924,2.103896,[4 7] ; [5 2],[5.5 5.5] ; [3.5 3.5],0
v2,1,0.158955,1.98414,[15 15] ; [21 10],[17.70491803 12.29508197] ; [18.29508197 12.70491803],0
a7,1,0.165247,1.925546,[18 12] ; [23  7],[20.5  9.5] ; [20.5  9.5],0
r2,1,0.210783,1.566038,[25  5] ; [29  2],[26.55737705  3.44262295] ; [27.44262295  3.55737705],0
s6,1,0.227842,1.454282,[19 11] ; [24  7],[21.14754098  8.85245902] ; [21.85245902  9.14754098],0
r1,1,0.249464,1.326305,[16 14] ; [21 10],[18.19672131 11.80327869] ; [18.80327869 12.19672131],0
u1,1,0.250896,1.318307,[ 5 25] ; [ 9 22],[ 6.8852459 23.1147541] ; [ 7.1147541 23.8852459],0
d2,1,0.251859,1.312964,[16 14] ; [12 19],[13.7704918 16.2295082] ; [14.2295082 16.7704918],0
s4,1,0.286734,1.134892,[ 4 26] ; [ 7 22],[ 5.59322034 24.40677966] ; [ 5.40677966 23.59322034],0
d4,1,0.303029,1.060815,[27  3] ; [25  6],[25.57377049  4.42622951] ; [26.42622951  4.57377049],0
a1,1,0.366903,0.814128,[ 4 26] ; [ 2 29],[ 2.95081967 27.04918033] ; [ 3.04918033 27.95081967],0
a3,1,0.367413,0.812396,[18 12] ; [22  9],[19.67213115 10.32786885] ; [20.32786885 10.67213115],0
p8,1,0.372844,0.794165,[14 16] ; [18 13],[15.73770492 14.26229508] ; [16.26229508 14.73770492],0
a8,1,0.386476,0.75,[ 2 25] ; [ 4 23],[ 3. 24.] ; [ 3. 24.],0
n2,1,0.494125,0.467532,[8 3] ; [4 3],[7.33333333 3.66666667] ; [4.66666667 2.33333333],0
p2,1,0.497188,0.460934,[22  8] ; [25  6],[23.1147541  6.8852459] ; [23.8852459  7.1147541],0
u2,1,0.528265,0.397727,[5 7] ; [5 4],[5.71428571 6.28571429] ; [4.28571429 4.71428571],0
v1,1,0.529838,0.394702,[16 14] ; [19 12],[17.21311475 12.78688525] ; [17.78688525 13.21311475],0
d3,1,0.573138,0.31746,[20 10] ; [22  8],[21.  9.] ; [21.  9.],0
n5,1,0.573138,0.31746,[20 10] ; [22  8],[21.  9.] ; [21.  9.],0
r3,1,0.573401,0.317025,[29  1] ; [29  2],[28.52459016  1.47540984] ; [29.47540984  1.52459016],0
p1,1,0.573401,0.317025,[ 1 29] ; [ 2 29],[ 1.47540984 28.52459016] ; [ 1.52459016 29.47540984],0
n6,1,0.61971,0.246275,[25  4] ; [28  3],[25.61666667  3.38333333] ; [27.38333333  3.61666667],0
p5,1,0.66825,0.183656,[ 2 28] ; [ 3 28],[ 2.45901639 27.54098361] ; [ 2.54098361 28.45901639],0
d1,1,0.68363,0.166069,[18 12] ; [17 14],[17.21311475 12.78688525] ; [17.78688525 13.21311475],0
b4,1,0.692112,0.156809,[17 13] ; [16 15],[16.2295082 13.7704918] ; [16.7704918 14.2295082],0
u3,1,0.697161,0.151442,[7 5] ; [6 3],[7.42857143 4.57142857] ; [5.57142857 3.42857143],0
a6,1,0.715973,0.132384,[18 12] ; [20 11],[18.68852459 11.31147541] ; [19.31147541 11.68852459],0
p11,1,0.715973,0.132384,[18 12] ; [20 11],[18.68852459 11.31147541] ; [19.31147541 11.68852459],0
a2,1,0.805635,0.060546,[ 6 24] ; [ 7 24],[ 6.39344262 23.60655738] ; [ 6.60655738 24.39344262],0
a5,1,0.822565,0.050287,[23  7] ; [23  8],[22.62295082  7.37704918] ; [23.37704918  7.62295082],0
a4,1,0.892996,0.018094,[14 16] ; [15 16],[14.26229508 15.73770492] ; [14.73770492 16.26229508],0
n4,1,0.93397,0.006864,[21  9] ; [22  9],[21.14754098  8.85245902] ; [21.85245902  9.14754098],0
d5,1,1.0,0.0,[25  5] ; [25  5],[25.  5.] ; [25.  5.],0
