Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,26.608383,[  7 160] ; [6 9],[ 11.92857143 155.07142857] ; [ 1.07142857 13.92857143],1
s5,1,0.001193,10.501376,[ 60 102] ; [12  3],[65.89830508 96.10169492] ; [6.10169492 8.89830508],0
p12,1,0.002082,9.475603,[  9 159] ; [ 4 11],[ 11.93442623 156.06557377] ; [ 1.06557377 13.93442623],0
p6,1,0.004231,8.181818,[ 50 115] ; [10  5],[ 55. 110.] ; [ 5. 10.],0
p8,1,0.014326,5.997532,[67 98] ; [11  4],[71.5 93.5] ; [6.5 8.5],0
a1,1,0.028153,4.818656,[  9 159] ; [ 3 12],[ 11.01639344 156.98360656] ; [ 0.98360656 14.01639344],0
p3,1,0.04114,4.170249,[ 66 101] ; [10  5],[69.73626374 97.26373626] ; [6.26373626 8.73626374],0
p4,1,0.048325,3.898646,[90 78] ; [12  3],[93.63934426 74.36065574] ; [8.36065574 6.63934426],0
b3,1,0.146186,2.111609,[22 63] ; [4 4],[23.76344086 61.23655914] ; [2.23655914 5.76344086],0
b2,1,0.146186,2.111609,[22 63] ; [4 4],[23.76344086 61.23655914] ; [2.23655914 5.76344086],0
n6,1,0.164435,1.932956,[129  36] ; [14  1],[131.08333333  33.91666667] ; [11.91666667  3.08333333],0
p2,1,0.172591,1.860295,[132  36] ; [14  1],[134.03278689  33.96721311] ; [11.96721311  3.03278689],0
p9,1,0.185695,1.751443,[129  34] ; [14  1],[130.9494382  32.0505618] ; [12.0505618  2.9494382],0
n2,1,0.23243,1.425926,[35  7] ; [1 1],[34.36363636  7.63636364] ; [1.63636364 0.36363636],0
v1,1,0.24917,1.327952,[73 91] ; [9 6],[75.12849162 88.87150838] ; [6.87150838 8.12849162],0
u2,1,0.254296,1.299549,[30 26] ; [4 1],[31.21311475 24.78688525] ; [2.78688525 2.21311475],0
v3,1,0.267212,1.231006,[ 53 110] ; [7 8],[ 54.94382022 108.05617978] ; [5.05617978 9.94382022],0
u1,1,0.294558,1.098671,[ 27 141] ; [ 4 11],[ 28.45901639 139.54098361] ; [ 2.54098361 12.45901639],0
r1,1,0.324997,0.968729,[130  37] ; [10  5],[128.46153846  38.53846154] ; [11.53846154  3.46153846],0
r2,1,0.33112,0.944511,[156  11] ; [13  2],[155.07142857  11.92857143] ; [13.92857143  1.07142857],0
d3,1,0.340816,0.907359,[119  47] ; [9 6],[117.39226519  48.60773481] ; [10.60773481  4.39226519],0
s6,1,0.381323,0.766432,[126  38] ; [13  2],[127.35195531  36.64804469] ; [11.64804469  3.35195531],0
r4,1,0.382614,0.762287,[143  25] ; [14  1],[144.13114754  23.86885246] ; [12.86885246  2.13114754],0
d2,1,0.403033,0.699257,[70 96] ; [8 7],[71.5359116 94.4640884] ; [6.4640884 8.5359116],0
v2,1,0.418011,0.655901,[82 79] ; [6 9],[80.5 80.5] ; [7.5 7.5],0
a7,1,0.425061,0.636279,[130  37] ; [13  2],[131.21428571  35.78571429] ; [11.78571429  3.21428571],0
p10,1,0.425061,0.636279,[130  37] ; [13  2],[131.21428571  35.78571429] ; [11.78571429  3.21428571],0
d5,1,0.427971,0.628324,[126  40] ; [10  5],[124.72928177  41.27071823] ; [11.27071823  3.72928177],0
a6,1,0.465654,0.53227,[105  62] ; [8 7],[103.68681319  63.31318681] ; [9.31318681 5.68681319],0
a8,1,0.493382,0.469143,[ 23 135] ; [ 1 12],[ 22.1754386 135.8245614] ; [ 1.8245614 11.1754386],0
p11,1,0.506551,0.441185,[121  47] ; [12  3],[122.09836066  45.90163934] ; [10.90163934  4.09836066],0
n4,1,0.506551,0.441185,[121  47] ; [12  3],[122.09836066  45.90163934] ; [10.90163934  4.09836066],0
n3,1,0.555,0.348435,[30 13] ; [1 1],[29.62222222 13.37777778] ; [1.37777778 0.62222222],0
d1,1,0.601247,0.273119,[89 79] ; [9 6],[89.96721311 78.03278689] ; [8.03278689 6.96721311],0
b4,1,0.618927,0.247379,[101  67] ; [10  5],[101.90163934  66.09836066] ; [9.09836066 5.90163934],0
a2,1,0.63812,0.221209,[ 36 132] ; [ 4 11],[ 36.72131148 131.27868852] ; [ 3.27868852 11.72131148],0
b5,1,0.64043,0.21818,[100  68] ; [8 7],[99.14754098 68.85245902] ; [8.85245902 6.14754098],0
a4,1,0.741002,0.109248,[71 97] ; [7 8],[71.60655738 96.39344262] ; [6.39344262 8.60655738],0
s3,1,0.75529,0.097139,[136  30] ; [11  3],[135.56666667  30.43333333] ; [11.43333333  2.56666667],0
n5,1,0.779487,0.078393,[116  50] ; [11  4],[116.47513812  49.52486188] ; [10.52486188  4.47513812],0
p7,1,0.793844,0.06829,[99 64] ; [9 5],[99.45762712 63.54237288] ; [8.54237288 5.45762712],0
d4,1,0.818194,0.05284,[141  26] ; [13  2],[141.30769231  25.69230769] ; [12.69230769  2.30769231],0
r3,1,0.844437,0.038503,[156   9] ; [14  1],[155.83333333   9.16666667] ; [14.16666667  0.83333333],0
u3,1,0.901488,0.015322,[32 24] ; [3 2],[32.13114754 23.86885246] ; [2.86885246 2.13114754],0
b1,1,0.920563,0.009945,[ 65 103] ; [6 9],[ 65.18032787 102.81967213] ; [5.81967213 9.18032787],0
s7,1,0.92482,0.008904,[74 89] ; [7 8],[74.1741573 88.8258427] ; [6.8258427 8.1741573],0
a3,1,0.92592,0.008645,[110  58] ; [10  5],[110.16393443  57.83606557] ; [9.83606557 5.16393443],0
s1,1,0.925977,0.008632,[ 12 152] ; [ 1 14],[ 11.91061453 152.08938547] ; [ 1.08938547 13.91061453],0
a5,1,0.962471,0.002214,[113  55] ; [10  5],[112.91803279  55.08196721] ; [10.08196721  4.91803279],0
