Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,47.148539,[208  31] ; [67 56],[181.56077348  57.43922652] ; [93.43922652 29.56077348],1
p6,1,1e-06,24.92439,[137 100] ; [37 86],[114.55 122.45] ; [59.45 63.55],1
p7,1,8.2e-05,15.51971,[208  29] ; [85 35],[194.51260504  42.48739496] ; [98.48739496 21.51260504],1
p5,1,0.002733,8.977878,[ 54 185] ; [ 12 111],[ 43.57458564 195.42541436] ; [ 22.42541436 100.57458564],0
u1,1,0.002808,8.92813,[ 59 180] ; [ 14 109],[ 48.1961326 190.8038674] ; [24.8038674 98.1961326],0
p12,1,0.003243,8.665476,[ 34 204] ; [  5 117],[ 25.78333333 212.21666667] ; [ 13.21666667 108.78333333],0
s5,1,0.003735,8.408281,[106 124] ; [35 82],[ 93.45821326 136.54178674] ; [47.54178674 69.45821326],0
s8,1,0.009023,6.818238,[133 103] ; [51 71],[121.29608939 114.70391061] ; [62.70391061 59.29608939],0
p10,1,0.022412,5.213528,[218  20] ; [102  20],[211.55555556  26.44444444] ; [108.44444444  13.55555556],0
s3,1,0.023172,5.155582,[141  95] ; [56 63],[130.96338028 105.03661972] ; [66.03661972 52.96338028],0
p9,1,0.028216,4.814828,[221  18] ; [103  18],[215.1  23.9] ; [108.9  12.1],0
s7,1,0.028291,4.810246,[130  95] ; [54 65],[120.34883721 104.65116279] ; [63.65116279 55.34883721],0
a2,1,0.032714,4.560684,[ 76 163] ; [26 97],[ 67.34254144 171.65745856] ; [34.65745856 88.34254144],0
a7,1,0.040967,4.177384,[173  66] ; [101  22],[180.90055249  58.09944751] ; [93.09944751 29.90055249],0
n4,1,0.050121,3.837412,[201  38] ; [93 30],[194.10497238  44.89502762] ; [99.89502762 23.10497238],0
a4,1,0.076001,3.14841,[126 112] ; [53 70],[118.01108033 119.98891967] ; [60.98891967 62.01108033],0
v2,1,0.084223,2.981467,[153  81] ; [66 52],[145.58522727  88.41477273] ; [73.41477273 44.58522727],0
a3,1,0.093623,2.810955,[189  49] ; [88 35],[182.62049861  55.37950139] ; [94.37950139 28.62049861],0
s4,1,0.094916,2.788957,[ 41 194] ; [ 13 108],[ 35.64606742 199.35393258] ; [ 18.35393258 102.64606742],0
v3,1,0.111301,2.535645,[112 121] ; [47 73],[104.9490085 128.0509915] ; [54.0509915 65.9490085],0
n2,1,0.115403,2.478632,[20  9] ; [25  4],[22.5  6.5] ; [22.5  6.5],0
s2,1,0.132799,2.259474,[130 106] ; [56 64],[123.30337079 112.69662921] ; [62.69662921 57.30337079],0
d2,1,0.138166,2.198266,[140  99] ; [62 61],[133.36464088 105.63535912] ; [68.63535912 54.36464088],0
d1,1,0.15354,2.036723,[171  68] ; [79 44],[165.05524862  73.94475138] ; [84.94475138 38.05524862],0
p1,1,0.160862,1.966107,[ 31 206] ; [ 10 113],[ 26.99166667 210.00833333] ; [ 14.00833333 108.99166667],0
n5,1,0.166944,1.910174,[196  42] ; [93 29],[191.06111111  46.93888889] ; [97.93888889 24.06111111],0
b5,1,0.177936,1.814779,[128 111] ; [75 48],[134.02486188 104.97513812] ; [68.97513812 54.02486188],0
n3,1,0.189715,1.719828,[17 12] ; [21  7],[19.33333333  9.66666667] ; [18.66666667  9.33333333],0
n6,1,0.22766,1.455421,[214  23] ; [105  17],[210.59331476  26.40668524] ; [108.40668524  13.59331476],0
a1,1,0.250294,1.321661,[ 17 222] ; [  5 118],[ 14.52486188 224.47513812] ; [  7.47513812 115.52486188],0
p11,1,0.277077,1.181372,[210  29] ; [103  20],[206.64917127  32.35082873] ; [106.35082873  16.64917127],0
s6,1,0.329729,0.94996,[168  62] ; [81 38],[164.0974212  65.9025788] ; [84.9025788 34.0974212],0
p2,1,0.333955,0.933501,[220  18] ; [110  13],[217.56232687  20.43767313] ; [112.43767313  10.56232687],0
b2,1,0.415902,0.661866,[66 89] ; [25 43],[63.25112108 91.74887892] ; [27.74887892 40.25112108],0
b3,1,0.415902,0.661866,[66 89] ; [25 43],[63.25112108 91.74887892] ; [27.74887892 40.25112108],0
b1,1,0.459257,0.547706,[ 99 140] ; [46 77],[ 95.7320442 143.2679558] ; [49.2679558 73.7320442],0
s1,1,0.485944,0.485494,[  5 234] ; [  4 117],[  5.975 233.025] ; [  3.025 117.975],0
u3,1,0.499122,0.456803,[31 18] ; [19 15],[29.51807229 19.48192771] ; [20.48192771 13.51807229],0
v4,1,0.503964,0.446578,[228   9] ; [119   3],[229.07799443   7.92200557] ; [117.92200557   4.07799443],0
r2,1,0.532759,0.389126,[225  10] ; [115   7],[223.80952381  11.19047619] ; [116.19047619   5.80952381],0
b4,1,0.548382,0.360224,[140  99] ; [68 55],[137.32596685 101.67403315] ; [70.67403315 52.32596685],0
d4,1,0.575065,0.314281,[210  28] ; [106  17],[208.33240997  29.66759003] ; [107.66759003  15.33240997],0
r3,1,0.626536,0.236788,[228   9] ; [117   6],[227.125   9.875] ; [117.875   5.125],0
u4,1,0.628939,0.233503,[  8 230] ; [  3 120],[  7.25207756 230.74792244] ; [  3.74792244 119.25207756],0
a6,1,0.701144,0.147284,[171  67] ; [86 37],[169.43490305  68.56509695] ; [87.56509695 35.43490305],0
d3,1,0.715445,0.132899,[181  58] ; [91 32],[179.5801105  59.4198895] ; [92.4198895 30.5801105],0
u2,1,0.733913,0.115549,[29 21] ; [19 16],[28.23529412 21.76470588] ; [19.76470588 15.23529412],0
v1,1,0.748635,0.102682,[149  86] ; [74 46],[147.61971831  87.38028169] ; [75.38028169 44.61971831],0
a8,1,0.859982,0.031116,[ 32 183] ; [16 97],[ 31.46341463 183.53658537] ; [16.53658537 96.46341463],0
d5,1,0.860048,0.031086,[201  37] ; [103  20],[200.42105263  37.57894737] ; [103.57894737  19.42105263],0
n1,1,0.916353,0.011031,[11 18] ; [11 17],[11.19298246 17.80701754] ; [10.80701754 17.19298246],0
r4,1,0.932897,0.00709,[224  15] ; [115   8],[223.81491713  15.18508287] ; [115.18508287   7.81491713],0
r1,1,0.958086,0.002762,[207  31] ; [105  16],[206.84122563  31.15877437] ; [105.15877437  15.84122563],0
