Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.00169,9.859574,[10 60] ; [16 23],[16.69724771 53.30275229] ; [ 9.30275229 29.69724771],0
p6,1,0.003301,8.633206,[11 57] ; [16 22],[17.32075472 50.67924528] ; [ 9.67924528 28.32075472],0
p3,1,0.006226,7.483693,[12 58] ; [16 23],[17.98165138 52.01834862] ; [10.01834862 28.98165138],0
s7,1,0.008531,6.918416,[11 56] ; [15 23],[16.59047619 50.40952381] ; [ 9.40952381 28.59047619],0
p10,1,0.009721,6.685329,[33 36] ; [28 10],[39.3364486 29.6635514] ; [21.6635514 16.3364486],0
p4,1,0.016467,5.75232,[17 52] ; [18 20],[22.57009346 46.42990654] ; [12.42990654 25.57009346],0
p7,1,0.026919,4.895977,[32 35] ; [26 11],[37.36538462 29.63461538] ; [20.63461538 16.36538462],0
n6,1,0.036552,4.371182,[44 26] ; [32  7],[48.80733945 21.19266055] ; [27.19266055 11.80733945],0
d3,1,0.038114,4.299934,[28 42] ; [ 8 31],[23.11926606 46.88073394] ; [12.88073394 26.11926606],0
p2,1,0.038912,4.264702,[40 30] ; [30  9],[44.95412844 25.04587156] ; [25.04587156 13.95412844],0
p1,1,0.042085,4.131788,[ 4 66] ; [ 7 32],[ 7.06422018 62.93577982] ; [ 3.93577982 35.06422018],0
p9,1,0.078671,3.092137,[41 28] ; [29  9],[45.14018692 23.85981308] ; [24.85981308 13.14018692],0
n5,1,0.079091,3.083481,[39 30] ; [28 10],[43.20560748 25.79439252] ; [23.79439252 14.20560748],0
s2,1,0.089151,2.889632,[19 50] ; [17 22],[23. 46.] ; [13. 26.],0
a6,1,0.098206,2.734443,[31 39] ; [11 28],[26.97247706 43.02752294] ; [15.02752294 23.97247706],0
s6,1,0.130659,2.284653,[29 41] ; [21 16],[32.71028037 37.28971963] ; [17.28971963 19.71028037],0
d4,1,0.137112,2.210079,[35 34] ; [14 25],[31.30555556 37.69444444] ; [17.69444444 21.30555556],0
v4,1,0.146373,2.109645,[54 15] ; [34  4],[56.74766355 12.25233645] ; [31.25233645  6.74766355],0
u3,1,0.153588,2.036247,[21 24] ; [ 8 19],[18.125 26.875] ; [10.875 16.125],0
p5,1,0.204632,1.609,[ 4 65] ; [ 5 34],[ 5.75 63.25] ; [ 3.25 35.75],0
b3,1,0.212912,1.551515,[13 31] ; [ 3 17],[11. 33.] ; [ 5. 15.],0
b2,1,0.212912,1.551515,[13 31] ; [ 3 17],[11. 33.] ; [ 5. 15.],0
p12,1,0.234127,1.415613,[ 2 68] ; [ 3 35],[ 3.24074074 66.75925926] ; [ 1.75925926 36.24074074],0
p11,1,0.276298,1.185209,[43 27] ; [28 11],[45.59633028 24.40366972] ; [25.40366972 13.59633028],0
s3,1,0.301002,1.069748,[31 38] ; [20 16],[33.51428571 35.48571429] ; [17.48571429 18.51428571],0
r3,1,0.351475,0.868125,[54 16] ; [33  6],[55.87155963 14.12844037] ; [31.12844037  7.87155963],0
n3,1,0.353235,0.861801,[18  9] ; [5 5],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
v3,1,0.367695,0.811439,[13 56] ; [10 28],[14.8317757 54.1682243] ; [ 8.1682243 29.8317757],0
s1,1,0.373417,0.792263,[ 4 65] ; [ 4 34],[ 5.1588785 63.8411215] ; [ 2.8411215 35.1588785],0
s5,1,0.387493,0.746796,[10 57] ; [ 8 29],[11.59615385 55.40384615] ; [ 6.40384615 30.59615385],0
a1,1,0.451102,0.567881,[ 4 66] ; [ 1 38],[ 3.21100917 66.78899083] ; [ 1.78899083 37.21100917],0
r2,1,0.479492,0.500019,[55 15] ; [32  6],[56.38888889 13.61111111] ; [30.61111111  7.38888889],0
a7,1,0.55544,0.347661,[30 40] ; [19 20],[31.46788991 38.53211009] ; [17.53211009 21.46788991],0
v2,1,0.570735,0.321455,[19 45] ; [13 24],[20.27722772 43.72277228] ; [11.72277228 25.27722772],0
r1,1,0.597514,0.278761,[36 34] ; [18 21],[34.67889908 35.32110092] ; [19.32110092 19.67889908],0
u2,1,0.600394,0.274403,[20 24] ; [14 13],[21.07042254 22.92957746] ; [12.92957746 14.07042254],0
b4,1,0.617317,0.249657,[36 34] ; [22 17],[37.24770642 32.75229358] ; [20.75229358 18.24770642],0
n4,1,0.629128,0.233245,[39 31] ; [23 15],[40.18518519 29.81481481] ; [21.81481481 16.18518519],0
b1,1,0.673113,0.177982,[28 42] ; [14 25],[26.97247706 43.02752294] ; [15.02752294 23.97247706],0
n1,1,0.690487,0.158559,[10 17] ; [3 7],[ 9.48648649 17.51351351] ; [3.51351351 6.48648649],0
r4,1,0.690832,0.158186,[44 26] ; [26 13],[44.95412844 25.04587156] ; [25.04587156 13.95412844],0
s4,1,0.71851,0.129925,[11 59] ; [ 7 31],[11.66666667 58.33333333] ; [ 6.33333333 31.66666667],0
a4,1,0.71851,0.129925,[ 7 63] ; [ 3 35],[ 6.48148148 63.51851852] ; [ 3.51851852 34.48148148],0
v1,1,0.721115,0.127427,[25 43] ; [13 26],[24.14953271 43.85046729] ; [13.85046729 25.14953271],0
a8,1,0.724565,0.124161,[ 6 61] ; [ 4 32],[ 6.50485437 60.49514563] ; [ 3.49514563 32.50485437],0
a3,1,0.737142,0.112655,[24 45] ; [12 26],[23.21495327 45.78504673] ; [12.78504673 25.21495327],0
b5,1,0.741823,0.108531,[39 31] ; [23 16],[39.81651376 30.18348624] ; [22.18348624 16.81651376],0
n2,1,0.847465,0.037,[18  9] ; [7 3],[18.24324324  8.75675676] ; [6.75675676 3.24324324],0
d2,1,0.91534,0.011301,[12 58] ; [ 7 32],[12.20183486 57.79816514] ; [ 6.79816514 32.20183486],0
