Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.013975,6.041289,[30 29] ; [51 20],[36.76153846 22.23846154] ; [44.23846154 26.76153846],0
s6,1,0.071835,3.24058,[31 28] ; [47 22],[35.953125 23.046875] ; [42.046875 26.953125],0
d2,1,0.079879,3.067358,[31 27] ; [27 44],[26.07751938 31.92248062] ; [31.92248062 39.07751938],0
v2,1,0.089671,2.880268,[38 20] ; [56 15],[42.26356589 15.73643411] ; [51.73643411 19.26356589],0
b2,1,0.090956,2.857368,[10 27] ; [17 20],[13.5 23.5] ; [13.5 23.5],0
b3,1,0.090956,2.857368,[10 27] ; [17 20],[13.5 23.5] ; [13.5 23.5],0
s2,1,0.098198,2.734568,[23 36] ; [38 33],[27.68461538 31.31538462] ; [33.31538462 37.68461538],0
p6,1,0.10505,2.627154,[ 7 51] ; [16 53],[10.50393701 47.49606299] ; [12.49606299 56.50393701],0
p7,1,0.125958,2.341627,[25 33] ; [37 28],[29.23577236 28.76422764] ; [32.76422764 32.23577236],0
u2,1,0.132967,2.257514,[6 8] ; [15  7],[8.16666667 5.83333333] ; [12.83333333  9.16666667],0
p1,1,0.136562,2.216277,[ 3 56] ; [ 9 62],[ 5.44615385 53.55384615] ; [ 6.55384615 64.44615385],0
p3,1,0.139775,2.180434,[14 45] ; [25 45],[17.8372093 41.1627907] ; [21.1627907 48.8372093],0
n2,1,0.160485,1.96965,[14  3] ; [9 6],[12.21875  4.78125] ; [10.78125  4.21875],0
s1,1,0.162529,1.950534,[ 2 55] ; [ 7 64],[ 4.0078125 52.9921875] ; [ 4.9921875 66.0078125],0
a8,1,0.186059,1.748547,[ 5 48] ; [12 55],[ 7.50833333 45.49166667] ; [ 9.49166667 57.50833333],0
d1,1,0.193376,1.691707,[35 24] ; [34 37],[31.31538462 27.68461538] ; [37.68461538 33.31538462],0
s3,1,0.220043,1.504093,[26 32] ; [39 31],[29.453125 28.546875] ; [35.546875 34.453125],0
r2,1,0.226881,1.460306,[56  3] ; [70  1],[57.18461538  1.81538462] ; [68.81538462  2.18461538],0
s4,1,0.23589,1.40499,[11 48] ; [ 8 63],[ 8.62307692 50.37692308] ; [10.37692308 60.62307692],0
p5,1,0.238703,1.388239,[ 1 58] ; [ 4 66],[ 2.28682171 56.71317829] ; [ 2.71317829 67.28682171],0
p11,1,0.303065,1.060659,[41 18] ; [55 16],[43.56923077 15.43076923] ; [52.43076923 18.56923077],0
a3,1,0.331398,0.943427,[45 14] ; [48 22],[42.53488372 16.46511628] ; [50.46511628 19.53488372],0
r4,1,0.347753,0.881638,[48 11] ; [62  9],[49.92307692  9.07692308] ; [60.07692308 10.92307692],0
a5,1,0.376606,0.781753,[39 20] ; [52 19],[41.3 17.7] ; [49.7 21.3],0
s7,1,0.401298,0.704434,[25 31] ; [35 32],[27.31707317 28.68292683] ; [32.68292683 34.31707317],0
b1,1,0.415812,0.662122,[20 39] ; [29 42],[22.23846154 36.76153846] ; [26.76153846 44.23846154],0
a6,1,0.475065,0.510169,[39 20] ; [42 28],[37.04651163 21.95348837] ; [43.95348837 26.04651163],0
p2,1,0.499435,0.456137,[38 21] ; [49 21],[39.79069767 19.20930233] ; [47.20930233 22.79069767],0
a4,1,0.529517,0.395318,[25 34] ; [34 37],[26.77692308 32.22307692] ; [32.22307692 38.77692308],0
a1,1,0.529931,0.394523,[ 4 55] ; [ 7 64],[ 4.99230769 54.00769231] ; [ 6.00769231 64.99230769],0
p9,1,0.537417,0.380347,[43 14] ; [56 14],[44.43307087 12.56692913] ; [54.56692913 15.43307087],0
d5,1,0.54585,0.364804,[43 16] ; [55 16],[44.47692308 14.52307692] ; [53.52307692 17.47692308],0
a2,1,0.547365,0.362059,[10 49] ; [15 56],[11.34615385 47.65384615] ; [13.65384615 57.34615385],0
s5,1,0.602549,0.271169,[12 45] ; [17 51],[13.224 43.776] ; [15.776 52.224],0
n5,1,0.617253,0.249747,[40 19] ; [51 20],[41.3 17.7] ; [49.7 21.3],0
n4,1,0.658481,0.195374,[46 13] ; [53 18],[44.93076923 14.06923077] ; [54.06923077 16.93076923],0
a7,1,0.673482,0.177556,[42 16] ; [49 22],[40.91472868 17.08527132] ; [50.08527132 20.91472868],0
d3,1,0.679048,0.171199,[37 22] ; [47 24],[38.12307692 20.87692308] ; [45.87692308 25.12307692],0
n3,1,0.694188,0.154589,[11  5] ; [12  4],[11.5  4.5] ; [11.5  4.5],0
r1,1,0.700406,0.148049,[44 15] ; [55 16],[44.93076923 14.06923077] ; [54.06923077 16.93076923],0
p10,1,0.733943,0.115522,[44 15] ; [54 16],[44.82170543 14.17829457] ; [53.17829457 16.82170543],0
r3,1,0.742635,0.107824,[54  4] ; [65  6],[53.50387597  4.49612403] ; [65.49612403  5.50387597],0
u3,1,0.768651,0.086518,[8 6] ; [12 11],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
s8,1,0.783389,0.075573,[26 33] ; [33 38],[26.77692308 32.22307692] ; [32.22307692 38.77692308],0
b4,1,0.806158,0.060214,[37 22] ; [46 25],[37.66923077 21.33076923] ; [45.33076923 25.66923077],0
p12,1,0.830011,0.04609,[ 3 56] ; [ 3 67],[ 2.74418605 56.25581395] ; [ 3.25581395 66.74418605],0
p8,1,0.836222,0.042736,[20 37] ; [23 46],[19.45238095 37.54761905] ; [23.54761905 45.45238095],0
u1,1,0.881779,0.022116,[ 8 51] ; [ 9 62],[ 7.71538462 51.28461538] ; [ 9.28461538 61.71538462],0
d4,1,0.92416,0.009062,[47 11] ; [58 13],[47.20930233 10.79069767] ; [57.79069767 13.20930233],0
v4,1,0.953174,0.003448,[55  4] ; [66  5],[54.91538462  4.08461538] ; [66.08461538  4.91538462],0
n6,1,0.961001,0.002391,[48 11] ; [58 13],[48.10769231 10.89230769] ; [57.89230769 13.10769231],0
n1,1,1.0,0.0,[ 4 11] ; [ 4 11],[ 4. 11.] ; [ 4. 11.],0
