Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,60.97583,[77 16] ; [ 5 37],[56.48888889 36.51111111] ; [25.51111111 16.48888889],1
p2,1,6e-06,20.640137,[60 33] ; [ 9 32],[47.8880597 45.1119403] ; [21.1119403 19.8880597],1
v4,1,1.8e-05,18.382096,[81 11] ; [23 19],[71.40298507 20.59701493] ; [32.59701493  9.40298507],1
a1,1,2.9e-05,17.475346,[ 1 92] ; [ 9 33],[ 6.88888889 86.11111111] ; [ 3.11111111 38.88888889],1
b5,1,3.6e-05,17.093088,[68 25] ; [15 27],[57.17777778 35.82222222] ; [25.82222222 16.17777778],1
r2,1,0.000448,12.321618,[83  9] ; [26 14],[75.96969697 16.03030303] ; [33.03030303  6.96969697],1
r1,1,0.000883,11.057262,[65 27] ; [17 25],[56.29850746 35.70149254] ; [25.70149254 16.29850746],1
n6,1,0.001209,10.476194,[63 30] ; [16 26],[54.42222222 38.57777778] ; [24.57777778 17.42222222],0
p7,1,0.001274,10.379487,[46 46] ; [ 8 32],[37.63636364 54.36363636] ; [16.36363636 23.63636364],0
v2,1,0.00222,9.357813,[38 53] ; [ 6 35],[30.33333333 60.66666667] ; [13.66666667 27.33333333],0
s6,1,0.003622,8.464473,[39 53] ; [ 7 35],[31.58208955 60.41791045] ; [14.41791045 27.58208955],0
p4,1,0.00619,7.494229,[35 56] ; [ 6 35],[28.26515152 62.73484848] ; [12.73484848 28.26515152],0
p3,1,0.009534,6.719875,[34 58] ; [ 6 35],[27.66917293 64.33082707] ; [12.33082707 28.66917293],0
a7,1,0.013102,6.155327,[65 28] ; [20 22],[58.55555556 34.44444444] ; [26.44444444 15.55555556],0
d5,1,0.016113,5.7905,[72 21] ; [24 18],[66.13333333 26.86666667] ; [29.86666667 12.13333333],0
b1,1,0.020606,5.359801,[42 51] ; [28 14],[48.22222222 44.77777778] ; [21.77777778 20.22222222],0
d4,1,0.026212,4.941992,[70 22] ; [24 18],[64.53731343 27.46268657] ; [29.46268657 12.53731343],0
p6,1,0.027991,4.82864,[21 69] ; [ 3 38],[16.48854962 73.51145038] ; [ 7.51145038 33.48854962],0
n5,1,0.036649,4.366648,[51 42] ; [31 11],[56.48888889 36.51111111] ; [25.51111111 16.48888889],0
d3,1,0.038827,4.26842,[57 35] ; [18 24],[51.49253731 40.50746269] ; [23.50746269 18.49253731],0
a6,1,0.046001,3.981567,[57 36] ; [18 24],[51.66666667 41.33333333] ; [23.33333333 18.66666667],0
a2,1,0.053892,3.716035,[22 71] ; [ 4 38],[17.91111111 75.08888889] ; [ 8.08888889 33.91111111],0
p8,1,0.059926,3.539425,[30 61] ; [ 7 34],[25.50757576 65.49242424] ; [11.49242424 29.50757576],0
b3,1,0.06333,3.447948,[12 35] ; [13 15],[15.66666667 31.33333333] ; [ 9.33333333 18.66666667],0
b2,1,0.06333,3.447948,[12 35] ; [13 15],[15.66666667 31.33333333] ; [ 9.33333333 18.66666667],0
v1,1,0.074067,3.190512,[34 58] ; [ 9 33],[29.52238806 62.47761194] ; [13.47761194 28.52238806],0
u1,1,0.074164,3.188364,[11 82] ; [ 1 41],[ 8.26666667 84.73333333] ; [ 3.73333333 38.26666667],0
s3,1,0.080199,3.06087,[27 65] ; [ 6 34],[23. 69.] ; [10. 30.],0
p9,1,0.080525,3.054274,[45 45] ; [13 26],[40.46511628 49.53488372] ; [17.53488372 21.46511628],0
a5,1,0.084104,2.983756,[59 34] ; [20 22],[54.42222222 38.57777778] ; [24.57777778 17.42222222],0
d1,1,0.109597,2.560024,[47 46] ; [15 27],[42.71111111 50.28888889] ; [19.28888889 22.71111111],0
u3,1,0.116563,2.462908,[17 20] ; [ 4 13],[14.38888889 22.61111111] ; [ 6.61111111 10.38888889],0
s5,1,0.170635,1.877355,[17 73] ; [ 4 38],[14.31818182 75.68181818] ; [ 6.68181818 35.31818182],0
s7,1,0.204887,1.607192,[20 69] ; [ 5 34],[17.3828125 71.6171875] ; [ 7.6171875 31.3828125],0
n3,1,0.206102,1.598595,[20 13] ; [10 13],[17.67857143 15.32142857] ; [12.32142857 10.67857143],0
p1,1,0.234114,1.41569,[ 4 89] ; [ 4 38],[ 5.51111111 87.48888889] ; [ 2.48888889 39.51111111],0
a8,1,0.253089,1.306172,[10 76] ; [ 2 37],[ 8.256 77.744] ; [ 3.744 35.256],0
p5,1,0.343338,0.897928,[ 6 86] ; [ 1 39],[ 4.87878788 87.12121212] ; [ 2.12121212 37.87878788],0
s8,1,0.369941,0.803864,[14 78] ; [ 4 38],[12.35820896 79.64179104] ; [ 5.64179104 36.35820896],0
d2,1,0.373989,0.790368,[44 49] ; [16 25],[41.64179104 51.35820896] ; [18.35820896 22.64179104],0
p10,1,0.381009,0.767445,[38 52] ; [14 27],[35.72519084 54.27480916] ; [16.27480916 24.72519084],0
n2,1,0.447246,0.577622,[21 14] ; [12 12],[19.57627119 15.42372881] ; [13.42372881 10.57627119],0
s1,1,0.490573,0.475269,[ 4 89] ; [ 3 39],[ 4.82222222 88.17777778] ; [ 2.17777778 39.82222222],0
p12,1,0.566602,0.3284,[ 1 91] ; [ 1 41],[ 1.37313433 90.62686567] ; [ 0.62686567 41.37313433],0
n4,1,0.57083,0.321295,[55 38] ; [27 15],[56.48888889 36.51111111] ; [25.51111111 16.48888889],0
n1,1,0.626851,0.236355,[13 20] ; [11 13],[13.89473684 19.10526316] ; [10.10526316 13.89473684],0
u2,1,0.630728,0.231074,[13 23] ; [ 5 12],[12.22641509 23.77358491] ; [ 5.77358491 11.22641509],0
v3,1,0.648221,0.20815,[24 63] ; [10 32],[22.93023256 64.06976744] ; [11.06976744 30.93023256],0
a4,1,0.716621,0.131754,[38 55] ; [15 25],[37.06015038 55.93984962] ; [15.93984962 24.06015038],0
s4,1,0.826838,0.047855,[12 81] ; [ 6 36],[12.4 80.6] ; [ 5.6 36.4],0
b4,1,0.914176,0.011615,[50 43] ; [23 19],[50.28888889 42.71111111] ; [22.71111111 19.28888889],0
