Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.004245,8.175776,[12  5] ; [31 61],[ 6.70642202 10.29357798] ; [36.29357798 55.70642202],0
d2,1,0.021722,5.267937,[13  4] ; [42 49],[8.65740741 8.34259259] ; [46.34259259 44.65740741],0
a3,1,0.048776,3.88306,[13  4] ; [46 45],[9.28703704 7.71296296] ; [49.71296296 41.28703704],0
n1,1,0.050629,3.820519,[5 2] ; [13 27],[2.68085106 4.31914894] ; [15.31914894 24.68085106],0
a8,1,0.068326,3.322774,[ 3 13] ; [ 5 84],[ 1.21904762 14.78095238] ; [ 6.78095238 82.21904762],0
s4,1,0.069068,3.305041,[ 6 10] ; [16 75],[ 3.28971963 12.71028037] ; [18.71028037 72.28971963],0
s7,1,0.07252,3.225031,[7 9] ; [19 66],[ 4.11881188 11.88118812] ; [21.88118812 63.11881188],0
a4,1,0.123422,2.373348,[9 8] ; [30 60],[ 6.19626168 10.80373832] ; [32.80373832 57.19626168],0
p5,1,0.127203,2.326317,[ 2 15] ; [ 3 88],[ 0.78703704 16.21296296] ; [ 4.21296296 86.78703704],0
a6,1,0.138217,2.197695,[12  5] ; [47 45],[9.20183486 7.79816514] ; [49.79816514 42.20183486],0
b4,1,0.138217,2.197695,[12  5] ; [47 45],[9.20183486 7.79816514] ; [49.79816514 42.20183486],0
p3,1,0.179054,1.80546,[ 7 10] ; [23 68],[ 4.72222222 12.27777778] ; [25.27777778 65.72222222],0
u1,1,0.260303,1.267147,[ 3 14] ; [ 8 84],[ 1.71559633 15.28440367] ; [ 9.28440367 82.71559633],0
s1,1,0.26779,1.228033,[ 3 14] ; [ 8 83],[ 1.73148148 15.26851852] ; [ 9.26851852 81.73148148],0
b3,1,0.284085,1.147446,[ 2 11] ; [18 42],[3.56164384 9.43835616] ; [16.43835616 43.56164384],0
b2,1,0.284085,1.147446,[ 2 11] ; [18 42],[3.56164384 9.43835616] ; [16.43835616 43.56164384],0
p10,1,0.303025,1.060836,[ 5 11] ; [18 73],[ 3.43925234 12.56074766] ; [19.56074766 71.43925234],0
s8,1,0.326454,0.962914,[ 4 13] ; [13 79],[ 2.65137615 14.34862385] ; [14.34862385 77.65137615],0
n6,1,0.339794,0.91121,[12  5] ; [53 38],[10.23148148  6.76851852] ; [54.76851852 36.23148148],0
s3,1,0.393278,0.728783,[9 8] ; [38 53],[7.39814815 9.60185185] ; [39.60185185 51.39814815],0
a7,1,0.420822,0.648017,[8 9] ; [53 39],[9.51376147 7.48623853] ; [51.48623853 40.51376147],0
p4,1,0.436992,0.604168,[7 9] ; [31 61],[ 5.62962963 10.37037037] ; [32.37037037 59.62962963],0
v4,1,0.445619,0.581771,[14  3] ; [67 24],[12.75  4.25] ; [68.25 22.75],0
a1,1,0.446324,0.579971,[ 2 15] ; [ 6 86],[ 1.24770642 15.75229358] ; [ 6.75229358 85.24770642],0
d4,1,0.447277,0.577543,[12  5] ; [56 36],[10.60550459  6.39449541] ; [57.39449541 34.60550459],0
p11,1,0.471167,0.519237,[9 8] ; [40 52],[7.64220183 9.35779817] ; [41.35779817 50.64220183],0
n3,1,0.477288,0.505054,[5 3] ; [18 19],[4.08888889 3.91111111] ; [18.91111111 18.08888889],0
p6,1,0.483702,0.490504,[ 4 13] ; [15 76],[ 2.99074074 14.00925926] ; [16.00925926 74.99074074],0
v1,1,0.489377,0.477896,[ 5 12] ; [20 72],[ 3.89908257 13.10091743] ; [21.10091743 70.89908257],0
s2,1,0.512871,0.428205,[ 6 11] ; [25 66],[ 4.87962963 12.12037037] ; [26.12037037 64.87962963],0
r4,1,0.551038,0.35546,[12  5] ; [58 34],[10.91743119  6.08256881] ; [59.08256881 32.91743119],0
n5,1,0.585041,0.298156,[11  6] ; [53 39],[9.98165138 7.01834862] ; [54.01834862 37.98165138],0
d5,1,0.607722,0.263506,[12  5] ; [59 33],[11.0733945  5.9266055] ; [59.9266055 32.0733945],0
n4,1,0.613377,0.255286,[10  7] ; [60 32],[10.91743119  6.08256881] ; [59.08256881 32.91743119],0
p7,1,0.618548,0.247914,[ 6 11] ; [38 53],[ 6.92592593 10.07407407] ; [37.07407407 53.92592593],0
v3,1,0.658619,0.195205,[ 4 13] ; [17 73],[ 3.3364486 13.6635514] ; [17.6635514 72.3364486],0
b1,1,0.672393,0.178816,[10  7] ; [49 43],[9.20183486 7.79816514] ; [49.79816514 42.20183486],0
a5,1,0.672393,0.178816,[10  7] ; [49 43],[9.20183486 7.79816514] ; [49.79816514 42.20183486],0
