Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.022578,5.200671,[ 8 13] ; [28 13],[12.19354839  8.80645161] ; [23.80645161 17.19354839],0
n6,1,0.041287,4.164186,[33 11] ; [47 36],[27.71653543 16.28346457] ; [52.28346457 30.71653543],0
a7,1,0.076291,3.142207,[23 21] ; [56 26],[27.58730159 16.41269841] ; [51.41269841 30.58730159],0
s5,1,0.124467,2.360192,[ 8 36] ; [25 56],[11.616 32.384] ; [21.384 59.616],0
a6,1,0.125311,2.349647,[28 16] ; [41 42],[23.90551181 20.09448819] ; [45.09448819 37.90551181],0
s4,1,0.12933,2.300528,[15 29] ; [18 65],[11.43307087 32.56692913] ; [21.56692913 61.43307087],0
v3,1,0.157408,1.998951,[ 2 42] ; [10 71],[ 4.224 39.776] ; [ 7.776 73.224],0
d1,1,0.161552,1.95964,[12 32] ; [33 50],[15.59055118 28.40944882] ; [29.40944882 53.59055118],0
p11,1,0.203557,1.616669,[29 15] ; [45 38],[25.63779528 18.36220472] ; [48.36220472 34.63779528],0
p8,1,0.239378,1.384252,[14 29] ; [36 47],[17.06349206 25.93650794] ; [32.93650794 50.06349206],0
s1,1,0.244182,1.356285,[ 1 43] ; [ 6 77],[ 2.42519685 41.57480315] ; [ 4.57480315 78.42519685],0
p9,1,0.246531,1.342854,[32 11] ; [52 29],[29.12903226 13.87096774] ; [54.87096774 26.12903226],0
d3,1,0.291611,1.112171,[22 21] ; [50 32],[24.768 18.232] ; [47.232 34.768],0
p3,1,0.309897,1.031115,[11 33] ; [28 55],[13.51181102 30.48818898] ; [25.48818898 57.51181102],0
a1,1,0.34304,0.899037,[ 1 43] ; [ 5 78],[ 2.07874016 41.92125984] ; [ 3.92125984 79.07874016],0
d4,1,0.370709,0.801287,[29 15] ; [61 22],[31.18110236 12.81889764] ; [58.81889764 24.18110236],0
p7,1,0.371578,0.79838,[19 23] ; [43 37],[21.3442623 20.6557377] ; [40.6557377 39.3442623],0
b3,1,0.396614,0.718568,[ 7 15] ; [10 35],[ 5.58208955 16.41791045] ; [11.41791045 33.58208955],0
b2,1,0.396614,0.718568,[ 7 15] ; [10 35],[ 5.58208955 16.41791045] ; [11.41791045 33.58208955],0
a5,1,0.398481,0.712906,[22 22] ; [35 48],[19.7480315 24.2519685] ; [37.2519685 45.7480315],0
u2,1,0.413626,0.668355,[10 11] ; [24 17],[11.51612903  9.48387097] ; [22.48387097 18.51612903],0
u1,1,0.482561,0.49307,[ 1 43] ; [ 4 79],[ 1.73228346 42.26771654] ; [ 3.26771654 79.73228346],0
r3,1,0.497139,0.461038,[35  9] ; [70 13],[36.37795276  7.62204724] ; [68.62204724 14.37795276],0
s8,1,0.530376,0.393671,[13 31] ; [20 62],[11.52380952 32.47619048] ; [21.47619048 60.52380952],0
v1,1,0.582853,0.301645,[14 30] ; [22 59],[12.672 31.328] ; [23.328 57.672],0
n3,1,0.623729,0.24066,[12  8] ; [22 11],[12.83018868  7.16981132] ; [21.16981132 11.83018868],0
r1,1,0.650589,0.205158,[22 22] ; [45 38],[23.21259843 20.78740157] ; [43.78740157 39.21259843],0
n1,1,0.677828,0.172581,[ 5 15] ; [10 23],[ 5.66037736 14.33962264] ; [ 9.33962264 23.66037736],0
s2,1,0.686254,0.16317,[15 28] ; [32 51],[16.03968254 26.96031746] ; [30.96031746 52.03968254],0
b5,1,0.694959,0.153769,[26 18] ; [52 31],[27.02362205 16.97637795] ; [50.97637795 32.02362205],0
p6,1,0.700602,0.147846,[ 9 35] ; [19 62],[ 9.856 34.144] ; [18.144 62.856],0
v4,1,0.702864,0.14551,[37  7] ; [71 11],[37.71428571  6.28571429] ; [70.28571429 11.71428571],0
p4,1,0.708378,0.139903,[16 28] ; [33 50],[16.97637795 27.02362205] ; [32.02362205 50.97637795],0
a2,1,0.710842,0.137437,[ 4 40] ; [ 6 77],[ 3.46456693 40.53543307] ; [ 6.53543307 76.46456693],0
a8,1,0.712915,0.135383,[ 3 41] ; [ 4 73],[ 2.54545455 41.45454545] ; [ 4.45454545 72.54545455],0
d2,1,0.716195,0.132167,[15 29] ; [31 52],[15.93700787 28.06299213] ; [30.06299213 52.93700787],0
b1,1,0.722135,0.126456,[20 24] ; [35 48],[19.05511811 24.94488189] ; [35.94488189 47.05511811],0
p10,1,0.730083,0.119035,[28 16] ; [49 32],[27.104 16.896] ; [49.896 31.104],0
d5,1,0.733297,0.116106,[26 18] ; [51 31],[26.88888889 17.11111111] ; [50.11111111 31.88888889],0
a4,1,0.742673,0.107791,[11 33] ; [23 60],[11.77952756 32.22047244] ; [22.22047244 60.77952756],0
a3,1,0.8078,0.059178,[23 21] ; [41 41],[22.34920635 21.65079365] ; [41.65079365 40.34920635],0
b4,1,0.834423,0.043695,[23 21] ; [45 38],[23.55905512 20.44094488] ; [44.44094488 38.55905512],0
r4,1,0.843547,0.03895,[30 14] ; [58 25],[30.48818898 13.51181102] ; [57.51181102 25.48818898],0
