Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.1e-05,19.285714,[23 12] ; [ 5 30],[14. 21.] ; [14. 21.],1
s5,1,1.2e-05,19.090177,[16 16] ; [ 1 33],[ 8.24242424 23.75757576] ; [ 8.75757576 25.24242424],1
s7,1,0.000195,13.878114,[18 16] ; [ 3 28],[10.98461538 23.01538462] ; [10.01538462 20.98461538],1
p4,1,0.000697,11.496599,[17 18] ; [ 4 31],[10.5 24.5] ; [10.5 24.5],1
p6,1,0.001801,9.741939,[11 24] ; [ 1 33],[ 6.08695652 28.91304348] ; [ 5.91304348 28.08695652],0
s3,1,0.003879,8.339674,[19 16] ; [ 7 27],[13.1884058 21.8115942] ; [12.8115942 21.1884058],0
s4,1,0.006244,7.478632,[14 21] ; [ 4 31],[ 9. 26.] ; [ 9. 26.],0
r4,1,0.008151,7.0,[30  5] ; [20 15],[25. 10.] ; [25. 10.],0
v1,1,0.01238,6.25568,[16 19] ; [ 6 28],[11.15942029 23.84057971] ; [10.84057971 23.15942029],0
p3,1,0.014451,5.982239,[13 22] ; [ 4 30],[ 8.62318841 26.37681159] ; [ 8.37681159 25.62318841],0
v2,1,0.020346,5.381995,[21 12] ; [12 22],[16.25373134 16.74626866] ; [16.74626866 17.25373134],0
n6,1,0.031444,4.628571,[22 13] ; [13 22],[17.5 17.5] ; [17.5 17.5],0
s1,1,0.046366,3.968254,[ 1 34] ; [ 6 29],[ 3.5 31.5] ; [ 3.5 31.5],0
v4,1,0.051042,3.806881,[30  5] ; [23 12],[26.5  8.5] ; [26.5  8.5],0
a5,1,0.05493,3.684211,[23 12] ; [15 20],[19. 16.] ; [19. 16.],0
p9,1,0.109163,2.566291,[19 15] ; [12 21],[15.73134328 18.26865672] ; [15.26865672 17.73134328],0
a2,1,0.13292,2.258065,[ 6 29] ; [ 2 33],[ 4. 31.] ; [ 4. 31.],0
n2,1,0.136519,2.216761,[9 3] ; [7 8],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
r2,1,0.141301,2.163738,[32  3] ; [26  7],[29.85294118  5.14705882] ; [28.14705882  4.85294118],0
v3,1,0.148898,2.083507,[12 20] ; [ 7 26],[ 9.35384615 22.64615385] ; [ 9.64615385 23.35384615],0
r3,1,0.171857,1.866667,[32  3] ; [28  7],[30.  5.] ; [30.  5.],0
p11,1,0.333998,0.933333,[17 18] ; [13 22],[15. 20.] ; [15. 20.],0
d3,1,0.333998,0.933333,[22 13] ; [18 17],[20. 15.] ; [20. 15.],0
p10,1,0.38655,0.749767,[17 18] ; [13 21],[15.2173913 19.7826087] ; [14.7826087 19.2173913],0
u2,1,0.391153,0.735354,[7 7] ; [8 4],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
u1,1,0.393153,0.729167,[ 4 31] ; [ 2 33],[ 3. 32.] ; [ 3. 32.],0
n1,1,0.411314,0.675,[5 7] ; [ 4 11],[4. 8.] ; [ 5. 10.],0
u3,1,0.462325,0.54026,[9 5] ; [6 6],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
a7,1,0.470376,0.521092,[18 17] ; [21 14],[19.5 15.5] ; [19.5 15.5],0
a1,1,0.5551,0.348259,[ 2 33] ; [ 1 34],[ 1.5 33.5] ; [ 1.5 33.5],0
a8,1,0.5551,0.348259,[ 2 33] ; [ 1 34],[ 1.5 33.5] ; [ 1.5 33.5],0
d5,1,0.584419,0.299145,[27  8] ; [25 10],[26.  9.] ; [26.  9.],0
p7,1,0.584419,0.299145,[10 25] ; [ 8 27],[ 9. 26.] ; [ 9. 26.],0
a4,1,0.620793,0.244755,[14 21] ; [12 23],[13. 22.] ; [13. 22.],0
a3,1,0.620793,0.244755,[21 14] ; [23 12],[22. 13.] ; [22. 13.],0
r1,1,0.620793,0.244755,[23 12] ; [21 14],[22. 13.] ; [22. 13.],0
b4,1,0.629063,0.233333,[21 14] ; [19 16],[20. 15.] ; [20. 15.],0
d2,1,0.629063,0.233333,[16 19] ; [14 21],[15. 20.] ; [15. 20.],0
a6,1,0.631329,0.230263,[17 18] ; [15 20],[16. 19.] ; [16. 19.],0
d4,1,0.742596,0.107858,[30  5] ; [29  6],[29.5  5.5] ; [29.5  5.5],0
b1,1,0.808286,0.058873,[14 21] ; [15 20],[14.5 20.5] ; [14.5 20.5],0
d1,1,0.81107,0.057143,[18 17] ; [17 18],[17.5 17.5] ; [17.5 17.5],0
n3,1,0.821348,0.050991,[7 5] ; [7 6],[6.72 5.28] ; [7.28 5.72],0
b3,1,0.904587,0.014368,[ 7 13] ; [ 7 12],[ 7.17948718 12.82051282] ; [ 6.82051282 12.17948718],0
b2,1,0.904587,0.014368,[ 7 13] ; [ 7 12],[ 7.17948718 12.82051282] ; [ 6.82051282 12.17948718],0
b5,1,1.0,0.0,[21 14] ; [21 14],[21. 14.] ; [21. 14.],0
n4,1,1.0,0.0,[12 23] ; [12 23],[12. 23.] ; [12. 23.],0
p8,1,1.0,0.0,[ 8 27] ; [ 8 27],[ 8. 27.] ; [ 8. 27.],0
p1,1,1.0,0.0,[ 2 33] ; [ 2 33],[ 2. 33.] ; [ 2. 33.],0
