Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,53.53791,[115  30] ; [19 50],[90.79439252 54.20560748] ; [43.20560748 25.79439252],1
s6,1,6.8e-05,15.858979,[98 45] ; [27 41],[84.71563981 58.28436019] ; [40.28436019 27.71563981],1
p10,1,0.000621,11.711781,[116  28] ; [39 28],[105.78199052  38.21800948] ; [49.21800948 17.78199052],1
p4,1,0.000792,11.259517,[86 59] ; [24 45],[74.53271028 70.46728972] ; [35.46728972 33.53271028],1
r4,1,0.001426,10.171347,[124  21] ; [46 23],[115.18691589  29.81308411] ; [54.81308411 14.18691589],0
n6,1,0.001498,10.081395,[120  24] ; [44 25],[110.87323944  33.12676056] ; [53.12676056 15.87323944],0
p9,1,0.002244,9.338508,[121  22] ; [45 23],[112.50236967  30.49763033] ; [53.49763033 14.50236967],0
v1,1,0.007386,7.176598,[72 70] ; [20 45],[63.11111111 78.88888889] ; [28.88888889 36.11111111],0
p5,1,0.007824,7.073406,[ 22 123] ; [ 2 67],[ 16.26168224 128.73831776] ; [ 7.73831776 61.26168224],0
p6,1,0.01836,5.561497,[57 86] ; [15 50],[49.5 93.5] ; [22.5 42.5],0
s7,1,0.026335,4.933907,[61 76] ; [19 48],[53.7254902 83.2745098] ; [26.2745098 40.7254902],0
s2,1,0.028023,4.826664,[71 73] ; [23 46],[63.54929577 80.45070423] ; [30.45070423 38.54929577],0
r1,1,0.03152,4.62441,[99 45] ; [37 32],[91.94366197 52.05633803] ; [44.05633803 24.94366197],0
p3,1,0.035768,4.408108,[66 79] ; [21 48],[58.94859813 86.05140187] ; [28.05140187 40.94859813],0
v3,1,0.038594,4.27867,[51 91] ; [14 51],[44.58937198 97.41062802] ; [20.41062802 44.58937198],0
p8,1,0.054851,3.686598,[77 66] ; [27 41],[70.48341232 72.51658768] ; [33.51658768 34.48341232],0
s3,1,0.067329,3.346956,[87 57] ; [32 36],[80.83018868 63.16981132] ; [38.16981132 29.83018868],0
