Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,25.788271,[ 92 162] ; [108  69],[117.86542923 136.13457077] ; [82.13457077 94.86542923],1
r1,1,0.001318,10.316585,[178  81] ; [149  32],[192.48409091  66.51590909] ; [134.51590909  46.48409091],0
d5,1,0.001761,9.783858,[188  71] ; [155  27],[201.44444444  57.55555556] ; [141.55555556  40.44444444],0
a5,1,0.003843,8.356529,[173  87] ; [144  38],[186.47058824  73.52941176] ; [130.52941176  51.47058824],0
u1,1,0.005017,7.873443,[ 29 231] ; [ 38 144],[ 39.41176471 220.58823529] ; [ 27.58823529 154.41176471],0
d1,1,0.032293,4.582872,[126 134] ; [107  75],[137.05882353 122.94117647] ; [95.94117647 86.05882353],0
d2,1,0.035775,4.407805,[102 157] ; [90 92],[112.76190476 146.23809524] ; [ 79.23809524 102.76190476],0
r3,1,0.052538,3.758567,[238  20] ; [175   6],[242.71981777  15.28018223] ; [170.28018223  10.71981777],0
a3,1,0.069972,3.283672,[169  89] ; [134  48],[177.66818182  80.33181818] ; [125.33181818  56.66818182],0
p1,1,0.072319,3.229589,[ 21 239] ; [  7 175],[ 16.47058824 243.52941176] ; [ 11.52941176 170.47058824],0
n3,1,0.082751,3.010033,[48 21] ; [33  6],[51.75 17.25] ; [29.25  9.75],0
n2,1,0.083668,2.992176,[51 19] ; [34  5],[54.58715596 15.41284404] ; [30.41284404  8.58715596],0
d3,1,0.084525,2.97567,[164  94] ; [130  52],[172.39090909  85.60909091] ; [121.60909091  60.39090909],0
a7,1,0.086738,2.933888,[177  82] ; [138  44],[185.  74.] ; [130.  52.],0
n4,1,0.099129,2.719501,[182  77] ; [140  41],[189.54090909  69.45909091] ; [132.45909091  48.54090909],0
a6,1,0.112991,2.511875,[164  96] ; [128  54],[171.76470588  88.23529412] ; [120.23529412  61.76470588],0
d4,1,0.117498,2.450354,[203  57] ; [153  29],[209.41176471  50.58823529] ; [146.58823529  35.41176471],0
p3,1,0.124232,2.363141,[115 145] ; [94 88],[122.94117647 137.05882353] ; [86.05882353 95.94117647],0
s7,1,0.196168,1.670673,[107 143] ; [86 89],[113.52941176 136.47058824] ; [79.47058824 95.52941176],0
r2,1,0.198573,1.652836,[233  23] ; [167  10],[236.48960739  19.51039261] ; [163.51039261  13.48960739],0
s6,1,0.223924,1.479047,[166  88] ; [129  53],[171.85779817  82.14220183] ; [123.14220183  58.85779817],0
s1,1,0.250506,1.32048,[  9 249] ; [  3 177],[  7.06849315 250.93150685] ; [  4.93150685 175.06849315],0
p6,1,0.275162,1.190832,[ 90 168] ; [ 72 108],[ 95.42465753 162.57534247] ; [ 66.57534247 113.42465753],0
p7,1,0.316862,1.001855,[149 103] ; [115  65],[154.  98.] ; [110.  70.],0
a2,1,0.326968,0.96087,[ 50 210] ; [ 42 140],[ 54.11764706 205.88235294] ; [ 37.88235294 144.11764706],0
u3,1,0.33396,0.93348,[48 41] ; [30 18],[50.67153285 38.32846715] ; [27.32846715 20.67153285],0
r4,1,0.349219,0.876293,[222  38] ; [161  21],[225.29411765  34.70588235] ; [157.70588235  24.29411765],0
p2,1,0.406972,0.68763,[225  34] ; [153  29],[222.  37.] ; [156.  26.],0
p10,1,0.464164,0.535835,[225  33] ; [162  19],[227.43963554  30.56036446] ; [159.56036446  21.43963554],0
u2,1,0.468273,0.526048,[48 42] ; [22 25],[45.98540146 44.01459854] ; [24.01459854 22.98540146],0
p8,1,0.482919,0.492263,[134 125] ; [87 93],[130.38496583 128.61503417] ; [90.61503417 89.38496583],0
s2,1,0.490602,0.475206,[123 136] ; [92 89],[126.55681818 132.44318182] ; [88.44318182 92.55681818],0
p11,1,0.492508,0.471041,[206  54] ; [149  33],[208.82352941  51.17647059] ; [146.17647059  35.82352941],0
s4,1,0.502819,0.448981,[ 55 202] ; [ 34 147],[ 52.22146119 204.77853881] ; [ 36.77853881 144.22146119],0
a4,1,0.535461,0.384017,[109 150] ; [ 82 100],[112.17460317 146.82539683] ; [ 78.82539683 103.17460317],0
