Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000532,12.0,[ 2 30] ; [14 18],[ 8. 24.] ; [ 8. 24.],1
v1,1,0.002497,9.142857,[ 8 24] ; [20 12],[14. 18.] ; [14. 18.],0
u1,1,0.006983,7.277247,[ 1 31] ; [ 9 24],[ 4.92307692 27.07692308] ; [ 5.07692308 27.92307692],0
a6,1,0.00769,7.104183,[15 17] ; [26  7],[20.18461538 11.81538462] ; [20.81538462 12.18461538],0
d5,1,0.010695,6.515291,[20 11] ; [30  3],[24.21875  6.78125] ; [25.78125  7.21875],0
a2,1,0.025556,4.985795,[ 4 28] ; [12 21],[ 7.87692308 24.12307692] ; [ 8.12307692 24.87692308],0
b4,1,0.061947,3.484465,[15 17] ; [23 10],[18.70769231 13.29230769] ; [19.29230769 13.70769231],0
b5,1,0.096578,2.761167,[18 14] ; [25  8],[21.16923077 10.83076923] ; [21.83076923 11.16923077],0
d3,1,0.106412,2.606712,[21 10] ; [28  5],[23.734375  7.265625] ; [25.265625  7.734375],0
d1,1,0.107183,2.595268,[15 17] ; [22 11],[18.21538462 13.78461538] ; [18.78461538 14.21538462],0
r1,1,0.148898,2.083507,[20 12] ; [26  7],[22.64615385  9.35384615] ; [23.35384615  9.64615385],0
p4,1,0.15795,1.993745,[19 13] ; [25  8],[21.66153846 10.33846154] ; [22.33846154 10.66153846],0
p1,1,0.168493,1.896296,[ 3 29] ; [ 7 25],[ 5. 27.] ; [ 5. 27.],0
n4,1,0.171746,1.867633,[13 19] ; [19 14],[15.75384615 16.24615385] ; [16.24615385 16.75384615],0
p12,1,0.173583,1.85172,[ 1 31] ; [ 4 29],[ 2.46153846 29.53846154] ; [ 2.53846154 30.46153846],0
a5,1,0.246948,1.340488,[20 12] ; [25  8],[22.15384615  9.84615385] ; [22.84615385 10.15384615],0
a3,1,0.261398,1.261337,[18 14] ; [23 10],[20.18461538 11.81538462] ; [20.81538462 12.18461538],0
d2,1,0.264993,1.242485,[14 18] ; [19 14],[16.24615385 15.75384615] ; [16.75384615 16.24615385],0
p3,1,0.265217,1.241319,[17 15] ; [22 11],[19.2 12.8] ; [19.8 13.2],0
n6,1,0.266105,1.236715,[21 11] ; [25  7],[23.  9.] ; [23.  9.],0
r2,1,0.272256,1.205344,[28  3] ; [32  1],[29.0625  1.9375] ; [30.9375  2.0625],0
b2,1,0.274986,1.191703,[ 9 11] ; [ 6 15],[ 7.31707317 12.68292683] ; [ 7.68292683 13.31707317],0
b3,1,0.274986,1.191703,[ 9 11] ; [ 6 15],[ 7.31707317 12.68292683] ; [ 7.68292683 13.31707317],0
s8,1,0.292571,1.107751,[11 20] ; [16 17],[13.078125 17.921875] ; [13.921875 19.078125],0
s1,1,0.317009,1.001246,[ 1 31] ; [ 3 30],[ 1.96923077 30.03076923] ; [ 2.03076923 30.96923077],0
a7,1,0.317358,0.999803,[21 10] ; [26  7],[22.765625  8.234375] ; [24.234375  8.765625],0
p9,1,0.357243,0.847561,[22 10] ; [26  7],[23.63076923  8.36923077] ; [24.36923077  8.63076923],0
p10,1,0.369212,0.806317,[21 11] ; [25  8],[22.64615385  9.35384615] ; [23.35384615  9.64615385],0
r4,1,0.369896,0.804015,[28  4] ; [31  2],[29.04615385  2.95384615] ; [29.95384615  3.04615385],0
p8,1,0.37859,0.775275,[19 13] ; [16 17],[17.23076923 14.76923077] ; [17.76923077 15.23076923],0
s2,1,0.384105,0.757522,[14 18] ; [18 15],[15.75384615 16.24615385] ; [16.24615385 16.75384615],0
p11,1,0.460209,0.545385,[24  8] ; [22 11],[22.64615385  9.35384615] ; [23.35384615  9.64615385],0
s3,1,0.523921,0.406167,[13 19] ; [16 17],[14.27692308 17.72307692] ; [14.72307692 18.27692308],0
