Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.003288,8.640097,[15 10] ; [12 36],[ 9.24657534 15.75342466] ; [17.75342466 30.24657534],0
r1,1,0.004673,8.001979,[23  2] ; [29 19],[17.80821918  7.19178082] ; [34.19178082 13.80821918],0
r4,1,0.017446,5.650945,[24  1] ; [35 13],[20.20547945  4.79452055] ; [38.79452055  9.20547945],0
v2,1,0.019442,5.4613,[16  8] ; [18 30],[11.33333333 12.66666667] ; [22.66666667 25.33333333],0
a8,1,0.059467,3.552201,[ 3 18] ; [ 1 43],[ 1.29230769 19.70769231] ; [ 2.70769231 41.29230769],0
n4,1,0.068685,3.314161,[19  6] ; [26 22],[15.4109589  9.5890411] ; [29.5890411 18.4109589],0
b5,1,0.071594,3.246096,[17  8] ; [22 26],[13.35616438 11.64383562] ; [25.64383562 22.35616438],0
s2,1,0.092027,2.838546,[13 10] ; [17 31],[ 9.71830986 13.28169014] ; [20.28169014 27.71830986],0
b4,1,0.100746,2.693691,[18  7] ; [25 23],[14.7260274 10.2739726] ; [28.2739726 19.7260274],0
p6,1,0.119373,2.425527,[ 4 19] ; [17 31],[ 6.8028169 16.1971831] ; [14.1971831 33.8028169],0
a2,1,0.123694,2.369913,[ 6 19] ; [ 5 43],[ 3.76712329 21.23287671] ; [ 7.23287671 40.76712329],0
p1,1,0.169554,1.886886,[ 1 24] ; [ 7 41],[ 2.73972603 22.26027397] ; [ 5.26027397 42.73972603],0
p5,1,0.21842,1.514721,[ 3 22] ; [ 2 45],[ 1.73611111 23.26388889] ; [ 3.26388889 43.73611111],0
s8,1,0.271315,1.210084,[ 9 15] ; [12 36],[ 7. 17.] ; [14. 34.],0
p8,1,0.286327,1.136811,[15 10] ; [22 25],[12.84722222 12.15277778] ; [24.15277778 22.84722222],0
p11,1,0.310302,1.029391,[12 13] ; [29 19],[14.04109589 10.95890411] ; [26.95890411 21.04109589],0
s5,1,0.339235,0.913321,[ 7 17] ; [ 9 38],[ 5.4084507 18.5915493] ; [10.5915493 36.4084507],0
s7,1,0.34295,0.899373,[10 13] ; [15 32],[ 8.21428571 14.78571429] ; [16.78571429 30.21428571],0
b1,1,0.386896,0.748674,[13 12] ; [30 18],[14.7260274 10.2739726] ; [28.2739726 19.7260274],0
s6,1,0.395576,0.721732,[16  8] ; [27 21],[14.33333333  9.66666667] ; [28.66666667 19.33333333],0
s3,1,0.401736,0.703125,[15  9] ; [25 23],[13.33333333 10.66666667] ; [26.66666667 21.33333333],0
d3,1,0.409546,0.680119,[19  6] ; [32 16],[17.46575342  7.53424658] ; [33.53424658 14.46575342],0
u3,1,0.414172,0.666793,[5 7] ; [14 11],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
n1,1,0.415522,0.662946,[3 3] ; [ 5 11],[2.18181818 3.81818182] ; [ 5.81818182 10.18181818],0
b3,1,0.423644,0.640184,[ 3 14] ; [10 26],[ 4.16981132 12.83018868] ; [ 8.83018868 27.16981132],0
b2,1,0.423644,0.640184,[ 3 14] ; [10 26],[ 4.16981132 12.83018868] ; [ 8.83018868 27.16981132],0
s4,1,0.510613,0.43281,[ 4 20] ; [11 36],[ 5.07042254 18.92957746] ; [ 9.92957746 37.07042254],0
d1,1,0.512129,0.429715,[11 14] ; [25 23],[12.32876712 12.67123288] ; [23.67123288 24.32876712],0
n6,1,0.601696,0.272445,[19  6] ; [33 14],[18.05555556  6.94444444] ; [33.94444444 13.05555556],0
u2,1,0.628745,0.233766,[4 8] ; [10 14],[4.66666667 7.33333333] ; [ 9.33333333 14.66666667],0
n2,1,0.677856,0.172549,[5 1] ; [12  4],[4.63636364 1.36363636] ; [12.36363636  3.63636364],0
a1,1,0.688532,0.160679,[ 1 24] ; [ 3 45],[ 1.36986301 23.63013699] ; [ 2.63013699 45.36986301],0
a5,1,0.700295,0.148165,[15 10] ; [31 17],[15.75342466  9.24657534] ; [30.24657534 17.75342466],0
u1,1,0.7239,0.124786,[ 5 20] ; [ 8 40],[ 4.45205479 20.54794521] ; [ 8.54794521 39.45205479],0
n5,1,0.729176,0.119869,[13 12] ; [27 21],[13.69863014 11.30136986] ; [26.30136986 21.69863014],0
