Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.472228,[3 6] ; [95 12],[7.60344828 1.39655172] ; [90.39655172 16.60344828],1
v4,1,0.000342,12.823214,[6 3] ; [103   4],[8.45689655 0.54310345] ; [100.54310345   6.45689655],1
r1,1,0.001197,10.495217,[2 7] ; [79 28],[6.28448276 2.71551724] ; [74.71551724 32.28448276],0
b1,1,0.004438,8.095338,[7 2] ; [33 74],[3.10344828 5.89655172] ; [36.89655172 70.10344828],0
a7,1,0.011065,6.454834,[2 7] ; [69 37],[5.55652174 3.44347826] ; [65.44347826 40.55652174],0
n6,1,0.018041,5.592155,[4 5] ; [84 22],[6.88695652 2.11304348] ; [81.11304348 24.88695652],0
n3,1,0.029225,4.754286,[2 3] ; [18  3],[3.84615385 1.15384615] ; [16.15384615  4.84615385],0
r3,1,0.060796,3.515522,[7 2] ; [100   6],[8.37391304 0.62608696] ; [98.62608696  7.37391304],0
b5,1,0.096149,2.76828,[3 6] ; [66 41],[5.35344828 3.64655172] ; [63.64655172 43.35344828],0
v3,1,0.128256,2.313482,[2 7] ; [51 54],[4.18421053 4.81578947] ; [48.81578947 56.18421053],0
p4,1,0.148821,2.084296,[7 2] ; [56 50],[4.93043478 4.06956522] ; [58.06956522 47.93043478],0
s3,1,0.150793,2.064214,[3 6] ; [61 44],[5.05263158 3.94736842] ; [58.94736842 46.05263158],0
s4,1,0.152443,2.047637,[3 6] ; [16 91],[1.47413793 7.52586207] ; [17.52586207 89.47413793],0
n5,1,0.166511,1.914076,[5 4] ; [81 25],[6.73043478 2.26956522] ; [79.26956522 26.73043478],0
p9,1,0.167204,1.90783,[6 3] ; [88 16],[7.48672566 1.51327434] ; [86.51327434 17.48672566],0
b4,1,0.188382,1.730229,[3 6] ; [60 47],[4.88793103 4.11206897] ; [58.11206897 48.88793103],0
a1,1,0.189588,1.720813,[1 8] ; [  3 104],[0.31034483 8.68965517] ; [  3.68965517 103.31034483],0
n4,1,0.210998,1.564568,[5 4] ; [80 27],[6.59482759 2.40517241] ; [78.40517241 28.59482759],0
a3,1,0.24917,1.327951,[6 3] ; [49 56],[4.34210526 4.65789474] ; [50.65789474 54.34210526],0
s5,1,0.289889,1.120138,[4 5] ; [28 73],[2.61818182 6.38181818] ; [29.38181818 71.61818182],0
d2,1,0.290007,1.11959,[3 6] ; [20 87],[1.78448276 7.21551724] ; [21.21551724 85.78448276],0
s1,1,0.309273,1.033777,[1 8] ; [  4 100],[0.39823009 8.60176991] ; [ 4.60176991 99.39823009],0
d4,1,0.316391,1.003808,[8 1] ; [79 28],[6.75 2.25] ; [80.25 26.75],0
p6,1,0.329806,0.949661,[2 7] ; [39 62],[3.35454545 5.64545455] ; [37.64545455 63.35454545],0
n1,1,0.372929,0.793882,[2 3] ; [13  8],[2.88461538 2.11538462] ; [12.11538462  8.88461538],0
p2,1,0.379757,0.771488,[6 3] ; [84 22],[7.04347826 1.95652174] ; [82.95652174 23.04347826],0
s8,1,0.391191,0.735238,[2 7] ; [39 68],[3.18103448 5.81896552] ; [37.81896552 69.18103448],0
d3,1,0.399806,0.708909,[4 5] ; [63 44],[5.19827586 3.80172414] ; [61.80172414 45.19827586],0
d5,1,0.43672,0.604885,[5 4] ; [73 34],[6.05172414 2.94827586] ; [71.94827586 35.05172414],0
a4,1,0.467516,0.527841,[3 6] ; [24 82],[2.11304348 6.88695652] ; [24.88695652 81.11304348],0
s6,1,0.487173,0.482764,[5 4] ; [69 34],[5.94642857 3.05357143] ; [68.05357143 34.94642857],0
p8,1,0.52682,0.400522,[3 6] ; [46 58],[3.90265487 5.09734513] ; [45.09734513 58.90265487],0
p5,1,0.590747,0.289179,[2 7] ; [16 88],[1.43362832 7.56637168] ; [16.56637168 87.43362832],0
a6,1,0.61053,0.259404,[4 5] ; [57 50],[4.73275862 4.26724138] ; [56.26724138 50.73275862],0
n2,1,0.618757,0.247619,[3 2] ; [15  6],[3.46153846 1.53846154] ; [14.53846154  6.46153846],0
p11,1,0.735203,0.114388,[6 3] ; [77 30],[6.43965517 2.56034483] ; [76.56034483 30.43965517],0
v2,1,0.76783,0.087152,[5 4] ; [63 41],[5.4159292 3.5840708] ; [62.5840708 41.4159292],0
p7,1,0.815242,0.054601,[6 3] ; [64 38],[5.67567568 3.32432432] ; [64.32432432 37.67567568],0
u2,1,0.836832,0.042414,[2 1] ; [34 22],[1.83050847 1.16949153] ; [34.16949153 21.83050847],0
s7,1,0.846278,0.037585,[3 5] ; [41 59],[3.25925926 4.74074074] ; [40.74074074 59.25925926],0
s2,1,0.875021,0.024738,[4 5] ; [50 56],[4.22608696 4.77391304] ; [49.77391304 56.22608696],0
p10,1,0.884631,0.021054,[7 2] ; [83 21],[7.16814159 1.83185841] ; [82.83185841 21.16814159],0
p3,1,0.961295,0.002355,[4 5] ; [48 58],[4.06956522 4.93043478] ; [47.93043478 58.06956522],0
d1,1,0.984841,0.000361,[3 6] ; [36 71],[3.02586207 5.97413793] ; [35.97413793 71.02586207],0
