Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.1671,[37 42] ; [ 9 68],[23.29487179 55.70512821] ; [22.70512821 54.29487179],1
a3,1,5e-06,20.980129,[58 21] ; [28 48],[43.83225806 35.16774194] ; [42.16774194 33.83225806],1
d1,1,1.5e-05,18.776676,[43 36] ; [16 61],[29.87820513 49.12179487] ; [29.12179487 47.87820513],1
d5,1,2.9e-05,17.463056,[67 12] ; [41 35],[55.04516129 23.95483871] ; [52.95483871 23.04516129],1
d4,1,0.000348,12.791276,[65 14] ; [43 34],[54.69230769 24.30769231] ; [53.30769231 23.69230769],1
d2,1,0.001024,10.783824,[36 43] ; [16 61],[26.33333333 52.66666667] ; [25.66666667 51.33333333],0
a6,1,0.001347,10.276898,[54 25] ; [33 44],[44.05769231 34.94230769] ; [42.94230769 34.05769231],0
s6,1,0.001405,10.198834,[53 23] ; [33 42],[43.28476821 32.71523179] ; [42.71523179 32.28476821],0
p9,1,0.001497,10.082077,[74  5] ; [58 19],[66.84615385 12.15384615] ; [65.15384615 11.84615385],0
n4,1,0.001521,10.052934,[62 17] ; [42 35],[52.66666667 26.33333333] ; [51.33333333 25.66666667],0
s8,1,0.003238,8.668091,[35 44] ; [17 60],[26.33333333 52.66666667] ; [25.66666667 51.33333333],0
p10,1,0.0035,8.526631,[67 11] ; [50 26],[59.25974026 18.74025974] ; [57.74025974 18.25974026],0
n6,1,0.007181,7.22716,[70  9] ; [55 22],[63.30128205 15.69871795] ; [61.69871795 15.30128205],0
p11,1,0.011197,6.43374,[67 12] ; [52 25],[60.26282051 18.73717949] ; [58.73717949 18.26282051],0
p4,1,0.01255,6.231422,[51 27] ; [35 42],[43.27741935 34.72258065] ; [42.72258065 34.27741935],0
n5,1,0.013854,6.056658,[60 18] ; [45 32],[52.83870968 25.16129032] ; [52.16129032 24.83870968],0
s2,1,0.015042,5.911543,[43 36] ; [27 50],[35.44871795 43.55128205] ; [34.55128205 42.44871795],0
a1,1,0.018065,5.58979,[ 8 71] ; [ 1 76],[ 4.55769231 74.44230769] ; [ 4.44230769 72.55769231],0
s7,1,0.023125,5.159064,[37 38] ; [23 51],[30.20134228 44.79865772] ; [29.79865772 44.20134228],0
s5,1,0.023613,5.122807,[25 48] ; [13 60],[19. 54.] ; [19. 54.],0
p3,1,0.024015,5.093533,[44 35] ; [29 48],[36.96794872 42.03205128] ; [36.03205128 40.96794872],0
n2,1,0.072356,3.228738,[21  4] ; [16 10],[18.1372549  6.8627451] ; [18.8627451  7.1372549],0
n1,1,0.089684,2.880045,[11 13] ; [ 6 20],[ 8.16 15.84] ; [ 8.84 17.16],0
r4,1,0.107195,2.59509,[54 25] ; [43 34],[49.12179487 29.87820513] ; [47.87820513 29.12179487],0
v1,1,0.121147,2.402427,[37 38] ; [28 48],[32.28476821 42.71523179] ; [32.71523179 43.28476821],0
r2,1,0.137322,2.20772,[65 11] ; [57 18],[61.40397351 14.59602649] ; [60.59602649 14.40397351],0
p6,1,0.162382,1.951904,[32 45] ; [23 52],[27.86184211 49.13815789] ; [27.13815789 47.86184211],0
s3,1,0.19725,1.662618,[43 35] ; [34 42],[39. 39.] ; [38. 38.],0
v3,1,0.235095,1.409769,[26 52] ; [19 58],[22.64516129 55.35483871] ; [22.35483871 54.64516129],0
u1,1,0.260332,1.266993,[ 5 74] ; [ 2 75],[ 3.54487179 75.45512821] ; [ 3.45512821 73.54487179],0
r3,1,0.322502,0.978774,[70  8] ; [65 12],[67.93548387 10.06451613] ; [67.06451613  9.93548387],0
d3,1,0.349251,0.876175,[47 32] ; [39 36],[44.11688312 34.88311688] ; [41.88311688 33.11688312],0
n3,1,0.377673,0.778262,[20  5] ; [18  8],[18.62745098  6.37254902] ; [19.37254902  6.62745098],0
u3,1,0.391451,0.73443,[10 10] ; [19 30],[ 8.4057971 11.5942029] ; [20.5942029 28.4057971],0
a7,1,0.394619,0.724663,[51 28] ; [44 32],[48.41935484 30.58064516] ; [46.58064516 29.41935484],0
b2,1,0.485156,0.487252,[16 30] ; [12 31],[14.47191011 31.52808989] ; [13.52808989 29.47191011],0
b3,1,0.485156,0.487252,[16 30] ; [12 31],[14.47191011 31.52808989] ; [13.52808989 29.47191011],0
b4,1,0.502957,0.448691,[43 36] ; [46 31],[45.07051282 33.92948718] ; [43.92948718 33.07051282],0
v2,1,0.558411,0.342464,[34 44] ; [30 47],[32.20645161 45.79354839] ; [31.79354839 45.20645161],0
s1,1,0.567493,0.326895,[ 2 76] ; [ 1 76],[ 1.50967742 76.49032258] ; [ 1.49032258 75.50967742],0
s4,1,0.63662,0.22319,[16 63] ; [18 59],[17.21794872 61.78205128] ; [16.78205128 60.21794872],0
p8,1,0.680991,0.169012,[37 40] ; [34 42],[35.73202614 41.26797386] ; [35.26797386 40.73202614],0
p1,1,0.701691,0.146719,[ 4 75] ; [ 5 72],[ 4.55769231 74.44230769] ; [ 4.44230769 72.55769231],0
p7,1,0.720725,0.127799,[44 33] ; [45 30],[45.08552632 31.91447368] ; [43.91447368 31.08552632],0
v4,1,0.725874,0.122934,[72  7] ; [68  8],[71.35483871  7.64516129] ; [68.64516129  7.35483871],0
u2,1,0.73288,0.116484,[10 11] ; [25 23],[10.65217391 10.34782609] ; [24.34782609 23.65217391],0
p5,1,0.840733,0.040383,[ 9 70] ; [ 8 69],[ 8.60897436 70.39102564] ; [ 8.39102564 68.60897436],0
b1,1,0.843684,0.038881,[32 47] ; [30 47],[31.3974359 47.6025641] ; [30.6025641 46.3974359],0
a8,1,0.885337,0.020796,[ 8 68] ; [ 8 63],[ 8.27210884 67.72789116] ; [ 7.72789116 63.27210884],0
b5,1,0.90195,0.015178,[50 29] ; [48 29],[49.62820513 29.37179487] ; [48.37179487 28.62820513],0
p12,1,0.98505,0.000351,[ 4 74] ; [ 4 73],[ 4.02580645 73.97419355] ; [ 3.97419355 73.02580645],0
