Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,63.869616,[110  13] ; [ 8 27],[91.86075949 31.13924051] ; [26.13924051  8.86075949],1
n5,1,0.000594,11.794924,[98 26] ; [18 18],[89.9 34.1] ; [26.1  9.9],1
s1,1,0.005036,7.866441,[  3 119] ; [ 5 30],[  6.21656051 115.78343949] ; [ 1.78343949 33.21656051],0
a7,1,0.00615,7.505787,[83 41] ; [15 21],[75.95 48.05] ; [22.05 13.95],0
s6,1,0.00624,7.479645,[78 43] ; [14 22],[70.9044586 50.0955414] ; [21.0955414 14.9044586],0
p8,1,0.008049,7.022551,[65 58] ; [10 26],[58.01886792 64.98113208] ; [16.98113208 19.01886792],0
s7,1,0.009546,6.717792,[53 64] ; [ 7 27],[46.49006623 70.50993377] ; [13.50993377 20.49006623],0
p11,1,0.014234,6.00886,[101  24] ; [22 14],[95.49689441 29.50310559] ; [27.50310559  8.49689441],0
n6,1,0.015043,5.911377,[106  19] ; [24 12],[100.93167702  24.06832298] ; [29.06832298  6.93167702],0
a5,1,0.022863,5.178855,[72 53] ; [13 23],[65.99378882 59.00621118] ; [19.00621118 16.99378882],0
v2,1,0.025258,5.0061,[59 59] ; [10 25],[53.21568627 64.78431373] ; [15.78431373 19.21568627],0
a6,1,0.027878,4.835625,[81 44] ; [16 20],[75.31055901 49.68944099] ; [21.68944099 14.31055901],0
p2,1,0.035803,4.406484,[100  24] ; [23 13],[95.325 28.675] ; [27.675  8.325],0
a3,1,0.048199,3.90303,[65 60] ; [12 24],[59.7826087 65.2173913] ; [17.2173913 18.7826087],0
s8,1,0.050256,3.832906,[50 75] ; [ 8 28],[45.0310559 79.9689441] ; [12.9689441 23.0310559],0
p3,1,0.056426,3.639436,[62 63] ; [11 24],[57.03125 67.96875] ; [15.96875 19.03125],0
b2,1,0.07504,3.169184,[19 53] ; [ 2 21],[15.91578947 56.08421053] ; [ 5.08421053 17.91578947],0
b3,1,0.07504,3.169184,[19 53] ; [ 2 21],[15.91578947 56.08421053] ; [ 5.08421053 17.91578947],0
b1,1,0.085134,2.964057,[46 79] ; [19 17],[50.46583851 74.53416149] ; [14.53416149 21.46583851],0
s5,1,0.135736,2.225648,[31 89] ; [ 5 31],[27.69230769 92.30769231] ; [ 8.30769231 27.69230769],0
a2,1,0.152677,2.045296,[ 13 112] ; [ 1 35],[ 10.86956522 114.13043478] ; [ 3.13043478 32.86956522],0
s2,1,0.193895,1.68777,[50 73] ; [10 25],[46.70886076 76.29113924] ; [13.29113924 21.70886076],0
n4,1,0.261339,1.261649,[88 36] ; [22 14],[85.25 38.75] ; [24.75 11.25],0
a4,1,0.29871,1.079946,[32 93] ; [ 6 29],[29.6875 95.3125] ; [ 8.3125 26.6875],0
v1,1,0.384419,0.756521,[57 64] ; [14 22],[54.71974522 66.28025478] ; [16.28025478 19.71974522],0
p12,1,0.404513,0.694868,[  8 117] ; [ 1 35],[  6.98757764 118.01242236] ; [ 2.01242236 33.98757764],0
p6,1,0.40556,0.691778,[40 84] ; [ 9 27],[37.975 86.025] ; [11.025 24.975],0
n2,1,0.413783,0.667904,[24  4] ; [9 3],[23.1  4.9] ; [9.9 2.1],0
b4,1,0.475029,0.510253,[61 64] ; [20 16],[62.88819876 62.11180124] ; [18.11180124 17.88819876],0
u2,1,0.530335,0.39375,[27 33] ; [ 9 15],[25.71428571 34.28571429] ; [10.28571429 13.71428571],0
u3,1,0.534445,0.385933,[28 32] ; [13 11],[29.28571429 30.71428571] ; [11.71428571 12.28571429],0
p7,1,0.558364,0.342545,[77 46] ; [20 15],[75.51265823 47.48734177] ; [21.48734177 13.51265823],0
d1,1,0.600104,0.274838,[  6 119] ; [ 1 35],[  5.43478261 119.56521739] ; [ 1.56521739 34.43478261],0
a8,1,0.606761,0.264919,[ 14 101] ; [ 5 27],[ 14.86394558 100.13605442] ; [ 4.13605442 27.86394558],0
b5,1,0.632826,0.228247,[75 50] ; [20 16],[73.75776398 51.24223602] ; [21.24223602 14.75776398],0
s4,1,0.640477,0.218119,[25 99] ; [ 6 30],[24.025 99.975] ; [ 6.975 29.025],0
r1,1,0.653355,0.201697,[84 39] ; [26 10],[85.09433962 37.90566038] ; [24.90566038 11.09433962],0
r4,1,0.659483,0.194152,[111  14] ; [31  5],[110.2484472  14.7515528] ; [31.7515528  4.2484472],0
s3,1,0.71606,0.132299,[63 61] ; [19 16],[63.94968553 60.05031447] ; [18.05031447 16.94968553],0
v3,1,0.723424,0.125236,[39 84] ; [10 25],[38.14556962 84.85443038] ; [10.85443038 24.14556962],0
d3,1,0.732884,0.11648,[34 89] ; [11 25],[34.81132075 88.18867925] ; [10.18867925 25.81132075],0
d2,1,0.743877,0.106748,[28 97] ; [ 9 27],[28.72670807 96.27329193] ; [ 8.27329193 27.72670807],0
p1,1,0.774705,0.081925,[ 16 108] ; [ 4 32],[ 15.5 108.5] ; [ 4.5 31.5],0
r2,1,0.800711,0.06372,[112  12] ; [32  4],[111.6  12.4] ; [32.4  3.6],0
n1,1,0.801336,0.063312,[ 9 19] ; [4 7],[ 9.33333333 18.66666667] ; [3.66666667 7.33333333],0
p5,1,0.807566,0.059325,[ 12 112] ; [ 3 33],[ 11.625 112.375] ; [ 3.375 32.625],0
d5,1,0.834981,0.043396,[61 63] ; [17 19],[60.45 63.55] ; [17.55 18.45],0
p4,1,0.930558,0.007594,[67 58] ; [19 17],[66.77018634 58.22981366] ; [19.22981366 16.77018634],0
v4,1,0.995826,2.7e-05,[116   7] ; [33  2],[115.99367089   7.00632911] ; [33.00632911  1.99367089],0
