Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.020094,5.403745,[10 21] ; [13 82],[ 5.65873016 25.34126984] ; [17.34126984 77.65873016],0
r2,1,0.04176,4.144904,[29  2] ; [74 22],[25.14173228  5.85826772] ; [77.85826772 18.14173228],0
n1,1,0.079502,3.075048,[6 3] ; [17 31],[3.63157895 5.36842105] ; [19.36842105 28.63157895],0
a2,1,0.099238,2.717746,[ 8 23] ; [13 85],[ 5.04651163 25.95348837] ; [15.95348837 82.04651163],0
a5,1,0.102837,2.660989,[21 10] ; [50 48],[17.0620155 13.9379845] ; [53.9379845 44.0620155],0
u1,1,0.123612,2.370952,[ 6 25] ; [ 9 89],[ 3.60465116 27.39534884] ; [11.39534884 86.60465116],0
n2,1,0.137917,2.201051,[7 2] ; [25 24],[4.96551724 4.03448276] ; [27.03448276 21.96551724],0
r1,1,0.16129,1.962086,[22  8] ; [58 40],[18.75 11.25] ; [61.25 36.75],0
a1,1,0.225302,1.470276,[ 1 30] ; [10 88],[ 2.64341085 28.35658915] ; [ 8.35658915 89.64341085],0
s2,1,0.242782,1.364365,[11 20] ; [24 73],[ 8.4765625 22.5234375] ; [26.5234375 70.4765625],0
r4,1,0.244475,1.354602,[24  7] ; [65 33],[21.3875969  9.6124031] ; [67.6124031 30.3875969],0
a8,1,0.2645,1.245052,[ 5 24] ; [ 9 84],[ 3.32786885 25.67213115] ; [10.67213115 82.32786885],0
s5,1,0.270963,1.211865,[ 6 23] ; [12 84],[ 4.176 24.824] ; [13.824 82.176],0
v4,1,0.281201,1.161275,[26  5] ; [73 25],[23.79069767  7.20930233] ; [75.20930233 22.79069767],0
n3,1,0.301142,1.069128,[6 3] ; [22 24],[4.58181818 4.41818182] ; [23.41818182 22.58181818],0
r3,1,0.310004,1.03066,[25  6] ; [70 28],[22.82945736  8.17054264] ; [72.17054264 25.82945736],0
a3,1,0.400964,0.705434,[19 11] ; [53 44],[17.00787402 12.99212598] ; [54.99212598 42.00787402],0
p4,1,0.401697,0.70324,[12 19] ; [30 68],[10.09302326 20.90697674] ; [31.90697674 66.09302326],0
a4,1,0.40531,0.692517,[14 16] ; [37 60],[12.04724409 17.95275591] ; [38.95275591 58.04724409],0
p11,1,0.457541,0.551904,[15 16] ; [40 58],[13.21705426 17.78294574] ; [41.78294574 56.21705426],0
p3,1,0.46514,0.533499,[11 20] ; [28 70],[ 9.37209302 21.62790698] ; [29.62790698 68.37209302],0
s6,1,0.465846,0.531813,[14 16] ; [38 59],[12.28346457 17.71653543] ; [39.71653543 57.28346457],0
p6,1,0.506013,0.442302,[ 5 26] ; [21 76],[ 6.296875 24.703125] ; [19.703125 77.296875],0
p5,1,0.507996,0.438193,[ 3 28] ; [ 6 91],[ 2.1796875 28.8203125] ; [ 6.8203125 90.1796875],0
d1,1,0.512893,0.42816,[10 21] ; [38 60],[11.53488372 19.46511628] ; [36.46511628 61.53488372],0
s3,1,0.530572,0.393295,[14 16] ; [39 58],[12.51968504 17.48031496] ; [40.48031496 56.51968504],0
p8,1,0.571563,0.320075,[ 9 22] ; [23 73],[ 7.81102362 23.18897638] ; [24.18897638 71.81102362],0
u2,1,0.577069,0.310997,[4 8] ; [19 26],[4.84210526 7.15789474] ; [18.15789474 26.84210526],0
n4,1,0.579359,0.307272,[21 10] ; [61 37],[19.70542636 11.29457364] ; [62.29457364 35.70542636],0
a7,1,0.588929,0.29202,[16 15] ; [56 42],[17.30232558 13.69767442] ; [54.69767442 43.30232558],0
b5,1,0.596646,0.280084,[17 14] ; [59 39],[18.26356589 12.73643411] ; [57.73643411 40.26356589],0
d2,1,0.631209,0.230424,[13 18] ; [45 51],[14.15748031 16.84251969] ; [43.84251969 52.15748031],0
b1,1,0.649829,0.206116,[15 16] ; [52 46],[16.10077519 14.89922481] ; [50.89922481 47.10077519],0
u3,1,0.65617,0.19821,[7 5] ; [23 22],[6.31578947 5.68421053] ; [23.68421053 21.31578947],0
