Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,86.273368,[424 109] ; [ 79 104],[374.43994413 158.56005587] ; [128.56005587  54.43994413],1
d3,1,0.0,76.044575,[428 106] ; [85 98],[382.06694561 151.93305439] ; [130.93305439  52.06694561],1
a2,1,0.0,36.599429,[172 364] ; [ 17 166],[140.89568846 395.10431154] ; [ 48.10431154 134.89568846],1
u1,1,0.0,27.28824,[135 401] ; [ 13 170],[110.3310153 425.6689847] ; [ 37.6689847 145.3310153],1
b5,1,1e-06,23.286045,[346 190] ; [ 81 102],[318.31988873 217.68011127] ; [108.68011127  74.31988873],1
d1,1,0.000813,11.211925,[350 186] ; [94 89],[330.9930459 205.0069541] ; [113.0069541  69.9930459],1
b3,1,0.002625,9.051421,[107 209] ; [59 60],[120.58850575 195.41149425] ; [45.41149425 73.58850575],0
b2,1,0.002625,9.051421,[107 209] ; [59 60],[120.58850575 195.41149425] ; [45.41149425 73.58850575],0
p2,1,0.007627,7.119028,[457  76] ; [139  41],[445.5371669  87.4628331] ; [150.4628331  29.5371669],0
p4,1,0.014843,5.93499,[337 193] ; [96 84],[323.22535211 206.77464789] ; [109.77464789  70.22535211],0
v2,1,0.025824,4.967749,[316 195] ; [92 84],[303.47598253 207.52401747] ; [104.52401747  71.47598253],0
s5,1,0.029849,4.71797,[171 346] ; [ 73 100],[182.82318841 334.17681159] ; [ 61.17681159 111.82318841],0
b1,1,0.034409,4.474256,[193 343] ; [ 82 101],[205.0069541 330.9930459] ; [ 69.9930459 113.0069541],0
d4,1,0.037451,4.329804,[457  77] ; [143  38],[448.11188811  85.88811189] ; [151.88811189  29.11188811],0
d5,1,0.050123,3.837328,[448  86] ; [141  41],[439.28212291  94.71787709] ; [149.71787709  32.28212291],0
s8,1,0.063865,3.43406,[236 294] ; [95 86],[246.73699015 283.26300985] ; [84.26300985 96.73699015],0
p9,1,0.073404,3.20522,[450  76] ; [143  36],[442.43687943  83.56312057] ; [150.56312057  28.43687943],0
u3,1,0.091615,2.845758,[96 45] ; [28 23],[91.0625 49.9375] ; [32.9375 18.0625],0
