Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.2e-05,18.001173,[4 5] ; [85  7],[7.93069307 1.06930693] ; [81.06930693 10.93069307],1
r2,1,0.000427,12.409375,[7 2] ; [89  1],[8.72727273 0.27272727] ; [87.27272727  2.72727273],1
p10,1,0.005183,7.814408,[4 5] ; [76 15],[7.2 1.8] ; [72.8 18.2],0
p9,1,0.007682,7.106135,[4 4] ; [77 12],[6.68041237 1.31958763] ; [74.31958763 14.68041237],0
v2,1,0.007973,7.039471,[1 8] ; [50 37],[4.78125 4.21875] ; [46.21875 40.78125],0
p1,1,0.015276,5.884382,[3 6] ; [ 7 83],[0.90909091 8.09090909] ; [ 9.09090909 80.90909091],0
d5,1,0.018876,5.512959,[4 5] ; [73 19],[6.86138614 2.13861386] ; [70.13861386 21.86138614],0
d4,1,0.02035,5.381586,[5 4] ; [79 13],[7.48514851 1.51485149] ; [76.51485149 15.48514851],0
p7,1,0.033078,4.54173,[2 7] ; [51 35],[5.02105263 3.97894737] ; [47.97894737 38.02105263],0
v4,1,0.062914,3.458851,[7 2] ; [85  5],[8.36363636 0.63636364] ; [83.63636364  6.36363636],0
d3,1,0.075487,3.159491,[2 7] ; [49 43],[4.54455446 4.45544554] ; [46.45544554 45.54455446],0
r1,1,0.084385,2.97835,[5 4] ; [74 18],[7.03960396 1.96039604] ; [71.96039604 20.03960396],0
p5,1,0.099219,2.718055,[2 7] ; [ 6 85],[0.72 8.28] ; [ 7.28 83.72],0
p8,1,0.106612,2.603735,[1 7] ; [37 52],[3.13402062 4.86597938] ; [34.86597938 54.13402062],0
s8,1,0.125103,2.352245,[2 6] ; [49 43],[4.08 3.92] ; [46.92 45.08],0
n4,1,0.128625,2.30902,[8 1] ; [58 33],[5.94 3.06] ; [60.06 30.94],0
n5,1,0.128625,2.30902,[8 1] ; [58 33],[5.94 3.06] ; [60.06 30.94],0
b3,1,0.160091,1.973363,[1 5] ; [27 31],[2.625 3.375] ; [25.375 32.625],0
b2,1,0.160091,1.973363,[1 5] ; [27 31],[2.625 3.375] ; [25.375 32.625],0
s2,1,0.167377,1.906278,[4 5] ; [62 30],[5.88118812 3.11881188] ; [60.11881188 31.88118812],0
s6,1,0.170217,1.881032,[5 3] ; [75 16],[6.46464646 1.53535354] ; [73.53535354 17.46464646],0
n6,1,0.171484,1.869923,[6 3] ; [77 14],[7.47 1.53] ; [75.53 15.47],0
v1,1,0.213347,1.54857,[3 6] ; [49 40],[4.7755102 4.2244898] ; [47.2244898 41.7755102],0
v3,1,0.223712,1.4804,[1 8] ; [27 62],[2.57142857 6.42857143] ; [25.42857143 63.57142857],0
s3,1,0.243731,1.358883,[4 4] ; [63 27],[5.46938776 2.53061224] ; [61.53061224 28.46938776],0
s1,1,0.249113,1.328269,[1 8] ; [ 3 89],[0.35643564 8.64356436] ; [ 3.64356436 88.35643564],0
b1,1,0.274043,1.196399,[5 4] ; [34 58],[3.47524752 5.52475248] ; [35.52475248 56.47524752],0
p3,1,0.274398,1.194628,[4 5] ; [25 67],[2.58415842 6.41584158] ; [26.41584158 65.58415842],0
d1,1,0.309296,1.033679,[3 6] ; [47 45],[4.45544554 4.54455446] ; [45.54455446 46.45544554],0
s7,1,0.328943,0.953056,[3 5] ; [51 41],[4.32 3.68] ; [49.68 42.32],0
d2,1,0.339665,0.911695,[6 3] ; [46 46],[4.63366337 4.36633663] ; [47.36633663 44.63366337],0
a1,1,0.37201,0.79694,[1 8] ; [ 4 88],[0.44554455 8.55445545] ; [ 4.55445545 87.44554455],0
a6,1,0.387735,0.746034,[4 5] ; [54 37],[5.22 3.78] ; [52.78 38.22],0
b5,1,0.440861,0.594041,[6 3] ; [49 43],[4.9009901 4.0990099] ; [50.0990099 41.9009901],0
n1,1,0.473763,0.513186,[3 1] ; [14 11],[2.34482759 1.65517241] ; [14.65517241 10.34482759],0
p2,1,0.599045,0.276439,[6 3] ; [68 23],[6.66 2.34] ; [67.34 23.66],0
a3,1,0.61317,0.255585,[6 3] ; [67 23],[6.63636364 2.36363636] ; [66.36363636 23.63636364],0
a4,1,0.642109,0.215995,[3 6] ; [38 54],[3.65346535 5.34653465] ; [37.34653465 54.65346535],0
a7,1,0.658082,0.195862,[5 4] ; [58 34],[5.61386139 3.38613861] ; [57.38613861 34.61386139],0
p11,1,0.693595,0.155221,[6 3] ; [67 25],[6.5049505 2.4950495] ; [66.4950495 25.5049505],0
a5,1,0.748197,0.103053,[6 3] ; [66 26],[6.41584158 2.58415842] ; [65.58415842 26.41584158],0
s4,1,0.772667,0.083456,[2 7] ; [24 66],[2.36363636 6.63636364] ; [23.63636364 66.36363636],0
b4,1,0.780716,0.077499,[6 3] ; [57 35],[5.61386139 3.38613861] ; [57.38613861 34.61386139],0
n3,1,0.900807,0.015536,[3 1] ; [18  7],[2.89655172 1.10344828] ; [18.10344828  6.89655172],0
u2,1,0.927426,0.008296,[1 2] ; [ 9 16],[1.07142857 1.92857143] ; [ 8.92857143 16.07142857],0
p6,1,1.0,0.0,[2 7] ; [20 70],[2. 7.] ; [20. 70.],0
