Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.6e-05,18.634219,[ 5 21] ; [14  2],[11.76190476 14.23809524] ; [7.23809524 8.76190476],1
v1,1,0.014851,5.934066,[12 12] ; [14  2],[15.6  8.4] ; [10.4  5.6],0
a5,1,0.017305,5.665204,[23  3] ; [9 7],[19.80952381  6.19047619] ; [12.19047619  3.80952381],0
s8,1,0.040709,4.188101,[ 9 16] ; [11  5],[12.19512195 12.80487805] ; [7.80487805 8.19512195],0
p11,1,0.046455,3.965035,[23  3] ; [10  6],[20.42857143  5.57142857] ; [12.57142857  3.42857143],0
s6,1,0.048607,3.888889,[14 10] ; [14  2],[16.8  7.2] ; [11.2  4.8],0
p2,1,0.097543,2.745263,[19  7] ; [15  1],[21.04761905  4.95238095] ; [12.95238095  3.04761905],0
p4,1,0.097589,2.744515,[16  9] ; [14  2],[18.29268293  6.70731707] ; [11.70731707  4.29268293],0
b4,1,0.102308,2.669186,[18  8] ; [7 9],[15.47619048 10.52380952] ; [9.52380952 6.47619048],0
n3,1,0.136844,2.213095,[5 2] ; [1 3],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
s7,1,0.153508,2.037037,[11 13] ; [11  5],[13.2 10.8] ; [8.8 7.2],0
r2,1,0.155318,2.019231,[20  6] ; [15  1],[21.66666667  4.33333333] ; [13.33333333  2.66666667],0
s5,1,0.182422,1.777778,[13 12] ; [11  4],[15. 10.] ; [9. 6.],0
b2,1,0.195709,1.674107,[11  9] ; [3 7],[ 9.33333333 10.66666667] ; [4.66666667 5.33333333],0
b3,1,0.195709,1.674107,[11  9] ; [3 7],[ 9.33333333 10.66666667] ; [4.66666667 5.33333333],0
u2,1,0.198211,1.65551,[3 4] ; [4 1],[4.08333333 2.91666667] ; [2.91666667 2.08333333],0
r4,1,0.243022,1.362981,[21  5] ; [15  1],[22.28571429  3.71428571] ; [13.71428571  2.28571429],0
r3,1,0.243022,1.362981,[21  5] ; [15  1],[22.28571429  3.71428571] ; [13.71428571  2.28571429],0
s1,1,0.290275,1.118343,[ 1 25] ; [ 2 14],[ 1.85714286 24.14285714] ; [ 1.14285714 14.85714286],0
p7,1,0.308745,1.036035,[15 10] ; [7 9],[13.41463415 11.58536585] ; [8.58536585 7.41463415],0
a6,1,0.323925,0.973032,[17  9] ; [8 8],[15.47619048 10.52380952] ; [9.52380952 6.47619048],0
n6,1,0.35203,0.866125,[21  4] ; [15  1],[21.95121951  3.04878049] ; [14.04878049  1.95121951],0
d1,1,0.368803,0.807692,[16 10] ; [12  4],[17.33333333  8.66666667] ; [10.66666667  5.33333333],0
n2,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
p8,1,0.508701,0.436739,[13 12] ; [10  6],[14.02439024 10.97560976] ; [8.97560976 7.02439024],0
d3,1,0.512734,0.428484,[17  9] ; [12  4],[17.95238095  8.04761905] ; [11.04761905  4.95238095],0
v2,1,0.518605,0.416667,[13 11] ; [7 9],[12. 12.] ; [8. 8.],0
v3,1,0.518605,0.416667,[11 13] ; [9 7],[12. 12.] ; [8. 8.],0
b1,1,0.52511,0.403846,[12 14] ; [9 7],[13. 13.] ; [8. 8.],0
p9,1,0.544991,0.366368,[22  3] ; [15  1],[22.56097561  2.43902439] ; [14.43902439  1.56097561],0
p10,1,0.550836,0.355821,[22  3] ; [13  3],[21.34146341  3.65853659] ; [13.65853659  2.34146341],0
r1,1,0.558526,0.342263,[20  6] ; [11  5],[19.19047619  6.80952381] ; [11.80952381  4.19047619],0
n4,1,0.569764,0.323077,[21  5] ; [14  2],[21.66666667  4.33333333] ; [13.33333333  2.66666667],0
a2,1,0.606239,0.265688,[ 2 24] ; [ 2 14],[ 2.47619048 23.52380952] ; [ 1.52380952 14.47619048],0
a4,1,0.635738,0.224359,[10 16] ; [ 5 11],[ 9.28571429 16.71428571] ; [ 5.71428571 10.28571429],0
p1,1,0.658129,0.195804,[ 5 21] ; [ 4 12],[ 5.57142857 20.42857143] ; [ 3.42857143 12.57142857],0
d2,1,0.734547,0.114977,[16 10] ; [9 7],[15.47619048 10.52380952] ; [9.52380952 6.47619048],0
a3,1,0.76308,0.090865,[19  7] ; [11  5],[18.57142857  7.42857143] ; [11.42857143  4.57142857],0
d4,1,0.795298,0.067308,[22  4] ; [14  2],[22.28571429  3.71428571] ; [13.71428571  2.28571429],0
u1,1,0.795298,0.067308,[ 4 22] ; [ 2 14],[ 3.71428571 22.28571429] ; [ 2.28571429 13.71428571],0
a7,1,0.849727,0.035897,[17  9] ; [10  6],[16.71428571  9.28571429] ; [10.28571429  5.71428571],0
p3,1,0.849727,0.035897,[17  9] ; [10  6],[16.71428571  9.28571429] ; [10.28571429  5.71428571],0
b5,1,0.879189,0.023103,[14 12] ; [9 7],[14.23809524 11.76190476] ; [8.76190476 7.23809524],0
u3,1,0.921159,0.009796,[4 3] ; [3 2],[4.08333333 2.91666667] ; [2.91666667 2.08333333],0
p12,1,0.961935,0.002278,[ 3 22] ; [ 2 14],[ 3.04878049 21.95121951] ; [ 1.95121951 14.04878049],0
n5,1,0.969263,0.001485,[21  5] ; [13  3],[21.04761905  4.95238095] ; [12.95238095  3.04761905],0
d5,1,0.969263,0.001485,[21  5] ; [13  3],[21.04761905  4.95238095] ; [12.95238095  3.04761905],0
n1,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
