Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.307344,[5 4] ; [59  1],[8.34782609 0.65217391] ; [55.65217391  4.34782609],1
r2,1,0.001207,10.479375,[6 3] ; [58  2],[8.34782609 0.65217391] ; [55.65217391  4.34782609],0
r1,1,0.001702,9.84655,[3 6] ; [49 11],[6.7826087 2.2173913] ; [45.2173913 14.7826087],0
p11,1,0.007768,7.086181,[2 7] ; [41 19],[5.60869565 3.39130435] ; [37.39130435 22.60869565],0
p7,1,0.007934,7.048385,[1 8] ; [34 24],[4.70149254 4.29850746] ; [30.29850746 27.70149254],0
s1,1,0.023746,5.113077,[2 7] ; [ 2 58],[0.52173913 8.47826087] ; [ 3.47826087 56.52173913],0
p2,1,0.047471,3.928603,[4 5] ; [45 14],[6.48529412 2.51470588] ; [42.51470588 16.48529412],0
s8,1,0.077737,3.111583,[1 8] ; [25 35],[3.39130435 5.60869565] ; [22.60869565 37.39130435],0
p8,1,0.081266,3.039392,[2 7] ; [31 27],[4.43283582 4.56716418] ; [28.56716418 29.43283582],0
p9,1,0.092388,2.832258,[4 5] ; [42 16],[6.17910448 2.82089552] ; [39.82089552 18.17910448],0
v1,1,0.119169,2.428209,[7 2] ; [30 30],[4.82608696 4.17391304] ; [32.17391304 27.82608696],0
a2,1,0.12641,2.33605,[3 6] ; [ 8 52],[1.43478261 7.56521739] ; [ 9.56521739 50.43478261],0
n4,1,0.167753,1.902906,[2 7] ; [28 32],[3.91304348 5.08695652] ; [26.08695652 33.91304348],0
p10,1,0.172091,1.864635,[4 5] ; [40 19],[5.82352941 3.17647059] ; [38.17647059 20.82352941],0
s5,1,0.18669,1.743546,[1 8] ; [19 39],[2.68656716 6.31343284] ; [17.31343284 40.68656716],0
s2,1,0.196727,1.666509,[2 7] ; [27 33],[3.7826087 5.2173913] ; [25.2173913 34.7826087],0
p4,1,0.200791,1.636612,[2 7] ; [26 32],[3.76119403 5.23880597] ; [24.23880597 33.76119403],0
v2,1,0.236195,1.403161,[5 4] ; [44 15],[6.48529412 2.51470588] ; [42.51470588 16.48529412],0
n6,1,0.251012,1.31766,[4 5] ; [38 21],[5.55882353 3.44117647] ; [36.44117647 22.55882353],0
a5,1,0.272996,1.201633,[5 4] ; [44 16],[6.39130435 2.60869565] ; [42.60869565 17.39130435],0
p6,1,0.310948,1.026647,[1 8] ; [15 41],[2.21538462 6.78461538] ; [13.78461538 42.21538462],0
n3,1,0.329114,0.952381,[2 2] ; [12  4],[2.8 1.2] ; [11.2  4.8],0
s3,1,0.375808,0.784369,[3 6] ; [29 30],[4.23529412 4.76470588] ; [27.76470588 31.23529412],0
b1,1,0.385895,0.751838,[4 5] ; [18 42],[2.86956522 6.13043478] ; [19.13043478 40.86956522],0
a4,1,0.448279,0.575,[4 5] ; [19 41],[3. 6.] ; [20. 40.],0
a3,1,0.504779,0.444874,[7 2] ; [40 20],[6.13043478 2.86956522] ; [40.86956522 19.13043478],0
d1,1,0.510295,0.433462,[6 3] ; [33 27],[5.08695652 3.91304348] ; [33.91304348 26.08695652],0
n1,1,0.531168,0.392157,[1 3] ; [ 2 14],[0.6 3.4] ; [ 2.4 13.6],0
b3,1,0.564746,0.331553,[1 1] ; [11 25],[0.63157895 1.36842105] ; [11.36842105 24.63157895],0
b2,1,0.564746,0.331553,[1 1] ; [11 25],[0.63157895 1.36842105] ; [11.36842105 24.63157895],0
s7,1,0.569095,0.3242,[2 5] ; [23 35],[2.69230769 4.30769231] ; [22.30769231 35.69230769],0
p3,1,0.607768,0.263438,[3 6] ; [25 34],[3.70588235 5.29411765] ; [24.29411765 34.70588235],0
p1,1,0.64283,0.21506,[1 8] ; [ 4 55],[0.66176471 8.33823529] ; [ 4.33823529 54.66176471],0
s6,1,0.755108,0.097289,[5 4] ; [36 23],[5.42647059 3.57352941] ; [35.57352941 23.42647059],0
d4,1,0.757288,0.095508,[8 1] ; [51  9],[7.69565217 1.30434783] ; [51.30434783  8.69565217],0
u3,1,0.83008,0.046053,[1 1] ; [11  8],[1.14285714 0.85714286] ; [10.85714286  8.14285714],0
b4,1,0.8394,0.041071,[6 3] ; [42 18],[6.26086957 2.73913043] ; [41.73913043 18.26086957],0
a6,1,0.920306,0.01001,[6 3] ; [41 19],[6.13043478 2.86956522] ; [40.86956522 19.13043478],0
b5,1,0.922016,0.009583,[6 3] ; [39 21],[5.86956522 3.13043478] ; [39.13043478 20.86956522],0
s4,1,0.941288,0.005425,[2 7] ; [14 46],[2.08695652 6.91304348] ; [13.91304348 46.08695652],0
d5,1,0.941288,0.005425,[7 2] ; [46 14],[6.91304348 2.08695652] ; [46.08695652 13.91304348],0
d2,1,0.950003,0.003932,[4 5] ; [26 34],[3.91304348 5.08695652] ; [26.08695652 33.91304348],0
a7,1,0.969943,0.00142,[7 2] ; [47 13],[7.04347826 1.95652174] ; [46.95652174 13.04347826],0
