Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5e-06,20.837779,[15 33] ; [32  8],[25.63636364 22.36363636] ; [21.36363636 18.63636364],1
v3,1,1e-05,19.525295,[ 6 43] ; [22 17],[15.59090909 33.40909091] ; [12.40909091 26.59090909],1
s6,1,0.004273,8.163949,[24 25] ; [30  8],[30.4137931 18.5862069] ; [23.5862069 14.4137931],0
p6,1,0.005268,7.785209,[15 34] ; [23 15],[21.40229885 27.59770115] ; [16.59770115 21.40229885],0
d3,1,0.014937,5.923854,[23 26] ; [29 11],[28.62921348 20.37078652] ; [23.37078652 16.62921348],0
d1,1,0.017195,5.67639,[17 32] ; [24 16],[22.57303371 26.42696629] ; [18.42696629 21.57303371],0
n6,1,0.018346,5.562803,[37 11] ; [38  2],[40.90909091  7.09090909] ; [34.09090909  5.90909091],0
r3,1,0.018382,5.559396,[40  9] ; [39  1],[43.49438202  5.50561798] ; [35.50561798  4.49438202],0
d5,1,0.02592,4.961351,[33 16] ; [35  5],[37.43820225 11.56179775] ; [30.56179775  9.43820225],0
s5,1,0.028074,4.823541,[10 37] ; [15 19],[14.50617284 32.49382716] ; [10.49382716 23.50617284],0
s7,1,0.028369,4.805492,[18 28] ; [24 14],[23. 23.] ; [19. 19.],0
n5,1,0.047312,3.934264,[29 19] ; [32  8],[33.27272727 14.72727273] ; [27.72727273 12.27272727],0
d4,1,0.054806,3.687981,[33 16] ; [34  6],[36.88764045 12.11235955] ; [30.11235955  9.88764045],0
n4,1,0.055286,3.67345,[30 19] ; [32  8],[34.13483146 14.86516854] ; [27.86516854 12.13483146],0
s3,1,0.072178,3.232778,[22 26] ; [26 14],[26.18181818 21.81818182] ; [21.81818182 18.18181818],0
u2,1,0.096458,2.763158,[12  9] ; [ 4 10],[ 9.6 11.4] ; [6.4 7.6],0
p9,1,0.118615,2.435514,[38 11] ; [36  4],[40.74157303  8.25842697] ; [33.25842697  6.74157303],0
r2,1,0.12002,2.417054,[37 11] ; [35  4],[39.72413793  8.27586207] ; [32.27586207  6.72413793],0
s8,1,0.145,2.124082,[17 32] ; [20 20],[20.37078652 28.62921348] ; [16.62921348 23.37078652],0
p10,1,0.155751,2.015005,[33 15] ; [32  7],[35.86206897 12.13793103] ; [29.13793103  9.86206897],0
a2,1,0.167028,1.909413,[ 3 46] ; [ 6 34],[ 4.95505618 44.04494382] ; [ 4.04494382 35.95505618],0
s2,1,0.169314,1.889003,[21 28] ; [23 17],[24.2247191 24.7752809] ; [19.7752809 20.2247191],0
a4,1,0.177452,1.818832,[13 36] ; [16 24],[15.96629213 33.03370787] ; [13.03370787 26.96629213],0
p11,1,0.180896,1.790246,[33 16] ; [32  8],[35.78651685 13.21348315] ; [29.21348315 10.78651685],0
u1,1,0.216255,1.529053,[ 1 48] ; [ 3 37],[ 2.20224719 46.79775281] ; [ 1.79775281 38.20224719],0
p7,1,0.261839,1.259005,[32 16] ; [31  9],[34.36363636 13.63636364] ; [28.63636364 11.36363636],0
a7,1,0.290161,1.118873,[29 20] ; [28 12],[31.38202247 17.61797753] ; [25.61797753 14.38202247],0
a6,1,0.305338,1.050736,[31 18] ; [21 19],[28.62921348 20.37078652] ; [23.37078652 16.62921348],0
b4,1,0.370524,0.801906,[26 23] ; [25 15],[28.07865169 20.92134831] ; [22.92134831 17.07865169],0
r4,1,0.387384,0.747139,[30 19] ; [28 12],[31.93258427 17.06741573] ; [26.06741573 13.93258427],0
d2,1,0.392207,0.732088,[15 33] ; [16 24],[16.90909091 31.09090909] ; [14.09090909 25.90909091],0
n2,1,0.408451,0.683304,[8 4] ; [9 2],[8.86956522 3.13043478] ; [8.13043478 2.86956522],0
p8,1,0.423156,0.641534,[24 25] ; [23 17],[25.87640449 23.12359551] ; [21.12359551 18.87640449],0
p1,1,0.449494,0.571927,[ 9 40] ; [ 5 35],[ 7.70786517 41.29213483] ; [ 6.29213483 33.70786517],0
p12,1,0.486019,0.485327,[ 2 47] ; [ 3 37],[ 2.75280899 46.24719101] ; [ 2.24719101 37.75280899],0
s1,1,0.486019,0.485327,[ 2 47] ; [ 3 37],[ 2.75280899 46.24719101] ; [ 2.24719101 37.75280899],0
n1,1,0.551848,0.354016,[4 8] ; [5 6],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
s4,1,0.563133,0.334308,[11 38] ; [ 7 33],[ 9.91011236 39.08988764] ; [ 8.08988764 31.91011236],0
b2,1,0.573618,0.316667,[ 9 21] ; [10 17],[10. 20.] ; [ 9. 18.],0
b3,1,0.573618,0.316667,[ 9 21] ; [10 17],[10. 20.] ; [ 9. 18.],0
b5,1,0.574279,0.315575,[29 20] ; [26 14],[30.28089888 18.71910112] ; [24.71910112 15.28089888],0
a3,1,0.608488,0.262382,[28 21] ; [25 15],[29.17977528 19.82022472] ; [23.82022472 16.17977528],0
v4,1,0.611137,0.258523,[41  8] ; [35  5],[41.84269663  7.15730337] ; [34.15730337  5.84269663],0
p5,1,0.709538,0.138739,[ 7 41] ; [ 7 33],[ 7.63636364 40.36363636] ; [ 6.36363636 33.63636364],0
a5,1,0.713757,0.134554,[30 19] ; [26 14],[30.83146067 18.16853933] ; [25.16853933 14.83146067],0
n3,1,0.75235,0.099567,[8 4] ; [8 3],[8.34782609 3.65217391] ; [7.65217391 3.34782609],0
p2,1,0.845466,0.037989,[40  9] ; [32  8],[39.64044944  9.35955056] ; [32.35955056  7.64044944],0
a1,1,0.907949,0.013369,[ 4 45] ; [ 3 37],[ 3.85393258 45.14606742] ; [ 3.14606742 36.85393258],0
p4,1,0.910924,0.012516,[35 14] ; [29 11],[35.23595506 13.76404494] ; [28.76404494 11.23595506],0
a8,1,0.918202,0.010547,[ 4 43] ; [ 3 35],[ 3.87058824 43.12941176] ; [ 3.12941176 34.87058824],0
u3,1,0.921972,0.009594,[ 9 11] ; [7 8],[ 9.14285714 10.85714286] ; [6.85714286 8.14285714],0
b1,1,0.992319,9.3e-05,[22 27] ; [18 22],[22.02247191 26.97752809] ; [17.97752809 22.02247191],0
