Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,104.210763,[ 8 38] ; [228  35],[35.13268608 10.86731392] ; [200.86731392  62.13268608],1
v4,1,0.0,55.823131,[24 22] ; [243  19],[39.87662338  6.12337662] ; [227.12337662  34.87662338],1
r1,1,0.0,25.428633,[15 31] ; [186  76],[30.01948052 15.98051948] ; [170.98051948  91.01948052],1
r3,1,3.3e-05,17.245233,[30 15] ; [235  27],[38.84364821  6.15635179] ; [226.15635179  35.84364821],1
b1,1,0.000246,13.445261,[31 15] ; [101 162],[19.65048544 26.34951456] ; [112.34951456 150.65048544],1
v1,1,0.001023,10.784952,[10 36] ; [122 133],[20.17275748 25.82724252] ; [111.82724252 143.17275748],0
p2,1,0.001701,9.84755,[26 20] ; [205  57],[34.5 11.5] ; [196.5  65.5],0
a6,1,0.00179,9.753769,[17 29] ; [162 101],[26.64724919 19.35275081] ; [152.35275081 110.64724919],0
u3,1,0.002095,9.464589,[ 5 20] ; [62 53],[11.96428571 13.03571429] ; [55.03571429 59.96428571],0
v3,1,0.002774,8.950568,[ 5 41] ; [ 84 173],[13.51155116 32.48844884] ; [ 75.48844884 181.51155116],0
p11,1,0.003703,8.42385,[24 22] ; [193  70],[32.30420712 13.69579288] ; [184.69579288  78.30420712],0
a7,1,0.004475,8.080316,[20 26] ; [171  90],[28.61889251 17.38110749] ; [162.38110749  98.61889251],0
p10,1,0.00568,7.649025,[23 22] ; [186  73],[30.9375 14.0625] ; [178.0625  80.9375],0
n6,1,0.00654,7.395281,[25 20] ; [197  65],[32.54071661 12.45928339] ; [189.45928339  72.54071661],0
s6,1,0.008885,6.84587,[14 32] ; [134 127],[22.17589577 23.82410423] ; [125.82410423 135.17589577],0
v2,1,0.012556,6.230631,[11 33] ; [112 136],[18.53424658 25.46575342] ; [104.46575342 143.53424658],0
a1,1,0.014695,5.952642,[ 5 41] ; [  8 255],[ 1.93527508 44.06472492] ; [ 11.06472492 251.93527508],0
d5,1,0.021253,5.305951,[17 29] ; [145 117],[24.19480519 21.80519481] ; [137.80519481 124.19480519],0
s3,1,0.051784,3.782738,[14 31] ; [121 138],[19.98355263 25.01644737] ; [115.01644737 143.98355263],0
p9,1,0.058814,3.570519,[27 18] ; [191  68],[32.26973684 12.73026316] ; [185.73026316  73.26973684],0
p6,1,0.076822,3.130887,[ 6 39] ; [ 66 193],[10.65789474 34.34210526] ; [ 61.34210526 197.65789474],0
s2,1,0.077718,3.111991,[ 9 37] ; [ 85 176],[14.08469055 31.91530945] ; [ 79.91530945 181.08469055],0
p3,1,0.082056,3.023698,[12 34] ; [104 159],[17.26860841 28.73139159] ; [ 98.73139159 164.26860841],0
a8,1,0.086027,2.947182,[ 8 35] ; [ 24 223],[ 4.74482759 38.25517241] ; [ 27.25517241 219.74482759],0
d3,1,0.102643,2.663987,[13 33] ; [107 154],[17.98045603 28.01954397] ; [102.01954397 158.98045603],0
s1,1,0.10625,2.609137,[ 4 42] ; [  9 250],[ 1.96065574 44.03934426] ; [ 11.03934426 247.96065574],0
s7,1,0.109303,2.564277,[ 9 34] ; [ 83 167],[13.50170648 29.49829352] ; [ 78.49829352 171.50170648],0
n4,1,0.177173,1.821181,[26 20] ; [175  87],[30.01948052 15.98051948] ; [170.98051948  91.01948052],0
a2,1,0.223813,1.479756,[ 1 45] ; [ 18 245],[ 2.82847896 43.17152104] ; [ 16.17152104 246.82847896],0
a3,1,0.259701,1.270348,[21 24] ; [146 116],[24.47882736 20.52117264] ; [142.52117264 119.47882736],0
s8,1,0.266425,1.235062,[ 9 37] ; [ 72 191],[12.05825243 33.94174757] ; [ 68.94174757 194.05825243],0
d4,1,0.274229,1.195468,[21 25] ; [143 120],[24.41423948 21.58576052] ; [139.58576052 123.41423948],0
u1,1,0.303539,1.058579,[ 2 44] ; [  5 258],[ 1.0420712 44.9579288] ; [  5.9579288 257.0420712],0
s4,1,0.34051,0.908511,[ 8 38] ; [ 32 229],[ 5.99348534 40.00651466] ; [ 34.00651466 226.99348534],0
a5,1,0.342419,0.901355,[21 25] ; [140 123],[23.96763754 22.03236246] ; [137.03236246 125.96763754],0
n2,1,0.360644,0.835648,[13  7] ; [49 16],[14.58823529  5.41176471] ; [47.41176471 17.58823529],0
n3,1,0.403162,0.698875,[13  7] ; [47 16],[14.45783133  5.54216867] ; [45.54216867 17.45783133],0
p4,1,0.416157,0.661141,[18 28] ; [119 142],[20.5276873 25.4723127] ; [116.4723127 144.5276873],0
p8,1,0.438925,0.599092,[16 29] ; [108 151],[18.35526316 26.64473684] ; [105.64473684 153.35526316],0
p1,1,0.467651,0.527521,[ 2 44] ; [ 19 242],[ 3.1465798 42.8534202] ; [ 17.8534202 243.1465798],0
p7,1,0.50691,0.440441,[23 23] ; [141 114],[25.06312292 20.93687708] ; [138.93687708 116.06312292],0
p12,1,0.658578,0.195255,[ 2 44] ; [  8 251],[ 1.50819672 44.49180328] ; [  8.49180328 250.50819672],0
b2,1,0.722102,0.126487,[ 8 19] ; [ 50 101],[ 8.79775281 18.20224719] ; [ 49.20224719 101.79775281],0
b3,1,0.722102,0.126487,[ 8 19] ; [ 50 101],[ 8.79775281 18.20224719] ; [ 49.20224719 101.79775281],0
b4,1,0.745956,0.10496,[24 22] ; [144 119],[25.00970874 20.99029126] ; [142.99029126 120.00970874],0
d2,1,0.75146,0.100308,[ 6 40] ; [ 39 224],[ 6.69902913 39.30097087] ; [ 38.30097087 224.69902913],0
p5,1,0.802065,0.062838,[ 2 43] ; [ 14 248],[ 2.34527687 42.65472313] ; [ 13.65472313 248.34527687],0
n5,1,0.803708,0.061777,[31 15] ; [180  80],[31.71895425 14.28104575] ; [179.28104575  80.71895425],0
u2,1,0.856267,0.032807,[13 12] ; [57 57],[12.58992806 12.41007194] ; [57.41007194 56.58992806],0
a4,1,0.936311,0.006385,[11 35] ; [ 61 200],[10.78827362 35.21172638] ; [ 61.21172638 199.78827362],0
b5,1,0.937084,0.006231,[27 19] ; [156 107],[27.24271845 18.75728155] ; [155.75728155 107.24271845],0
n1,1,0.940268,0.005615,[ 8 12] ; [25 39],[ 7.85714286 12.14285714] ; [25.14285714 38.85714286],0
