Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.6e-05,15.650163,[ 7 44] ; [5 1],[10.73684211 40.26315789] ; [1.26315789 4.73684211],1
p7,1,0.006955,7.284611,[15 38] ; [5 1],[17.96610169 35.03389831] ; [2.03389831 3.96610169],0
s6,1,0.00919,6.785534,[13 40] ; [4 1],[15.53448276 37.46551724] ; [1.46551724 3.53448276],0
p6,1,0.015119,5.902574,[ 6 45] ; [3 3],[ 8.05263158 42.94736842] ; [0.94736842 5.05263158],0
u3,1,0.036982,4.35124,[ 2 20] ; [2 2],[ 3.38461538 18.61538462] ; [0.61538462 3.38461538],0
p10,1,0.045178,4.011988,[21 31] ; [5 1],[23.31034483 28.68965517] ; [2.68965517 3.31034483],0
p2,1,0.056445,3.638881,[22 30] ; [5 1],[24.20689655 27.79310345] ; [2.79310345 3.20689655],0
n6,1,0.092722,2.826463,[24 27] ; [5 1],[25.94736842 25.05263158] ; [3.05263158 2.94736842],0
d3,1,0.131207,2.278167,[26 27] ; [1 5],[24.25423729 28.74576271] ; [2.74576271 3.25423729],0
p3,1,0.144653,2.127744,[12 41] ; [3 3],[13.47457627 39.52542373] ; [1.52542373 4.47457627],0
r4,1,0.144653,2.127744,[12 41] ; [3 3],[13.47457627 39.52542373] ; [1.52542373 4.47457627],0
a8,1,0.150229,2.069928,[ 6 45] ; [2 4],[ 7.15789474 43.84210526] ; [0.84210526 5.15789474],0
u2,1,0.164725,1.930303,[ 4 18] ; [2 2],[ 5.07692308 16.92307692] ; [0.92307692 3.07692308],0
b4,1,0.171534,1.869482,[33 20] ; [2 4],[31.44067797 21.55932203] ; [3.55932203 2.44067797],0
a3,1,0.218359,1.51512,[31 21] ; [2 4],[29.5862069 22.4137931] ; [3.4137931 2.5862069],0
d1,1,0.236982,1.398456,[22 31] ; [1 5],[20.66101695 32.33898305] ; [2.33898305 3.66101695],0
r1,1,0.239431,1.383941,[22 31] ; [4 2],[23.3559322 29.6440678] ; [2.6440678 3.3559322],0
p4,1,0.273937,1.196924,[15 38] ; [3 3],[16.16949153 36.83050847] ; [1.83050847 4.16949153],0
r2,1,0.292823,1.106598,[28 22] ; [2 4],[26.78571429 23.21428571] ; [3.21428571 2.78571429],0
u1,1,0.309434,1.03309,[ 3 50] ; [1 5],[ 3.59322034 49.40677966] ; [0.40677966 5.59322034],0
a4,1,0.34194,0.903145,[16 36] ; [3 3],[17.03448276 34.96551724] ; [1.96551724 4.03448276],0
s5,1,0.34307,0.898924,[ 9 43] ; [2 4],[ 9.86206897 42.13793103] ; [1.13793103 4.86206897],0
d4,1,0.379345,0.772823,[36 17] ; [3 3],[35.03389831 17.96610169] ; [3.96610169 2.03389831],0
s3,1,0.457815,0.551233,[18 34] ; [3 3],[18.82758621 33.17241379] ; [2.17241379 3.82758621],0
p5,1,0.458328,0.549976,[ 4 48] ; [1 5],[ 4.48275862 47.51724138] ; [0.51724138 5.48275862],0
a5,1,0.576302,0.312252,[29 24] ; [4 2],[29.6440678 23.3559322] ; [3.3559322 2.6440678],0
v1,1,0.57828,0.309024,[12 40] ; [2 4],[12.55172414 39.44827586] ; [1.44827586 4.55172414],0
s1,1,0.578515,0.308641,[ 5 48] ; [1 5],[ 5.38983051 47.61016949] ; [0.61016949 5.38983051],0
d5,1,0.699194,0.149311,[31 22] ; [4 2],[31.44067797 21.55932203] ; [3.55932203 2.44067797],0
a6,1,0.757468,0.095362,[23 30] ; [3 3],[23.3559322 29.6440678] ; [2.6440678 3.3559322],0
n1,1,0.781814,0.076705,[10 15] ; [1 1],[10.18518519 14.81481481] ; [0.81481481 1.18518519],0
s2,1,0.813599,0.055595,[11 42] ; [1 5],[10.77966102 42.22033898] ; [1.22033898 4.77966102],0
b3,1,0.83126,0.045405,[13 24] ; [2 3],[13.21428571 23.78571429] ; [1.78571429 3.21428571],0
b2,1,0.83126,0.045405,[13 24] ; [2 3],[13.21428571 23.78571429] ; [1.78571429 3.21428571],0
n5,1,0.832604,0.044674,[33 20] ; [4 2],[33.23728814 19.76271186] ; [3.76271186 2.23728814],0
s7,1,0.846026,0.03771,[10 40] ; [1 5],[ 9.82142857 40.17857143] ; [1.17857143 4.82142857],0
n2,1,0.869482,0.027,[11 14] ; [1 1],[11.11111111 13.88888889] ; [0.88888889 1.11111111],0
a7,1,0.895315,0.017314,[25 28] ; [3 3],[25.15254237 27.84745763] ; [2.84745763 3.15254237],0
b1,1,0.895315,0.017314,[28 25] ; [3 3],[27.84745763 25.15254237] ; [3.15254237 2.84745763],0
v2,1,0.897716,0.016524,[16 36] ; [2 4],[16.13793103 35.86206897] ; [1.86206897 4.13793103],0
s4,1,0.919133,0.010307,[ 8 45] ; [1 5],[ 8.08474576 44.91525424] ; [0.91525424 5.08474576],0
d2,1,0.928877,0.007967,[25 27] ; [3 3],[25.10344828 26.89655172] ; [2.89655172 3.10344828],0
b5,1,0.965056,0.001919,[26 27] ; [3 3],[26.05084746 26.94915254] ; [2.94915254 3.05084746],0
n4,1,0.975393,0.000951,[35 18] ; [4 2],[35.03389831 17.96610169] ; [3.96610169 2.03389831],0
