Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,73.271442,[110   5] ; [16 31],[89.44444444 25.55555556] ; [36.55555556 10.44444444],1
r4,1,3e-06,21.836396,[107   9] ; [30 18],[96.90243902 19.09756098] ; [40.09756098  7.90243902],1
n5,1,0.000145,14.436401,[84 31] ; [20 28],[73.37423313 41.62576687] ; [30.62576687 17.37423313],1
p11,1,0.000174,14.08918,[92 24] ; [24 24],[82.04878049 33.95121951] ; [33.95121951 14.04878049],1
n6,1,0.000946,10.930232,[101  15] ; [31 17],[93.36585366 22.63414634] ; [38.63414634  9.36585366],1
v4,1,0.004671,8.002631,[109   7] ; [38 10],[103.97560976  12.02439024] ; [43.02439024  4.97560976],0
r3,1,0.010992,6.466684,[114   2] ; [42  5],[111.01840491   4.98159509] ; [44.98159509  2.01840491],0
p2,1,0.017793,5.616436,[89 27] ; [28 20],[82.75609756 33.24390244] ; [34.24390244 13.75609756],0
r2,1,0.019091,5.493197,[111   5] ; [40  7],[107.4601227   8.5398773] ; [43.5398773  3.4601227],0
p12,1,0.025195,5.010413,[ 16 100] ; [ 1 47],[ 12.02439024 103.97560976] ; [ 4.97560976 43.02439024],0
n4,1,0.034418,4.473799,[89 27] ; [29 19],[83.46341463 32.53658537] ; [34.53658537 13.46341463],0
r1,1,0.034901,4.45001,[96 19] ; [33 15],[91.01226994 23.98773006] ; [37.98773006 10.01226994],0
a7,1,0.054159,3.707793,[95 21] ; [32 15],[90.3803681 25.6196319] ; [36.6196319 10.3803681],0
a5,1,0.06454,3.416691,[93 23] ; [32 16],[88.41463415 27.58536585] ; [36.58536585 11.41463415],0
s2,1,0.099467,2.714071,[59 56] ; [17 29],[54.28571429 60.71428571] ; [21.71428571 24.28571429],0
b1,1,0.099591,2.712073,[33 83] ; [20 28],[37.48780488 78.51219512] ; [15.51219512 32.48780488],0
s3,1,0.10869,2.573167,[60 55] ; [18 29],[55.37037037 59.62962963] ; [22.62962963 24.37037037],0
s6,1,0.131844,2.270656,[78 37] ; [26 21],[73.82716049 41.17283951] ; [30.17283951 16.82716049],0
s8,1,0.138529,2.194228,[46 69] ; [13 34],[41.88271605 73.11728395] ; [17.11728395 29.88271605],0
p4,1,0.188195,1.731693,[59 57] ; [19 29],[55.17073171 60.82926829] ; [22.82926829 25.17073171],0
v3,1,0.1982,1.655589,[59 56] ; [18 27],[55.34375 59.65625] ; [21.65625 23.34375],0
a6,1,0.2319,1.42917,[79 37] ; [28 20],[75.68292683 40.31707317] ; [31.31707317 16.68292683],0
p8,1,0.252356,1.310216,[34 81] ; [10 38],[31.04294479 83.95705521] ; [12.95705521 35.04294479],0
u3,1,0.26478,1.243593,[23 13] ; [6 7],[21.30612245 14.69387755] ; [7.69387755 5.30612245],0
s7,1,0.305299,1.050902,[48 62] ; [16 30],[45.12820513 64.87179487] ; [18.87179487 27.12820513],0
s5,1,0.328913,0.953174,[30 79] ; [ 9 36],[27.6038961 81.3961039] ; [11.3961039 33.6038961],0
p3,1,0.345005,0.891743,[41 75] ; [13 34],[38.42944785 77.57055215] ; [15.57055215 31.42944785],0
d4,1,0.34875,0.878,[97 19] ; [42  5],[98.9202454 17.0797546] ; [40.0797546  6.9202454],0
u4,1,0.356207,0.851221,[  2 114] ; [ 2 46],[  2.82926829 113.17073171] ; [ 1.17073171 46.82926829],0
d3,1,0.361284,0.833424,[81 35] ; [30 18],[78.51219512 37.48780488] ; [32.48780488 15.51219512],0
d2,1,0.362225,0.830165,[57 58] ; [27 20],[59.62962963 55.37037037] ; [24.37037037 22.62962963],0
u1,1,0.378637,0.775121,[21 95] ; [ 6 42],[19.09756098 96.90243902] ; [ 7.90243902 40.09756098],0
p1,1,0.402772,0.700036,[  9 107] ; [ 2 46],[  7.7804878 108.2195122] ; [ 3.2195122 44.7804878],0
p6,1,0.55944,0.340674,[22 93] ; [ 7 39],[20.71428571 94.28571429] ; [ 8.28571429 37.71428571],0
n3,1,0.581989,0.30303,[19  8] ; [14  4],[19.8  7.2] ; [13.2  4.8],0
a4,1,0.599792,0.27531,[48 68] ; [22 26],[49.51219512 66.48780488] ; [20.48780488 27.51219512],0
a1,1,0.59981,0.275282,[  5 111] ; [ 3 45],[  5.65853659 110.34146341] ; [ 2.34146341 45.65853659],0
a3,1,0.614981,0.252986,[80 36] ; [35 13],[81.34146341 34.65853659] ; [33.65853659 14.34146341],0
b5,1,0.65016,0.205698,[73 43] ; [32 16],[74.26829268 41.73170732] ; [30.73170732 17.26829268],0
n1,1,0.663687,0.189076,[10 18] ; [ 5 12],[ 9.33333333 18.66666667] ; [ 5.66666667 11.33333333],0
d5,1,0.676218,0.174415,[96 20] ; [41  7],[96.90243902 19.09756098] ; [40.09756098  7.90243902],0
b2,1,0.695861,0.152814,[25 34] ; [13 21],[24.10752688 34.89247312] ; [13.89247312 20.10752688],0
b3,1,0.695861,0.152814,[25 34] ; [13 21],[24.10752688 34.89247312] ; [13.89247312 20.10752688],0
a8,1,0.741372,0.108925,[ 9 97] ; [ 4 35],[ 9.50344828 96.49655172] ; [ 3.49655172 35.50344828],0
n2,1,0.745582,0.105281,[21  7] ; [12  5],[20.53333333  7.46666667] ; [12.46666667  4.53333333],0
u2,1,0.779305,0.078526,[21 15] ; [7 6],[20.57142857 15.42857143] ; [7.42857143 5.57142857],0
a2,1,0.783603,0.07542,[22 94] ; [10 38],[22.63414634 93.36585366] ; [ 9.36585366 38.63414634],0
b4,1,0.843094,0.039179,[72 44] ; [29 19],[71.43902439 44.56097561] ; [29.56097561 18.43902439],0
s4,1,0.846639,0.037407,[16 99] ; [ 6 41],[15.61728395 99.38271605] ; [ 6.38271605 40.61728395],0
d1,1,0.958558,0.0027,[73 43] ; [30 18],[72.85365854 43.14634146] ; [30.14634146 17.85365854],0
v1,1,0.975042,0.000979,[63 49] ; [26 20],[63.08860759 48.91139241] ; [25.91139241 20.08860759],0
