Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001766,9.777778,[7 5] ; [ 4 28],[3. 9.] ; [ 8. 24.],0
s5,1,0.006876,7.305195,[6 6] ; [ 4 29],[2.66666667 9.33333333] ; [ 7.33333333 25.66666667],0
s8,1,0.011745,6.348977,[6 7] ; [ 4 29],[ 2.82608696 10.17391304] ; [ 7.17391304 25.82608696],0
d2,1,0.01649,5.749848,[10  3] ; [12 20],[6.35555556 6.64444444] ; [15.64444444 16.35555556],0
n3,1,0.024171,5.082353,[6 3] ; [ 4 14],[3.33333333 5.66666667] ; [ 6.66666667 11.33333333],0
s4,1,0.042589,4.111622,[5 8] ; [ 4 29],[ 2.54347826 10.45652174] ; [ 6.45652174 26.54347826],0
p3,1,0.042589,4.111622,[5 8] ; [ 4 29],[ 2.54347826 10.45652174] ; [ 6.45652174 26.54347826],0
d1,1,0.05064,3.820143,[8 5] ; [10 23],[5.08695652 7.91304348] ; [12.91304348 20.08695652],0
r2,1,0.058953,3.566584,[11  1] ; [20 12],[8.45454545 3.54545455] ; [22.54545455  9.45454545],0
r4,1,0.065313,3.397064,[4 9] ; [ 3 30],[ 1.97826087 11.02173913] ; [ 5.02173913 27.97826087],0
n2,1,0.077121,3.124546,[7 2] ; [ 8 11],[4.82142857 4.17857143] ; [10.17857143  8.82142857],0
d4,1,0.079792,3.069141,[10  3] ; [16 17],[7.34782609 5.65217391] ; [18.65217391 14.34782609],0
p2,1,0.088407,2.903147,[7 6] ; [ 9 24],[4.52173913 8.47826087] ; [11.47826087 21.52173913],0
s6,1,0.090717,2.861612,[6 7] ; [ 7 26],[3.67391304 9.32608696] ; [ 9.32608696 23.67391304],0
s1,1,0.095011,2.787356,[ 3 10] ; [ 2 31],[ 1.41304348 11.58695652] ; [ 3.58695652 29.41304348],0
n5,1,0.105492,2.620495,[12  1] ; [23 10],[9.89130435 3.10869565] ; [25.10869565  7.89130435],0
n4,1,0.117797,2.446369,[11  2] ; [20 13],[8.76086957 4.23913043] ; [22.23913043 10.76086957],0
u1,1,0.126506,2.334869,[ 2 11] ; [ 1 32],[ 0.84782609 12.15217391] ; [ 2.15217391 30.84782609],0
p5,1,0.126506,2.334869,[ 2 11] ; [ 1 32],[ 0.84782609 12.15217391] ; [ 2.15217391 30.84782609],0
p10,1,0.156469,2.00802,[7 6] ; [10 22],[4.91111111 8.08888889] ; [12.08888889 19.91111111],0
a5,1,0.203401,1.617787,[9 4] ; [16 17],[7.06521739 5.93478261] ; [17.93478261 15.06521739],0
a4,1,0.226877,1.460337,[7 6] ; [11 21],[5.2 7.8] ; [12.8 19.2],0
p1,1,0.229258,1.445459,[4 9] ; [ 5 28],[ 2.54347826 10.45652174] ; [ 6.45652174 26.54347826],0
b2,1,0.24179,1.370128,[3 7] ; [11 10],[4.51612903 5.48387097] ; [ 9.48387097 11.51612903],0
b3,1,0.24179,1.370128,[3 7] ; [11 10],[4.51612903 5.48387097] ; [ 9.48387097 11.51612903],0
v4,1,0.275121,1.191035,[9 4] ; [17 16],[7.34782609 5.65217391] ; [18.65217391 14.34782609],0
r1,1,0.278228,1.175725,[7 6] ; [12 21],[5.36956522 7.63043478] ; [13.63043478 19.36956522],0
p9,1,0.294295,1.099869,[7 6] ; [11 19],[5.44186047 7.55813953] ; [12.55813953 17.44186047],0
a3,1,0.321466,0.982974,[9 4] ; [17 15],[7.51111111 5.48888889] ; [18.48888889 13.51111111],0
n6,1,0.325922,0.965035,[8 5] ; [15 18],[6.5 6.5] ; [16.5 16.5],0
d5,1,0.362391,0.829591,[9 4] ; [18 15],[7.63043478 5.36956522] ; [19.36956522 13.63043478],0
v3,1,0.481924,0.494505,[ 2 11] ; [ 8 24],[ 2.88888889 10.11111111] ; [ 7.11111111 24.88888889],0
u3,1,0.481924,0.494505,[2 2] ; [ 5 11],[1.4 2.6] ; [ 5.6 10.4],0
b5,1,0.483758,0.490381,[7 6] ; [14 19],[5.93478261 7.06521739] ; [15.06521739 17.93478261],0
v1,1,0.493828,0.468174,[4 9] ; [ 7 26],[3.10869565 9.89130435] ; [ 7.89130435 25.10869565],0
n1,1,0.5051,0.444205,[5 4] ; [ 8 11],[4.17857143 4.82142857] ; [ 8.82142857 10.17857143],0
d3,1,0.607936,0.263191,[7 6] ; [15 18],[6.2173913 6.7826087] ; [15.7826087 17.2173913],0
b1,1,0.675022,0.175784,[7 6] ; [20 13],[7.63043478 5.36956522] ; [19.36956522 13.63043478],0
p4,1,0.706299,0.142002,[ 3 10] ; [ 6 27],[ 2.54347826 10.45652174] ; [ 6.45652174 26.54347826],0
p8,1,0.767292,0.087568,[ 2 11] ; [ 4 29],[ 1.69565217 11.30434783] ; [ 4.30434783 28.69565217],0
a7,1,0.818281,0.052788,[6 7] ; [14 19],[5.65217391 7.34782609] ; [14.34782609 18.65217391],0
b4,1,0.818281,0.052788,[7 6] ; [19 14],[7.34782609 5.65217391] ; [18.65217391 14.34782609],0
a1,1,0.821692,0.050791,[ 2 11] ; [ 6 27],[ 2.26086957 10.73913043] ; [ 5.73913043 27.26086957],0
p12,1,0.840061,0.040729,[ 1 12] ; [ 2 31],[ 0.84782609 12.15217391] ; [ 2.15217391 30.84782609],0
p11,1,0.890188,0.019062,[ 3 10] ; [ 7 26],[ 2.82608696 10.17391304] ; [ 7.17391304 25.82608696],0
v2,1,0.950885,0.003794,[ 2 11] ; [ 5 26],[ 2.06818182 10.93181818] ; [ 4.93181818 26.06818182],0
a6,1,0.965802,0.001838,[7 6] ; [18 15],[7.06521739 5.93478261] ; [17.93478261 15.06521739],0
a2,1,0.984188,0.000393,[ 2 11] ; [ 5 28],[ 1.97826087 11.02173913] ; [ 5.02173913 27.97826087],0
u2,1,1.0,0.0,[1 3] ; [ 4 12],[1. 3.] ; [ 4. 12.],0
