Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.0,27.180528,[ 5 23] ; [52 17],[16.45360825 11.54639175] ; [40.54639175 28.45360825],1
a6,1,0.000216,13.686463,[11 17] ; [54 15],[18.7628866  9.2371134] ; [46.2371134 22.7628866],1
a2,1,0.000999,10.829082,[ 1 27] ; [25 44],[ 7.50515464 20.49484536] ; [18.49484536 50.50515464],1
u1,1,0.002969,8.826321,[ 1 27] ; [22 47],[ 6.63917526 21.36082474] ; [16.36082474 52.63917526],0
r2,1,0.010621,6.527591,[23  5] ; [66  2],[25.95833333  2.04166667] ; [63.04166667  4.95833333],0
b1,1,0.01914,5.488683,[17 11] ; [24 45],[11.83505155 16.16494845] ; [29.16494845 39.83505155],0
p7,1,0.025054,5.02012,[26  2] ; [49 19],[21.875  6.125] ; [53.125 14.875],0
p8,1,0.039008,4.260504,[23  5] ; [41 27],[18.66666667  9.33333333] ; [45.33333333 22.66666667],0
p3,1,0.057867,3.59748,[24  4] ; [46 23],[20.20618557  7.79381443] ; [49.79381443 19.20618557],0
b4,1,0.069032,3.305891,[14 14] ; [48 21],[17.89690722 10.10309278] ; [44.10309278 24.89690722],0
n6,1,0.089622,2.881152,[22  6] ; [62  6],[24.5  3.5] ; [59.5  8.5],0
r1,1,0.106046,2.612178,[20  8] ; [59 10],[22.80412371  5.19587629] ; [56.19587629 12.80412371],0
v4,1,0.114671,2.488632,[25  3] ; [67  2],[26.55670103  1.44329897] ; [65.44329897  3.55670103],0
s7,1,0.119285,2.426678,[20  6] ; [40 27],[16.77419355  9.22580645] ; [43.22580645 23.77419355],0
n3,1,0.12695,2.329412,[7 4] ; [10  1],[8.5 2.5] ; [8.5 2.5],0
n2,1,0.12695,2.329412,[10  1] ; [7 4],[8.5 2.5] ; [8.5 2.5],0
a1,1,0.142174,2.154274,[ 2 26] ; [ 1 68],[ 0.86597938 27.13402062] ; [ 2.13402062 66.86597938],0
s5,1,0.143905,2.135701,[18  8] ; [33 30],[14.8988764 11.1011236] ; [36.1011236 26.8988764],0
r4,1,0.197236,1.662723,[23  5] ; [63  6],[24.82474227  3.17525773] ; [61.17525773  7.82474227],0
u2,1,0.212183,1.556471,[6 4] ; [ 6 11],[4.44444444 5.55555556] ; [7.55555556 9.44444444],0
a5,1,0.213586,1.546949,[19  9] ; [55 14],[21.36082474  6.63917526] ; [52.63917526 16.36082474],0
s1,1,0.238207,1.391176,[ 3 25] ; [ 3 66],[ 1.73195876 26.26804124] ; [ 4.26804124 64.73195876],0
v1,1,0.245579,1.348279,[12 16] ; [38 30],[14.58333333 13.41666667] ; [35.41666667 32.58333333],0
a3,1,0.270039,1.216551,[18 10] ; [52 17],[20.20618557  7.79381443] ; [49.79381443 19.20618557],0
d3,1,0.291679,1.111853,[20  8] ; [56 13],[21.93814433  6.06185567] ; [54.06185567 14.93814433],0
p1,1,0.295854,1.092791,[ 5 23] ; [ 7 62],[ 3.46391753 24.53608247] ; [ 8.53608247 60.46391753],0
s2,1,0.308274,1.038058,[18 10] ; [50 17],[20.04210526  7.95789474] ; [47.95789474 19.04210526],0
s6,1,0.369053,0.80685,[22  4] ; [61  6],[23.20430108  2.79569892] ; [59.79569892  7.20430108],0
n1,1,0.375399,0.785714,[5 6] ; [3 8],[4. 7.] ; [4. 7.],0
p12,1,0.376812,0.781078,[ 1 27] ; [ 6 63],[ 2.02061856 25.97938144] ; [ 4.97938144 64.02061856],0
s8,1,0.473931,0.512795,[14 14] ; [40 29],[15.58762887 12.41237113] ; [38.41237113 30.58762887],0
v2,1,0.486346,0.4846,[11 17] ; [32 36],[12.54166667 15.45833333] ; [30.45833333 37.54166667],0
d2,1,0.524094,0.405829,[17 11] ; [37 32],[15.58762887 12.41237113] ; [38.41237113 30.58762887],0
v3,1,0.530618,0.393208,[ 9 18] ; [18 49],[ 7.75531915 19.24468085] ; [19.24468085 47.75531915],0
n4,1,0.54649,0.363642,[19  9] ; [51 18],[20.20618557  7.79381443] ; [49.79381443 19.20618557],0
