Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.994333,[42  1] ; [16 17],[32.81578947 10.18421053] ; [25.18421053  7.81578947],1
r4,1,0.000161,14.238413,[37  6] ; [15 18],[29.42105263 13.57894737] ; [22.57894737 10.42105263],1
p9,1,0.000645,11.642281,[28 15] ; [ 7 22],[20.90277778 22.09722222] ; [14.09722222 14.90277778],1
p10,1,0.010362,6.571532,[26 17] ; [ 9 21],[20.61643836 22.38356164] ; [14.38356164 15.61643836],0
n2,1,0.012969,6.173341,[10  1] ; [6 8],[7.04 3.96] ; [8.96 5.04],0
n6,1,0.021569,5.280243,[33 10] ; [17 16],[28.28947368 14.71052632] ; [21.71052632 11.28947368],0
d3,1,0.021771,5.263982,[23 20] ; [ 9 24],[18.10526316 24.89473684] ; [13.89473684 19.10526316],0
v4,1,0.023317,5.14471,[36  7] ; [20 13],[31.68421053 11.31578947] ; [24.31578947  8.68421053],0
s8,1,0.02504,5.021142,[13 30] ; [ 3 30],[ 9.05263158 33.94736842] ; [ 6.94736842 26.05263158],0
p7,1,0.040558,4.194383,[18 22] ; [ 7 25],[13.88888889 26.11111111] ; [11.11111111 20.88888889],0
n3,1,0.048398,3.896104,[9 2] ; [6 8],[6.6 4.4] ; [8.4 5.6],0
s2,1,0.048398,3.896104,[18 24] ; [ 7 26],[14. 28.] ; [11. 22.],0
v1,1,0.057563,3.606254,[18 25] ; [ 7 26],[14.14473684 28.85526316] ; [10.85526316 22.14473684],0
p4,1,0.061565,3.494717,[13 29] ; [ 4 28],[ 9.64864865 32.35135135] ; [ 7.35135135 24.64864865],0
b2,1,0.064561,3.416149,[ 3 18] ; [ 9 14],[ 5.72727273 15.27272727] ; [ 6.27272727 16.72727273],0
b3,1,0.064561,3.416149,[ 3 18] ; [ 9 14],[ 5.72727273 15.27272727] ; [ 6.27272727 16.72727273],0
v2,1,0.065635,3.388955,[18 21] ; [ 8 24],[14.28169014 24.71830986] ; [11.71830986 20.28169014],0
r2,1,0.069754,3.288794,[38  5] ; [23  9],[34.97333333  8.02666667] ; [26.02666667  5.97333333],0
s3,1,0.10868,2.573309,[20 22] ; [ 9 22],[16.68493151 25.31506849] ; [12.31506849 18.68493151],0
n4,1,0.145518,2.118617,[28 15] ; [16 17],[24.89473684 18.10526316] ; [19.10526316 13.89473684],0
s6,1,0.147446,2.098474,[22 21] ; [11 21],[18.92 24.08] ; [14.08 17.92],0
a6,1,0.187818,1.734651,[18 25] ; [ 9 24],[15.27631579 27.72368421] ; [11.72368421 21.27631579],0
b1,1,0.193164,1.693318,[17 26] ; [18 15],[19.80263158 23.19736842] ; [15.19736842 17.80263158],0
s5,1,0.258552,1.276491,[ 6 34] ; [ 2 29],[ 4.50704225 35.49295775] ; [ 3.49295775 27.50704225],0
a4,1,0.26379,1.248756,[ 8 35] ; [ 3 29],[ 6.30666667 36.69333333] ; [ 4.69333333 27.30666667],0
s1,1,0.291948,1.110615,[ 4 37] ; [ 6 27],[ 5.54054054 35.45945946] ; [ 4.45945946 28.54054054],0
p6,1,0.317354,0.99982,[ 9 33] ; [ 4 28],[ 7.37837838 34.62162162] ; [ 5.62162162 26.37837838],0
a8,1,0.320522,0.986815,[ 4 39] ; [ 1 29],[ 2.94520548 40.05479452] ; [ 2.05479452 27.94520548],0
u2,1,0.339949,0.910625,[16 10] ; [10 11],[14.38297872 11.61702128] ; [11.61702128  9.38297872],0
r1,1,0.350059,0.873242,[28 15] ; [18 15],[26.02631579 16.97368421] ; [19.97368421 13.02631579],0
d5,1,0.370482,0.802046,[19 24] ; [18 15],[20.93421053 22.06578947] ; [16.06578947 16.93421053],0
s7,1,0.430979,0.620185,[10 31] ; [ 5 25],[ 8.66197183 32.33802817] ; [ 6.33802817 23.66197183],0
p1,1,0.439035,0.598803,[ 2 41] ; [ 3 30],[ 2.82894737 40.17105263] ; [ 2.17105263 30.82894737],0
b4,1,0.468476,0.525568,[27 16] ; [18 15],[25.46052632 17.53947368] ; [19.53947368 13.46052632],0
n5,1,0.487952,0.48104,[25 17] ; [17 16],[23.52 18.48] ; [18.48 14.52],0
u3,1,0.491407,0.473443,[15 11] ; [10 11],[13.82978723 12.17021277] ; [11.17021277  9.82978723],0
d4,1,0.502389,0.449886,[28 15] ; [19 14],[26.59210526 16.40789474] ; [20.40789474 12.59210526],0
n1,1,0.561471,0.337163,[6 5] ; [6 8],[5.28 5.72] ; [6.72 7.28],0
d1,1,0.562711,0.335033,[13 30] ; [ 8 25],[11.88157895 31.11842105] ; [ 9.11842105 23.88157895],0
p3,1,0.590722,0.289218,[10 33] ; [ 6 27],[ 9.05263158 33.94736842] ; [ 6.94736842 26.05263158],0
d2,1,0.648213,0.208161,[11 32] ; [10 23],[11.88157895 31.11842105] ; [ 9.11842105 23.88157895],0
a7,1,0.665338,0.187103,[20 23] ; [17 16],[20.93421053 22.06578947] ; [16.06578947 16.93421053],0
b5,1,0.686203,0.163227,[28 15] ; [20 13],[27.15789474 15.84210526] ; [20.84210526 12.15789474],0
p12,1,0.738688,0.111283,[ 2 41] ; [ 1 31],[ 1.72 41.28] ; [ 1.28 30.72],0
p8,1,0.765413,0.089031,[ 9 34] ; [ 6 27],[ 8.48684211 34.51315789] ; [ 6.51315789 26.48684211],0
a3,1,0.857954,0.032033,[17 26] ; [12 20],[16.62666667 26.37333333] ; [12.37333333 19.62666667],0
p5,1,0.876103,0.024308,[ 1 40] ; [ 1 32],[ 1.10810811 39.89189189] ; [ 0.89189189 32.10810811],0
v3,1,0.901976,0.01517,[11 30] ; [ 9 23],[11.23287671 29.76712329] ; [ 8.76712329 23.23287671],0
s4,1,0.962409,0.002221,[ 8 35] ; [ 6 27],[ 7.92105263 35.07894737] ; [ 6.07894737 26.92105263],0
