Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,77.950788,[120  18] ; [ 9 39],[95.70967742 42.29032258] ; [33.29032258 14.70967742],1
b1,1,0.000297,13.091883,[ 36 104] ; [26 22],[46.17021277 93.82978723] ; [15.82978723 32.17021277],1
p11,1,0.000297,13.091883,[104  36] ; [22 26],[93.82978723 46.17021277] ; [32.17021277 15.82978723],1
p2,1,0.000389,12.586637,[119  19] ; [30 18],[110.5483871  27.4516129] ; [38.4516129  9.5483871],1
s8,1,0.000826,11.181384,[54 86] ; [ 6 42],[44.68085106 95.31914894] ; [15.31914894 32.68085106],1
s6,1,0.002853,8.899161,[86 52] ; [18 30],[77.16129032 60.83870968] ; [26.83870968 21.16129032],0
r4,1,0.003845,8.355643,[122  18] ; [33 15],[115.42553191  24.57446809] ; [39.57446809  8.42553191],0
s2,1,0.0062,7.49131,[63 76] ; [11 37],[55.00534759 83.99465241] ; [18.99465241 29.00534759],0
r2,1,0.007708,7.100143,[129   8] ; [39  9],[124.41081081  12.58918919] ; [43.58918919  4.41081081],0
p8,1,0.010786,6.500306,[67 72] ; [13 35],[59.46524064 79.53475936] ; [20.53475936 27.46524064],0
p7,1,0.010908,6.480248,[80 56] ; [18 30],[72.43478261 63.56521739] ; [25.56521739 22.43478261],0
v4,1,0.03145,4.628255,[131   7] ; [41  7],[127.61290323  10.38709677] ; [44.38709677  3.61290323],0
s5,1,0.033728,4.508442,[40 92] ; [ 7 41],[34.46666667 97.53333333] ; [12.53333333 35.46666667],0
n6,1,0.033792,4.505221,[96 43] ; [25 23],[89.94117647 49.05882353] ; [31.05882353 16.94117647],0
s3,1,0.055914,3.65461,[68 70] ; [16 32],[62.32258065 75.67741935] ; [21.67741935 26.32258065],0
d3,1,0.066414,3.369509,[114  26] ; [33 15],[109.46808511  30.53191489] ; [37.53191489 10.46808511],0
a5,1,0.071178,3.255634,[96 44] ; [26 22],[90.85106383 49.14893617] ; [31.14893617 16.85106383],0
p3,1,0.129255,2.301424,[56 84] ; [13 34],[51.65775401 88.34224599] ; [17.34224599 29.65775401],0
