Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.685658,[27  4] ; [14 29],[17.17567568 13.82432432] ; [23.82432432 19.17567568],1
d5,1,0.002833,8.912037,[32  1] ; [31 13],[27.  6.] ; [36.  8.],0
v1,1,0.003108,8.742757,[18 12] ; [11 32],[11.91780822 18.08219178] ; [17.08219178 25.91780822],0
s6,1,0.003219,8.678976,[19 12] ; [12 32],[12.81333333 18.18666667] ; [18.18666667 25.81333333],0
s2,1,0.004821,7.945381,[16 15] ; [ 9 35],[10.33333333 20.66666667] ; [14.66666667 29.33333333],0
n1,1,0.007934,7.04821,[ 2 11] ; [13  8],[5.73529412 7.26470588] ; [ 9.26470588 11.73529412],0
d1,1,0.012228,6.277552,[23 10] ; [18 26],[17.57142857 15.42857143] ; [23.42857143 20.57142857],0
s5,1,0.01286,6.188211,[10 21] ; [ 4 39],[ 5.86486486 25.13513514] ; [ 8.13513514 34.86486486],0
n5,1,0.013664,6.081099,[17 14] ; [35  8],[21.78378378  9.21621622] ; [30.21621622 12.78378378],0
p6,1,0.014326,5.997482,[12 19] ; [ 6 37],[ 7.54054054 23.45945946] ; [10.45945946 32.54054054],0
p11,1,0.027604,4.852604,[24  9] ; [21 23],[19.28571429 13.71428571] ; [25.71428571 18.28571429],0
a7,1,0.053876,3.71654,[23 10] ; [21 23],[18.85714286 14.14285714] ; [25.14285714 18.85714286],0
d4,1,0.068115,3.327859,[29  4] ; [31 13],[25.71428571  7.28571429] ; [34.28571429  9.71428571],0
v3,1,0.071768,3.242105,[12 21] ; [ 8 36],[ 8.57142857 24.42857143] ; [11.42857143 32.57142857],0
b5,1,0.113553,2.504065,[21 12] ; [20 24],[17.57142857 15.42857143] ; [23.42857143 20.57142857],0
s4,1,0.117395,2.451741,[ 2 31] ; [ 8 36],[ 4.28571429 28.71428571] ; [ 5.71428571 38.28571429],0
d3,1,0.122868,2.380376,[23 10] ; [23 21],[19.71428571 13.28571429] ; [26.28571429 17.71428571],0
u1,1,0.124557,2.359069,[ 6 27] ; [ 3 41],[ 3.85714286 29.14285714] ; [ 5.14285714 38.85714286],0
n3,1,0.188004,1.733193,[8 4] ; [ 9 12],[6.18181818 5.81818182] ; [10.81818182 10.18181818],0
p2,1,0.203176,1.619398,[20 12] ; [20 22],[17.2972973 14.7027027] ; [22.7027027 19.2972973],0
p7,1,0.225492,1.469075,[15 18] ; [13 28],[12.48648649 20.51351351] ; [15.51351351 25.48648649],0
n4,1,0.28096,1.16244,[21 12] ; [33 11],[23.14285714  9.85714286] ; [30.85714286 13.14285714],0
s8,1,0.283232,1.151515,[10 22] ; [ 9 35],[ 8. 24.] ; [11. 33.],0
s1,1,0.285496,1.140741,[ 1 32] ; [ 4 40],[ 2.14285714 30.85714286] ; [ 2.85714286 41.14285714],0
p4,1,0.291475,1.112797,[17 15] ; [18 26],[14.73684211 17.26315789] ; [20.26315789 23.73684211],0
n2,1,0.331974,0.941183,[9 4] ; [11 10],[7.64705882 5.35294118] ; [12.35294118  8.64705882],0
a2,1,0.341209,0.905882,[ 9 24] ; [ 8 36],[ 7.28571429 25.71428571] ; [ 9.71428571 34.28571429],0
a1,1,0.378445,0.775746,[ 3 30] ; [ 7 37],[ 4.28571429 28.71428571] ; [ 5.71428571 38.28571429],0
v4,1,0.409129,0.681331,[18 11] ; [23 21],[16.28767123 12.71232877] ; [24.71232877 19.28767123],0
p9,1,0.419909,0.650571,[22  9] ; [26 16],[20.38356164 10.61643836] ; [27.61643836 14.38356164],0
n6,1,0.472192,0.516842,[21 10] ; [25 17],[19.53424658 11.46575342] ; [26.46575342 15.53424658],0
p5,1,0.491952,0.472255,[ 3 30] ; [ 6 36],[ 3.96 29.04] ; [ 5.04 36.96],0
