Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.744895,[1 5] ; [70  8],[5.07142857 0.92857143] ; [65.92857143 12.07142857],1
r2,1,0.021489,5.286713,[4 2] ; [73  5],[5.5 0.5] ; [71.5  6.5],0
v4,1,0.021489,5.286713,[4 2] ; [73  5],[5.5 0.5] ; [71.5  6.5],0
s6,1,0.032068,4.594872,[2 4] ; [58 20],[4.28571429 1.71428571] ; [55.71428571 22.28571429],0
v2,1,0.089192,2.888889,[1 5] ; [38 34],[3. 3.] ; [36. 36.],0
s2,1,0.115169,2.481818,[1 5] ; [39 39],[2.85714286 3.14285714] ; [37.14285714 40.85714286],0
b4,1,0.13477,2.236686,[2 4] ; [50 28],[3.71428571 2.28571429] ; [48.28571429 29.71428571],0
a3,1,0.286378,1.13657,[5 1] ; [48 30],[3.78571429 2.21428571] ; [49.21428571 28.78571429],0
d2,1,0.286378,1.13657,[1 5] ; [30 48],[2.21428571 3.78571429] ; [28.78571429 49.21428571],0
p11,1,0.294943,1.096919,[3 3] ; [55 23],[4.14285714 1.85714286] ; [53.85714286 24.14285714],0
p6,1,0.309602,1.032374,[1 5] ; [28 47],[2.14814815 3.85185185] ; [26.85185185 48.14814815],0
p2,1,0.313152,1.017333,[4 2] ; [64 13],[4.91566265 1.08433735] ; [63.08433735 13.91566265],0
r1,1,0.342959,0.899338,[3 3] ; [53 24],[4.04819277 1.95180723] ; [51.95180723 25.04819277],0
p12,1,0.34721,0.883629,[1 5] ; [ 5 73],[0.42857143 5.57142857] ; [ 5.57142857 72.42857143],0
n2,1,0.360585,0.835855,[1 1] ; [15  4],[1.52380952 0.47619048] ; [14.47619048  4.52380952],0
d1,1,0.363826,0.824643,[2 4] ; [41 37],[3.07142857 2.92857143] ; [39.92857143 38.07142857],0
d3,1,0.368803,0.807692,[5 1] ; [51 27],[4. 2.] ; [52. 26.],0
v1,1,0.395908,0.720721,[4 2] ; [36 38],[3. 3.] ; [37. 37.],0
a4,1,0.399593,0.709552,[1 5] ; [26 52],[1.92857143 4.07142857] ; [25.07142857 52.92857143],0
n1,1,0.480659,0.497368,[1 1] ; [ 5 14],[0.57142857 1.42857143] ; [ 5.42857143 13.57142857],0
a6,1,0.533187,0.388314,[3 3] ; [49 29],[3.71428571 2.28571429] ; [48.28571429 29.71428571],0
p5,1,0.53622,0.382591,[1 5] ; [ 7 71],[0.57142857 5.42857143] ; [ 7.42857143 70.57142857],0
d5,1,0.569764,0.323077,[4 2] ; [60 18],[4.57142857 1.42857143] ; [59.42857143 18.57142857],0
u1,1,0.6247,0.239316,[1 5] ; [ 8 70],[0.64285714 5.35714286] ; [ 8.35714286 69.64285714],0
s4,1,0.6247,0.239316,[1 5] ; [20 58],[1.5 4.5] ; [19.5 58.5],0
p7,1,0.658627,0.195195,[5 1] ; [58 19],[4.55421687 1.44578313] ; [58.44578313 18.55421687],0
b1,1,0.667436,0.184615,[3 3] ; [32 46],[2.5 3.5] ; [32.5 45.5],0
a7,1,0.679633,0.170539,[4 2] ; [58 20],[4.42857143 1.57142857] ; [57.57142857 20.42857143],0
v3,1,0.712537,0.135756,[2 4] ; [19 53],[1.61538462 4.38461538] ; [19.38461538 52.61538462],0
b5,1,0.713694,0.134615,[3 3] ; [45 33],[3.42857143 2.57142857] ; [44.57142857 33.42857143],0
p4,1,0.734369,0.115138,[4 2] ; [57 21],[4.35714286 1.64285714] ; [56.64285714 21.35714286],0
p8,1,0.756705,0.095982,[4 2] ; [47 31],[3.64285714 2.35714286] ; [47.35714286 30.64285714],0
b2,1,0.782097,0.076501,[1 3] ; [13 28],[1.24444444 2.75555556] ; [12.75555556 28.24444444],0
b3,1,0.782097,0.076501,[1 3] ; [13 28],[1.24444444 2.75555556] ; [12.75555556 28.24444444],0
p10,1,0.804286,0.061407,[4 2] ; [55 22],[4.26506024 1.73493976] ; [54.73493976 22.26506024],0
p9,1,0.810003,0.057803,[5 1] ; [61 16],[4.77108434 1.22891566] ; [61.22891566 15.77108434],0
a5,1,0.842606,0.039426,[4 2] ; [55 23],[4.21428571 1.78571429] ; [54.78571429 23.21428571],0
s7,1,0.914024,0.011656,[2 3] ; [31 42],[2.11538462 2.88461538] ; [30.88461538 42.11538462],0
a2,1,0.933319,0.007001,[1 5] ; [12 66],[0.92857143 5.07142857] ; [12.07142857 65.92857143],0
n6,1,0.982766,0.000467,[4 2] ; [51 26],[3.97590361 2.02409639] ; [51.02409639 25.97590361],0
n5,1,0.982766,0.000467,[2 4] ; [26 51],[2.02409639 3.97590361] ; [25.97590361 51.02409639],0
