Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.498154,[ 5 30] ; [63 39],[17.37226277 17.62773723] ; [50.62773723 51.37226277],1
r3,1,5.3e-05,16.338139,[17 17] ; [86 16],[25.75  8.25] ; [77.25 24.75],1
p2,1,0.000121,14.783499,[11 23] ; [71 31],[20.5 13.5] ; [61.5 40.5],1
r2,1,0.001026,10.78,[17 15] ; [82 18],[24.  8.] ; [75. 25.],0
u3,1,0.003584,8.483459,[ 1 15] ; [16 17],[ 5.55102041 10.44897959] ; [11.44897959 21.55102041],0
s6,1,0.003617,8.466652,[ 7 27] ; [50 52],[14.25 19.75] ; [42.75 59.25],0
p9,1,0.006563,7.388834,[17 16] ; [75 23],[23.17557252  9.82442748] ; [68.82442748 29.17557252],0
u2,1,0.006665,7.361162,[ 2 14] ; [17 15],[6.33333333 9.66666667] ; [12.66666667 19.33333333],0
p11,1,0.019036,5.498165,[14 21] ; [64 38],[19.9270073 15.0729927] ; [58.0729927 43.9270073],0
s8,1,0.021261,5.305234,[ 3 32] ; [28 74],[ 7.91970803 27.08029197] ; [23.08029197 78.91970803],0
p10,1,0.023459,5.134214,[14 20] ; [64 37],[19.64444444 14.35555556] ; [58.35555556 42.64444444],0
s2,1,0.024113,5.086478,[ 7 28] ; [42 60],[12.51824818 22.48175182] ; [36.48175182 65.51824818],0
a7,1,0.036545,4.371484,[14 21] ; [61 40],[19.30147059 15.69852941] ; [55.69852941 45.30147059],0
p1,1,0.04202,4.134407,[ 6 29] ; [ 6 96],[ 3.06569343 31.93430657] ; [ 8.93430657 93.06569343],0
s5,1,0.044043,4.054917,[ 3 30] ; [25 72],[ 7.10769231 25.89230769] ; [20.89230769 76.10769231],0
b4,1,0.044754,4.027869,[25 10] ; [53 49],[19.9270073 15.0729927] ; [58.0729927 43.9270073],0
n6,1,0.045861,3.986685,[19 16] ; [74 28],[23.75912409 11.24087591] ; [69.24087591 32.75912409],0
p4,1,0.064802,3.410004,[ 8 27] ; [41 61],[12.51824818 22.48175182] ; [36.48175182 65.51824818],0
n2,1,0.089193,2.888884,[6 6] ; [31 10],[8.37735849 3.62264151] ; [28.62264151 12.37735849],0
n4,1,0.102513,2.666011,[26  9] ; [60 42],[21.97080292 13.02919708] ; [64.02919708 37.97080292],0
v1,1,0.122541,2.384535,[ 8 26] ; [37 60],[11.67938931 22.32061069] ; [33.32061069 63.67938931],0
a3,1,0.134418,2.240727,[19 16] ; [69 32],[22.64705882 12.35294118] ; [65.35294118 35.64705882],0
p7,1,0.135512,2.228197,[ 8 27] ; [37 64],[11.58088235 23.41911765] ; [33.41911765 67.58088235],0
p6,1,0.153286,2.039243,[ 4 29] ; [24 77],[ 6.89552239 26.10447761] ; [21.10447761 79.89552239],0
n5,1,0.180332,1.794883,[26  9] ; [63 39],[22.73722628 12.26277372] ; [66.26277372 35.73722628],0
s3,1,0.192107,1.701384,[11 23] ; [46 56],[14.25 19.75] ; [42.75 59.25],0
a8,1,0.313318,1.016639,[ 5 30] ; [ 8 88],[ 3.47328244 31.52671756] ; [ 9.52671756 86.47328244],0
n3,1,0.319006,0.993016,[6 6] ; [27 14],[7.47169811 4.52830189] ; [25.52830189 15.47169811],0
a2,1,0.324846,0.969335,[ 6 29] ; [11 91],[ 4.34306569 30.65693431] ; [12.65693431 89.34306569],0
n1,1,0.381571,0.765633,[6 6] ; [14 25],[4.70588235 7.29411765] ; [15.29411765 23.70588235],0
p3,1,0.38344,0.759645,[ 9 26] ; [34 67],[11.06617647 23.93382353] ; [31.93382353 69.06617647],0
a1,1,0.391062,0.735638,[ 4 31] ; [ 7 95],[ 2.81021898 32.18978102] ; [ 8.18978102 93.81021898],0
s7,1,0.403408,0.698145,[ 8 25] ; [31 66],[ 9.9 23.1] ; [29.1 67.9],0
d5,1,0.414646,0.665441,[22 13] ; [71 30],[23.93382353 11.06617647] ; [69.06617647 31.93382353],0
p12,1,0.424427,0.638026,[ 1 34] ; [  1 101],[ 0.51094891 34.48905109] ; [  1.48905109 100.51094891],0
v2,1,0.440031,0.5962,[10 24] ; [36 62],[11.84848485 22.15151515] ; [34.15151515 63.84848485],0
s4,1,0.481808,0.494768,[ 5 30] ; [20 82],[ 6.38686131 28.61313869] ; [18.61313869 83.38686131],0
b5,1,0.48866,0.479475,[20 15] ; [65 37],[21.71532847 13.28467153] ; [63.28467153 38.71532847],0
b1,1,0.523635,0.406728,[19 16] ; [49 53],[17.37226277 17.62773723] ; [50.62773723 51.37226277],0
d4,1,0.53054,0.393357,[22 13] ; [70 32],[23.50364964 11.49635036] ; [68.49635036 33.50364964],0
a4,1,0.537852,0.379535,[11 23] ; [39 63],[12.5 21.5] ; [37.5 64.5],0
u1,1,0.579525,0.307003,[ 3 32] ; [ 6 96],[ 2.29927007 32.70072993] ; [ 6.70072993 95.29927007],0
d3,1,0.651778,0.203666,[17 18] ; [53 47],[18.14814815 16.85185185] ; [51.85185185 48.14814815],0
d1,1,0.704531,0.143801,[15 20] ; [40 62],[14.05109489 20.94890511] ; [40.94890511 61.05109489],0
d2,1,0.722826,0.125801,[16 18] ; [44 57],[15.11111111 18.88888889] ; [44.88888889 56.11111111],0
b2,1,0.725238,0.123529,[ 9 15] ; [25 35],[ 9.71428571 14.28571429] ; [24.28571429 35.71428571],0
b3,1,0.725238,0.123529,[ 9 15] ; [25 35],[ 9.71428571 14.28571429] ; [24.28571429 35.71428571],0
a5,1,0.735603,0.114029,[19 16] ; [52 50],[18.13868613 16.86131387] ; [52.86131387 49.13868613],0
v3,1,0.750289,0.101288,[ 7 27] ; [23 76],[ 7.66917293 26.33082707] ; [22.33082707 76.66917293],0
p5,1,0.76502,0.089338,[ 1 34] ; [ 4 97],[ 1.28676471 33.71323529] ; [ 3.71323529 97.28676471],0
a6,1,0.942323,0.005235,[20 15] ; [59 43],[20.18248175 14.81751825] ; [58.81751825 43.18248175],0
