Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.003758,8.397258,[ 7 64] ; [5 7],[10.26506024 60.73493976] ; [ 1.73493976 10.26506024],0
p8,1,0.023403,5.138356,[10 60] ; [5 7],[12.80487805 57.19512195] ; [2.19512195 9.80487805],0
p3,1,0.039469,4.240569,[25 46] ; [8 4],[28.22891566 42.77108434] ; [4.77108434 7.22891566],0
s8,1,0.048601,3.889095,[33 37] ; [ 2 10],[29.87804878 40.12195122] ; [5.12195122 6.87804878],0
v1,1,0.055114,3.678627,[32 39] ; [9 3],[35.07228916 35.92771084] ; [5.92771084 6.07228916],0
v3,1,0.066049,3.378582,[21 47] ; [7 5],[23.8 44.2] ; [4.2 7.8],0
p4,1,0.072472,3.226127,[31 40] ; [8 3],[33.76829268 37.23170732] ; [5.23170732 5.76829268],0
r2,1,0.093875,2.806633,[68  3] ; [10  2],[66.72289157  4.27710843] ; [11.27710843  0.72289157],0
d4,1,0.142338,2.1525,[63  7] ; [9 3],[61.46341463  8.53658537] ; [10.53658537  1.46341463],0
n4,1,0.176344,1.828166,[45 26] ; [10  2],[47.04819277 23.95180723] ; [7.95180723 4.04819277],0
r3,1,0.202479,1.624401,[62  8] ; [9 3],[60.6097561  9.3902439] ; [10.3902439  1.6097561],0
s7,1,0.228736,1.448706,[38 30] ; [4 7],[36.15189873 31.84810127] ; [5.84810127 5.15189873],0
s3,1,0.232268,1.426917,[45 25] ; [5 6],[43.20987654 26.79012346] ; [6.79012346 4.20987654],0
p10,1,0.234271,1.414738,[53 18] ; [10  1],[54.54878049 16.45121951] ; [8.45121951 2.54878049],0
p12,1,0.261537,1.260601,[ 9 62] ; [3 9],[10.26506024 60.73493976] ; [ 1.73493976 10.26506024],0
s1,1,0.275325,1.190023,[ 5 65] ; [ 2 10],[ 5.97560976 64.02439024] ; [ 1.02439024 10.97560976],0
a5,1,0.311575,1.023988,[49 22] ; [10  2],[50.46987952 20.53012048] ; [8.53012048 3.46987952],0
a6,1,0.338979,0.914289,[43 28] ; [9 3],[44.48192771 26.51807229] ; [7.51807229 4.48192771],0
p11,1,0.338979,0.914289,[43 28] ; [9 3],[44.48192771 26.51807229] ; [7.51807229 4.48192771],0
a3,1,0.355375,0.854171,[50 21] ; [10  2],[51.3253012 19.6746988] ; [8.6746988 3.3253012],0
b2,1,0.41679,0.659348,[15 28] ; [4 4],[16.01960784 26.98039216] ; [2.98039216 5.01960784],0
b3,1,0.41679,0.659348,[15 28] ; [4 4],[16.01960784 26.98039216] ; [2.98039216 5.01960784],0
n5,1,0.4349,0.609701,[45 26] ; [9 3],[46.19277108 24.80722892] ; [7.80722892 4.19277108],0
d3,1,0.465121,0.533543,[49 22] ; [7 5],[47.90361446 23.09638554] ; [8.09638554 3.90361446],0
s2,1,0.465121,0.533543,[49 22] ; [7 5],[47.90361446 23.09638554] ; [8.09638554 3.90361446],0
b5,1,0.465121,0.533543,[49 22] ; [7 5],[47.90361446 23.09638554] ; [8.09638554 3.90361446],0
u1,1,0.500106,0.454712,[12 59] ; [3 9],[12.8313253 58.1686747] ; [2.1686747 9.8313253],0
b1,1,0.552537,0.352792,[29 42] ; [6 6],[29.93975904 41.06024096] ; [5.06024096 6.93975904],0
a4,1,0.562486,0.335418,[36 35] ; [5 7],[35.07228916 35.92771084] ; [5.92771084 6.07228916],0
d2,1,0.571513,0.320158,[40 29] ; [8 4],[40.88888889 28.11111111] ; [7.11111111 4.88888889],0
p9,1,0.615984,0.251553,[53 16] ; [10  2],[53.66666667 15.33333333] ; [9.33333333 2.66666667],0
v2,1,0.626352,0.23704,[34 35] ; [5 7],[33.22222222 35.77777778] ; [5.77777778 6.22222222],0
u3,1,0.636302,0.223611,[14  7] ; [1 1],[13.69565217  7.30434783] ; [1.30434783 0.69565217],0
a2,1,0.648215,0.208158,[16 55] ; [ 2 10],[15.39759036 55.60240964] ; [2.60240964 9.39759036],0
b4,1,0.675927,0.174747,[49 22] ; [9 3],[49.61445783 21.38554217] ; [8.38554217 3.61445783],0
a1,1,0.716225,0.132139,[ 4 67] ; [ 1 11],[ 4.27710843 66.72289157] ; [ 0.72289157 11.27710843],0
a7,1,0.725048,0.123707,[49 21] ; [9 3],[49.51219512 20.48780488] ; [8.48780488 3.51219512],0
a8,1,0.738178,0.111734,[ 4 59] ; [ 1 10],[ 4.25675676 58.74324324] ; [ 0.74324324 10.25675676],0
d5,1,0.804248,0.061431,[57 14] ; [10  2],[57.31325301 13.68674699] ; [9.68674699 2.31325301],0
v4,1,0.868434,0.027439,[64  7] ; [11  1],[64.15662651  6.84337349] ; [10.84337349  1.15662651],0
n3,1,0.873382,0.025397,[13  8] ; [2 1],[13.125  7.875] ; [1.875 1.125],0
p6,1,0.874701,0.024866,[13 57] ; [ 2 10],[12.80487805 57.19512195] ; [2.19512195 9.80487805],0
r1,1,0.876984,0.023961,[51 19] ; [9 3],[51.2195122 18.7804878] ; [8.7804878 3.2195122],0
d1,1,0.883927,0.021314,[43 28] ; [7 5],[42.77108434 28.22891566] ; [7.22891566 4.77108434],0
n1,1,0.901694,0.015257,[12 10] ; [1 1],[11.91666667 10.08333333] ; [1.08333333 0.91666667],0
r4,1,0.917593,0.010705,[60 11] ; [10  2],[59.87951807 11.12048193] ; [10.12048193  1.87951807],0
p2,1,0.97462,0.001012,[47 24] ; [8 4],[47.04819277 23.95180723] ; [7.95180723 4.04819277],0
s6,1,0.983976,0.000403,[59 12] ; [10  2],[59.02409639 11.97590361] ; [9.97590361 2.02409639],0
