Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,55.887159,[22 44] ; [60  2],[42.28125 23.71875] ; [39.71875 22.28125],1
d3,1,0.0,55.39733,[13 53] ; [53  9],[34.03125 31.96875] ; [31.96875 30.03125],1
d4,1,0.0,55.127741,[24 42] ; [61  1],[43.828125 22.171875] ; [41.171875 20.828125],1
a2,1,0.0,27.174542,[ 2 64] ; [26 38],[14.21538462 51.78461538] ; [13.78461538 50.21538462],1
a4,1,0.0,26.349567,[15 50] ; [43 20],[29.453125 35.546875] ; [28.546875 34.453125],1
d2,1,1e-06,23.298766,[20 45] ; [45 16],[33.53174603 31.46825397] ; [31.46825397 29.53174603],1
u1,1,9e-06,19.810283,[ 1 65] ; [19 45],[10.15384615 55.84615385] ; [ 9.84615385 54.15384615],1
a5,1,6.2e-05,16.042292,[34 32] ; [54 10],[44.67692308 21.32307692] ; [43.32307692 20.67692308],1
a3,1,0.000436,12.37162,[32 32] ; [51 13],[41.5 22.5] ; [41.5 22.5],1
r2,1,0.00063,11.68439,[50 16] ; [60  2],[56.71875  9.28125] ; [53.28125  8.71875],1
s7,1,0.002044,9.509856,[15 46] ; [32 30],[23.30894309 37.69105691] ; [23.69105691 38.30894309],0
a7,1,0.003276,8.647014,[33 33] ; [48 16],[41.12307692 24.87692308] ; [39.87692308 24.12307692],0
s8,1,0.003405,8.576708,[17 49] ; [32 31],[25.06976744 40.93023256] ; [23.93023256 39.06976744],0
b4,1,0.006931,7.290644,[31 35] ; [45 19],[38.58461538 27.41538462] ; [37.41538462 26.58461538],0
a6,1,0.007277,7.203349,[35 31] ; [47 15],[42.28125 23.71875] ; [39.71875 22.28125],0
n4,1,0.029455,4.740793,[49 17] ; [57  7],[53.81538462 12.18461538] ; [52.18461538 11.81538462],0
s3,1,0.040463,4.198356,[24 39] ; [36 28],[29.76377953 33.23622047] ; [30.23622047 33.76377953],0
p9,1,0.05074,3.816831,[35 29] ; [45 18],[40.31496063 23.68503937] ; [39.68503937 23.31496063],0
n6,1,0.050943,3.810149,[47 19] ; [53  9],[51.5625 14.4375] ; [48.4375 13.5625],0
v4,1,0.055176,3.676768,[49 17] ; [56  8],[53.30769231 12.69230769] ; [51.69230769 12.30769231],0
r1,1,0.057367,3.611916,[38 28] ; [47 17],[43.15384615 22.84615385] ; [41.84615385 22.15384615],0
s4,1,0.058497,3.579506,[13 53] ; [ 5 57],[ 9.28125 56.71875] ; [ 8.71875 53.28125],0
p1,1,0.063095,3.454106,[11 55] ; [ 4 60],[ 7.61538462 58.38461538] ; [ 7.38461538 56.61538462],0
s1,1,0.077935,3.10744,[ 9 56] ; [ 3 60],[ 6.09375 58.90625] ; [ 5.90625 57.09375],0
r3,1,0.079367,3.077812,[46 20] ; [53 11],[50.26153846 15.73846154] ; [48.73846154 15.26153846],0
p4,1,0.084583,2.974555,[15 50] ; [23 39],[19.4488189 45.5511811] ; [18.5511811 43.4488189],0
s2,1,0.090655,2.862707,[21 44] ; [30 34],[25.69767442 39.30232558] ; [25.30232558 38.69767442],0
v2,1,0.105279,2.623692,[23 39] ; [31 29],[27.44262295 34.55737705] ; [26.55737705 33.44262295],0
b1,1,0.162923,1.946883,[39 27] ; [30 34],[35.03076923 30.96923077] ; [33.96923077 30.03076923],0
a8,1,0.172533,1.860793,[11 53] ; [ 5 52],[ 8.46280992 55.53719008] ; [ 7.53719008 49.46280992],0
n3,1,0.176189,1.829477,[17  7] ; [13 12],[14.69387755  9.30612245] ; [15.30612245  9.69387755],0
p11,1,0.197343,1.661932,[36 30] ; [42 22],[39.6 26.4] ; [38.4 25.6],0
n2,1,0.242325,1.367018,[20  5] ; [17  9],[18.1372549  6.8627451] ; [18.8627451  7.1372549],0
u3,1,0.285201,1.142136,[15 19] ; [8 5],[16.63829787 17.36170213] ; [6.36170213 6.63829787],0
r4,1,0.296301,1.09077,[44 22] ; [48 16],[46.70769231 19.29230769] ; [45.29230769 18.70769231],0
u2,1,0.304981,1.052288,[14 20] ; [7 5],[15.52173913 18.47826087] ; [5.47826087 6.52173913],0
s5,1,0.349077,0.876808,[13 51] ; [17 45],[15.23809524 48.76190476] ; [14.76190476 47.23809524],0
p10,1,0.366684,0.814871,[36 28] ; [41 23],[38.5 25.5] ; [38.5 25.5],0
s6,1,0.375508,0.785356,[32 34] ; [36 28],[34.52307692 31.47692308] ; [33.47692308 30.52307692],0
v1,1,0.448411,0.574666,[23 42] ; [26 36],[25.07874016 39.92125984] ; [23.92125984 38.07874016],0
p6,1,0.449621,0.571608,[11 54] ; [14 49],[12.6953125 52.3046875] ; [12.3046875 50.6953125],0
b2,1,0.547772,0.361324,[14 26] ; [21 30],[15.38461538 24.61538462] ; [19.61538462 31.38461538],0
b3,1,0.547772,0.361324,[14 26] ; [21 30],[15.38461538 24.61538462] ; [19.61538462 31.38461538],0
p3,1,0.708669,0.13961,[21 45] ; [22 41],[22. 44.] ; [21. 42.],0
p12,1,0.71249,0.135802,[ 5 61] ; [ 6 58],[ 5.58461538 60.41538462] ; [ 5.41538462 58.58461538],0
p5,1,0.723828,0.124855,[ 6 58] ; [ 7 55],[ 6.6031746 57.3968254] ; [ 6.3968254 55.6031746],0
a1,1,0.735429,0.114185,[ 7 59] ; [ 8 56],[ 7.61538462 58.38461538] ; [ 7.38461538 56.61538462],0
b5,1,0.845031,0.038205,[36 30] ; [36 28],[36.55384615 29.44615385] ; [35.44615385 28.55384615],0
n1,1,0.906815,0.013702,[12 11] ; [14 12],[12.20408163 10.79591837] ; [13.79591837 12.20408163],0
v3,1,0.934394,0.006776,[24 41] ; [21 37],[23.7804878 41.2195122] ; [21.2195122 36.7804878],0
p8,1,0.961343,0.002349,[15 50] ; [15 49],[15.11627907 49.88372093] ; [14.88372093 49.11627907],0
p7,1,0.964121,0.002023,[23 42] ; [21 39],[22.88 42.12] ; [21.12 38.88],0
