Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,76.922117,[100   6] ; [29 55],[71.96842105 34.03157895] ; [57.03157895 26.96842105],1
d2,1,0.0,64.828539,[75 31] ; [10 73],[47.67195767 58.32804233] ; [37.32804233 45.67195767],1
d4,1,0.0,51.064071,[104   2] ; [47 37],[84.24210526 21.75789474] ; [66.75789474 17.24210526],1
u1,1,1e-06,24.664154,[32 74] ; [ 2 82],[18.96842105 87.03157895] ; [15.03157895 68.96842105],1
a2,1,9e-06,19.629991,[38 68] ; [ 7 77],[25.10526316 80.89473684] ; [19.89473684 64.10526316],1
a4,1,0.000119,14.804433,[62 43] ; [26 58],[48.88888889 56.11111111] ; [39.11111111 44.88888889],1
a5,1,0.00026,13.340077,[92 14] ; [54 30],[81.45263158 24.54736842] ; [64.54736842 19.45263158],1
a3,1,0.001176,10.527086,[83 22] ; [48 36],[72.77777778 32.22222222] ; [58.22222222 25.77777778],0
v1,1,0.014828,5.936737,[74 32] ; [43 39],[65.96808511 40.03191489] ; [51.03191489 30.96808511],0
a6,1,0.030187,4.698584,[81 25] ; [52 32],[74.2 31.8] ; [58.8 25.2],0
v2,1,0.038806,4.269325,[72 34] ; [43 38],[65.18716578 40.81283422] ; [49.81283422 31.18716578],0
n4,1,0.056817,3.627939,[89 17] ; [61 23],[83.68421053 22.31578947] ; [66.31578947 17.68421053],0
s8,1,0.075819,3.152332,[39 65] ; [21 62],[33.36898396 70.63101604] ; [26.63101604 56.36898396],0
p8,1,0.106263,2.608941,[72 32] ; [48 35],[66.73796791 37.26203209] ; [53.26203209 29.73796791],0
s5,1,0.120368,2.412529,[36 67] ; [20 62],[31.17837838 71.82162162] ; [24.82162162 57.17837838],0
r1,1,0.122007,2.39136,[88 18] ; [62 22],[83.68421053 22.31578947] ; [66.31578947 17.68421053],0
p7,1,0.207239,1.590608,[83 22] ; [59 24],[79.30851064 25.69148936] ; [62.69148936 20.30851064],0
n2,1,0.207596,1.58811,[15  3] ; [11  6],[13.37142857  4.62857143] ; [12.62857143  4.37142857],0
s7,1,0.24346,1.360444,[39 57] ; [25 53],[35.31034483 60.68965517] ; [28.68965517 49.31034483],0
u2,1,0.258522,1.276652,[ 9 14] ; [19 16],[11.10344828 11.89655172] ; [16.89655172 18.10344828],0
p10,1,0.261633,1.260095,[90 15] ; [66 17],[87.12765957 17.87234043] ; [68.87234043 14.12765957],0
b5,1,0.282615,1.154473,[65 41] ; [45 39],[61.36842105 44.63157895] ; [48.63157895 35.36842105],0
