Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.3e-05,19.019792,[ 7 25] ; [20  5],[15.15789474 16.84210526] ; [11.84210526 13.15789474],1
v4,1,0.00045,12.310435,[12 22] ; [21  5],[18.7 15.3] ; [14.3 11.7],1
p2,1,0.000636,11.668036,[ 8 26] ; [17  8],[14.40677966 19.59322034] ; [10.59322034 14.40677966],1
p8,1,0.001467,10.12017,[ 3 29] ; [12 14],[ 8.27586207 23.72413793] ; [ 6.72413793 19.27586207],0
p11,1,0.007594,7.126784,[ 6 28] ; [13 13],[10.76666667 23.23333333] ; [ 8.23333333 17.76666667],0
s8,1,0.012024,6.307255,[ 2 31] ; [ 8 18],[ 5.59322034 27.40677966] ; [ 4.40677966 21.59322034],0
u3,1,0.014266,6.004902,[ 2 13] ; [6 4],[ 4.8 10.2] ; [3.2 6.8],0
v1,1,0.016952,5.701357,[ 6 28] ; [12 14],[10.2 23.8] ; [ 7.8 18.2],0
r2,1,0.020223,5.392575,[18 14] ; [22  4],[22.06896552  9.93103448] ; [17.93103448  8.06896552],0
s7,1,0.023784,5.110337,[ 4 26] ; [10 15],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
p6,1,0.040952,4.177988,[ 1 32] ; [ 5 21],[ 3.3559322 29.6440678] ; [ 2.6440678 23.3559322],0
p4,1,0.070812,3.264089,[ 6 28] ; [10 16],[ 9.06666667 24.93333333] ; [ 6.93333333 19.06666667],0
d3,1,0.073465,3.203862,[13 21] ; [16 10],[16.43333333 17.56666667] ; [12.56666667 13.43333333],0
b4,1,0.0859,2.949571,[16 18] ; [18  8],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
n6,1,0.091185,2.853334,[13 20] ; [16 10],[16.22033898 16.77966102] ; [12.77966102 13.22033898],0
u2,1,0.115184,2.481618,[ 3 12] ; [5 5],[ 4.8 10.2] ; [3.2 6.8],0
s6,1,0.146382,2.109551,[ 7 26] ; [10 16],[ 9.50847458 23.49152542] ; [ 7.49152542 18.50847458],0
d4,1,0.157385,1.999177,[16 18] ; [17  9],[18.7 15.3] ; [14.3 11.7],0
n2,1,0.163359,1.942857,[ 8 12] ; [9 5],[10. 10.] ; [7. 7.],0
a1,1,0.165664,1.921746,[ 7 27] ; [ 2 24],[ 5.1 28.9] ; [ 3.9 22.1],0
r1,1,0.166767,1.911765,[11 23] ; [13 13],[13.6 20.4] ; [10.4 15.6],0
n4,1,0.182353,1.778345,[24 10] ; [14 12],[21.53333333 12.46666667] ; [16.46666667  9.53333333],0
p5,1,0.218359,1.51512,[ 2 31] ; [ 4 21],[ 3.4137931 29.5862069] ; [ 2.5862069 22.4137931],0
s5,1,0.264752,1.243736,[ 5 28] ; [ 7 19],[ 6.71186441 26.28813559] ; [ 5.28813559 20.71186441],0
d5,1,0.297365,1.085973,[15 19] ; [15 11],[17. 17.] ; [13. 13.],0
p3,1,0.319855,0.989538,[ 7 27] ; [ 8 17],[ 8.6440678 25.3559322] ; [ 6.3559322 18.6440678],0
n5,1,0.322451,0.978979,[25  9] ; [16 10],[23.23333333 10.76666667] ; [17.76666667  8.23333333],0
b5,1,0.329662,0.950226,[14 20] ; [14 12],[15.86666667 18.13333333] ; [12.13333333 13.86666667],0
s2,1,0.387447,0.74694,[ 6 28] ; [ 7 19],[ 7.36666667 26.63333333] ; [ 5.63333333 20.36666667],0
n3,1,0.392959,0.729766,[ 8 11] ; [8 6],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
a4,1,0.393358,0.728537,[12 20] ; [ 7 19],[10.48275862 21.51724138] ; [ 8.51724138 17.48275862],0
p1,1,0.422219,0.644131,[ 4 30] ; [ 5 21],[ 5.1 28.9] ; [ 3.9 22.1],0
r4,1,0.422219,0.644131,[ 4 30] ; [ 5 21],[ 5.1 28.9] ; [ 3.9 22.1],0
s4,1,0.434464,0.61086,[ 8 26] ; [ 4 22],[ 6.8 27.2] ; [ 5.2 20.8],0
a7,1,0.496012,0.463458,[14 20] ; [13 13],[15.3 18.7] ; [11.7 14.3],0
p7,1,0.500969,0.452883,[ 9 25] ; [ 8 15],[10.14035088 23.85964912] ; [ 6.85964912 16.14035088],0
s3,1,0.624947,0.238976,[10 22] ; [ 9 15],[10.85714286 21.14285714] ; [ 8.14285714 15.85714286],0
a5,1,0.659671,0.193924,[19 15] ; [16 10],[19.83333333 14.16666667] ; [15.16666667 10.83333333],0
n1,1,0.681314,0.168651,[10 10] ; [6 8],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
d2,1,0.758368,0.094633,[14 19] ; [10 16],[13.42372881 19.57627119] ; [10.57627119 15.42372881],0
a6,1,0.767669,0.087276,[17 17] ; [12 14],[16.43333333 17.56666667] ; [12.56666667 13.43333333],0
b2,1,0.780332,0.077778,[ 9 15] ; [ 6 12],[ 8.57142857 15.42857143] ; [ 6.42857143 11.57142857],0
b3,1,0.780332,0.077778,[ 9 15] ; [ 6 12],[ 8.57142857 15.42857143] ; [ 6.42857143 11.57142857],0
a3,1,0.866973,0.028058,[19 13] ; [16 10],[19.31034483 12.68965517] ; [15.68965517 10.31034483],0
v3,1,0.875164,0.024681,[ 6 28] ; [ 5 21],[ 6.23333333 27.76666667] ; [ 4.76666667 21.23333333],0
